time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780302801147,2026-06-01 10:33:21.147,0.300,12.356,0.004,0.000
57,1780302801200,2026-06-01 10:33:21.200,0.100,12.364,0.001,0.000
109,1780302801252,2026-06-01 10:33:21.252,0.200,12.408,0.002,0.000
161,1780302801304,2026-06-01 10:33:21.304,0.300,12.404,0.004,0.000
221,1780302801364,2026-06-01 10:33:21.364,0.300,12.360,0.004,0.001
272,1780302801415,2026-06-01 10:33:21.415,0.000,12.368,0.000,0.001
324,1780302801467,2026-06-01 10:33:21.467,0.300,12.400,0.004,0.001
376,1780302801519,2026-06-01 10:33:21.519,-0.100,12.404,-0.001,0.001
435,1780302801578,2026-06-01 10:33:21.578,0.200,12.364,0.002,0.001
488,1780302801631,2026-06-01 10:33:21.631,0.100,12.368,0.001,0.001
540,1780302801683,2026-06-01 10:33:21.683,-0.200,12.404,-0.002,0.001
592,1780302801735,2026-06-01 10:33:21.735,0.200,12.364,0.002,0.001
651,1780302801794,2026-06-01 10:33:21.794,0.100,12.360,0.001,0.001
704,1780302801847,2026-06-01 10:33:21.847,0.300,12.368,0.004,0.001
756,1780302801899,2026-06-01 10:33:21.899,0.000,12.404,0.000,0.001
815,1780302801958,2026-06-01 10:33:21.958,0.500,12.344,0.006,0.002
874,1780302802017,2026-06-01 10:33:22.017,0.000,12.364,0.000,0.002
935,1780302802078,2026-06-01 10:33:22.078,0.100,12.364,0.001,0.002
987,1780302802130,2026-06-01 10:33:22.130,0.300,12.368,0.004,0.002
1039,1780302802182,2026-06-01 10:33:22.182,-0.100,12.404,-0.001,0.002
1091,1780302802234,2026-06-01 10:33:22.234,-0.100,12.404,-0.001,0.002
1143,1780302802286,2026-06-01 10:33:22.286,0.300,12.408,0.004,0.002
1195,1780302802338,2026-06-01 10:33:22.338,-0.100,12.404,-0.001,0.002
1254,1780302802397,2026-06-01 10:33:22.397,0.000,12.356,0.000,0.002
1307,1780302802450,2026-06-01 10:33:22.450,0.000,12.364,0.000,0.002
1372,1780302802515,2026-06-01 10:33:22.515,0.400,12.368,0.005,0.002
1424,1780302802567,2026-06-01 10:33:22.567,0.000,12.368,0.000,0.002
1476,1780302802619,2026-06-01 10:33:22.619,0.000,12.404,0.000,0.002
1528,1780302802671,2026-06-01 10:33:22.671,0.300,12.404,0.004,0.002
1580,1780302802723,2026-06-01 10:33:22.723,-0.100,12.404,-0.001,0.002
1632,1780302802775,2026-06-01 10:33:22.775,0.000,12.364,0.000,0.002
1684,1780302802827,2026-06-01 10:33:22.827,0.000,12.404,0.000,0.002
1736,1780302802879,2026-06-01 10:33:22.879,0.000,12.404,0.000,0.002
1788,1780302802931,2026-06-01 10:33:22.931,-0.100,12.404,-0.001,0.002
1846,1780302802989,2026-06-01 10:33:22.989,1308.200,10.268,13.433,0.781
1905,1780302803048,2026-06-01 10:33:23.048,305.100,11.992,3.659,0.997
1965,1780302803108,2026-06-01 10:33:23.108,176.000,12.188,2.145,1.126
2024,1780302803167,2026-06-01 10:33:23.167,137.800,12.220,1.684,1.225
2083,1780302803226,2026-06-01 10:33:23.226,99.800,12.300,1.228,1.298
2143,1780302803286,2026-06-01 10:33:23.286,92.300,12.288,1.134,1.366
2195,1780302803338,2026-06-01 10:33:23.338,68.800,12.268,0.844,1.410
2247,1780302803390,2026-06-01 10:33:23.390,19.200,12.280,0.236,1.422
2299,1780302803442,2026-06-01 10:33:23.442,59.600,12.364,0.737,1.460
2351,1780302803494,2026-06-01 10:33:23.494,42.500,12.276,0.522,1.487
2403,1780302803546,2026-06-01 10:33:23.546,122.500,12.252,1.501,1.565
2455,1780302803598,2026-06-01 10:33:23.598,53.900,12.216,0.658,1.600
2507,1780302803650,2026-06-01 10:33:23.650,54.300,12.256,0.666,1.634
2559,1780302803702,2026-06-01 10:33:23.702,60.300,12.312,0.742,1.673
2611,1780302803754,2026-06-01 10:33:23.754,41.700,12.276,0.512,1.699
2671,1780302803814,2026-06-01 10:33:23.814,113.400,12.252,1.389,1.783
2731,1780302803874,2026-06-01 10:33:23.874,112.000,12.248,1.372,1.865
2791,1780302803934,2026-06-01 10:33:23.934,66.700,12.280,0.819,1.914
2850,1780302803993,2026-06-01 10:33:23.993,111.700,12.256,1.369,1.995
2902,1780302804045,2026-06-01 10:33:24.045,108.300,12.292,1.331,2.064
2962,1780302804105,2026-06-01 10:33:24.105,62.000,12.228,0.758,2.110
3014,1780302804157,2026-06-01 10:33:24.157,46.200,12.284,0.568,2.139
3066,1780302804209,2026-06-01 10:33:24.209,52.000,12.260,0.638,2.172
3118,1780302804261,2026-06-01 10:33:24.261,48.300,12.348,0.596,2.203
3170,1780302804313,2026-06-01 10:33:24.313,68.800,12.260,0.843,2.247
3222,1780302804365,2026-06-01 10:33:24.365,92.100,12.352,1.138,2.306
3274,1780302804417,2026-06-01 10:33:24.417,53.800,12.300,0.662,2.341
3326,1780302804469,2026-06-01 10:33:24.469,43.800,12.260,0.537,2.369
3383,1780302804526,2026-06-01 10:33:24.526,31.200,12.264,0.383,2.391
3435,1780302804578,2026-06-01 10:33:24.578,110.200,12.324,1.358,2.461
3495,1780302804638,2026-06-01 10:33:24.638,100.400,12.256,1.231,2.535
3547,1780302804690,2026-06-01 10:33:24.690,83.700,12.240,1.024,2.588
3599,1780302804742,2026-06-01 10:33:24.742,33.300,12.280,0.409,2.610
3651,1780302804794,2026-06-01 10:33:24.794,103.000,12.288,1.266,2.675
3711,1780302804854,2026-06-01 10:33:24.854,45.700,12.236,0.559,2.709
3769,1780302804912,2026-06-01 10:33:24.912,30.600,12.236,0.374,2.731
3829,1780302804972,2026-06-01 10:33:24.972,38.900,12.284,0.478,2.759
3881,1780302805024,2026-06-01 10:33:25.024,84.200,12.260,1.032,2.813
3940,1780302805083,2026-06-01 10:33:25.083,69.600,12.236,0.852,2.863
4000,1780302805143,2026-06-01 10:33:25.143,44.900,12.236,0.549,2.896
4052,1780302805195,2026-06-01 10:33:25.195,28.300,12.248,0.347,2.914
4104,1780302805247,2026-06-01 10:33:25.247,98.400,12.344,1.215,2.977
4156,1780302805299,2026-06-01 10:33:25.299,103.000,12.308,1.268,3.043
4208,1780302805351,2026-06-01 10:33:25.351,34.300,12.284,0.421,3.065
4260,1780302805403,2026-06-01 10:33:25.403,80.700,12.368,0.998,3.117
