time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780344813072,2026-06-01 22:13:33.072,0.000,12.328,0.000,0.000
56,1780344813124,2026-06-01 22:13:33.124,0.200,12.312,0.002,0.000
117,1780344813185,2026-06-01 22:13:33.185,0.200,12.308,0.002,0.000
175,1780344813243,2026-06-01 22:13:33.243,0.300,12.328,0.004,0.000
227,1780344813295,2026-06-01 22:13:33.295,-0.200,12.328,-0.002,0.000
287,1780344813355,2026-06-01 22:13:33.355,0.400,12.328,0.005,0.001
339,1780344813407,2026-06-01 22:13:33.407,0.000,12.328,0.000,0.001
391,1780344813459,2026-06-01 22:13:33.459,0.100,12.384,0.001,0.001
443,1780344813511,2026-06-01 22:13:33.511,-0.100,12.388,-0.001,0.001
495,1780344813563,2026-06-01 22:13:33.563,0.100,12.384,0.001,0.001
547,1780344813615,2026-06-01 22:13:33.615,-0.100,12.380,-0.001,0.001
607,1780344813675,2026-06-01 22:13:33.675,0.300,12.312,0.004,0.001
666,1780344813734,2026-06-01 22:13:33.734,0.200,12.320,0.002,0.001
717,1780344813785,2026-06-01 22:13:33.785,0.400,12.328,0.005,0.001
769,1780344813837,2026-06-01 22:13:33.837,0.200,12.380,0.002,0.001
821,1780344813889,2026-06-01 22:13:33.889,0.300,12.384,0.004,0.002
873,1780344813941,2026-06-01 22:13:33.941,0.200,12.384,0.002,0.002
925,1780344813993,2026-06-01 22:13:33.993,0.000,12.384,0.000,0.002
977,1780344814045,2026-06-01 22:13:34.045,0.300,12.384,0.004,0.002
1030,1780344814098,2026-06-01 22:13:34.098,0.300,12.328,0.004,0.002
1089,1780344814157,2026-06-01 22:13:34.157,0.300,12.328,0.004,0.002
1147,1780344814215,2026-06-01 22:13:34.215,0.100,12.324,0.001,0.002
1207,1780344814275,2026-06-01 22:13:34.275,0.100,12.324,0.001,0.002
1267,1780344814335,2026-06-01 22:13:34.335,0.400,12.328,0.005,0.003
1319,1780344814387,2026-06-01 22:13:34.387,0.000,12.324,0.000,0.003
1371,1780344814439,2026-06-01 22:13:34.439,0.100,12.376,0.001,0.003
1423,1780344814491,2026-06-01 22:13:34.491,0.200,12.324,0.002,0.003
1481,1780344814549,2026-06-01 22:13:34.549,1331.200,10.056,13.387,0.779
1541,1780344814609,2026-06-01 22:13:34.609,299.800,11.864,3.557,0.993
