time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780345422629,2026-06-01 22:23:42.629,0.100,12.348,0.001,0.000
64,1780345422689,2026-06-01 22:23:42.689,0.200,12.352,0.002,0.000
125,1780345422750,2026-06-01 22:23:42.750,0.000,12.348,0.000,0.000
185,1780345422810,2026-06-01 22:23:42.810,0.300,12.356,0.004,0.000
245,1780345422870,2026-06-01 22:23:42.870,0.300,12.344,0.004,0.001
305,1780345422930,2026-06-01 22:23:42.930,0.100,12.356,0.001,0.001
357,1780345422982,2026-06-01 22:23:42.982,0.200,12.352,0.002,0.001
409,1780345423034,2026-06-01 22:23:43.034,0.100,12.380,0.001,0.001
461,1780345423086,2026-06-01 22:23:43.086,0.100,12.380,0.001,0.001
513,1780345423138,2026-06-01 22:23:43.138,0.100,12.384,0.001,0.001
565,1780345423190,2026-06-01 22:23:43.190,-0.100,12.384,-0.001,0.001
617,1780345423242,2026-06-01 22:23:43.242,0.200,12.352,0.002,0.001
669,1780345423294,2026-06-01 22:23:43.294,0.300,12.380,0.004,0.001
721,1780345423346,2026-06-01 22:23:43.346,0.300,12.384,0.004,0.001
773,1780345423398,2026-06-01 22:23:43.398,0.200,12.384,0.002,0.002
833,1780345423458,2026-06-01 22:23:43.458,0.000,12.340,0.000,0.002
892,1780345423517,2026-06-01 22:23:43.517,0.200,12.348,0.002,0.002
954,1780345423579,2026-06-01 22:23:43.579,0.100,12.352,0.001,0.002
1014,1780345423639,2026-06-01 22:23:43.639,-0.100,12.356,-0.001,0.002
1066,1780345423691,2026-06-01 22:23:43.691,0.000,12.352,0.000,0.002
1126,1780345423751,2026-06-01 22:23:43.751,0.300,12.344,0.004,0.002
1178,1780345423803,2026-06-01 22:23:43.803,0.200,12.352,0.002,0.002
1230,1780345423855,2026-06-01 22:23:43.855,0.100,12.384,0.001,0.002
1282,1780345423907,2026-06-01 22:23:43.907,0.200,12.384,0.002,0.002
1334,1780345423959,2026-06-01 22:23:43.959,0.000,12.384,0.000,0.002
1386,1780345424011,2026-06-01 22:23:44.011,-0.200,12.384,-0.002,0.002
1438,1780345424063,2026-06-01 22:23:44.063,0.100,12.352,0.001,0.002
1490,1780345424115,2026-06-01 22:23:44.115,0.100,12.380,0.001,0.002
1542,1780345424167,2026-06-01 22:23:44.167,0.200,12.384,0.002,0.002
1594,1780345424219,2026-06-01 22:23:44.219,0.000,12.384,0.000,0.002
1654,1780345424279,2026-06-01 22:23:44.279,0.400,12.352,0.005,0.003
1706,1780345424331,2026-06-01 22:23:44.331,0.300,12.352,0.004,0.003
1758,1780345424383,2026-06-01 22:23:44.383,-0.100,12.384,-0.001,0.003
1810,1780345424435,2026-06-01 22:23:44.435,0.300,12.380,0.004,0.003
1870,1780345424495,2026-06-01 22:23:44.495,0.100,12.344,0.001,0.003
1927,1780345424552,2026-06-01 22:23:44.552,0.200,12.352,0.002,0.003
1987,1780345424612,2026-06-01 22:23:44.612,0.300,12.352,0.004,0.003
2046,1780345424671,2026-06-01 22:23:44.671,-0.100,12.344,-0.001,0.003
2106,1780345424731,2026-06-01 22:23:44.731,0.100,12.352,0.001,0.003
2158,1780345424783,2026-06-01 22:23:44.783,0.100,12.348,0.001,0.004
2210,1780345424835,2026-06-01 22:23:44.835,0.000,12.380,0.000,0.004
2262,1780345424887,2026-06-01 22:23:44.887,0.000,12.380,0.000,0.004
2314,1780345424939,2026-06-01 22:23:44.939,0.100,12.384,0.001,0.004
2366,1780345424991,2026-06-01 22:23:44.991,0.200,12.384,0.002,0.004
2418,1780345425043,2026-06-01 22:23:45.043,0.100,12.380,0.001,0.004
2470,1780345425095,2026-06-01 22:23:45.095,0.100,12.352,0.001,0.004
2522,1780345425147,2026-06-01 22:23:45.147,0.000,12.384,0.000,0.004
2574,1780345425199,2026-06-01 22:23:45.199,0.200,12.384,0.002,0.004
2626,1780345425251,2026-06-01 22:23:45.251,-0.100,12.384,-0.001,0.004
2686,1780345425311,2026-06-01 22:23:45.311,-0.100,12.352,-0.001,0.004
2738,1780345425363,2026-06-01 22:23:45.363,0.000,12.352,0.000,0.004
2790,1780345425415,2026-06-01 22:23:45.415,-0.100,12.380,-0.001,0.004
2842,1780345425467,2026-06-01 22:23:45.467,-0.100,12.384,-0.001,0.004
2902,1780345425527,2026-06-01 22:23:45.527,0.100,12.352,0.001,0.004
2964,1780345425589,2026-06-01 22:23:45.589,1475.700,10.180,15.023,0.935
3022,1780345425647,2026-06-01 22:23:45.647,470.600,11.660,5.487,1.253
3082,1780345425707,2026-06-01 22:23:45.707,315.100,11.872,3.741,1.478
3142,1780345425767,2026-06-01 22:23:45.767,232.400,12.060,2.803,1.646
3201,1780345425826,2026-06-01 22:23:45.826,175.900,12.116,2.131,1.772
3253,1780345425878,2026-06-01 22:23:45.878,149.900,12.204,1.829,1.867
3305,1780345425930,2026-06-01 22:23:45.930,100.600,12.312,1.239,1.931
3357,1780345425982,2026-06-01 22:23:45.982,38.000,12.312,0.468,1.956
3409,1780345426034,2026-06-01 22:23:46.034,107.500,12.272,1.319,2.024
3461,1780345426086,2026-06-01 22:23:46.086,230.500,12.116,2.793,2.169
3513,1780345426138,2026-06-01 22:23:46.138,261.400,12.052,3.150,2.333
3565,1780345426190,2026-06-01 22:23:46.190,200.500,12.100,2.426,2.459
3617,1780345426242,2026-06-01 22:23:46.242,111.600,12.216,1.363,2.530
3669,1780345426294,2026-06-01 22:23:46.294,119.900,12.252,1.469,2.607
3729,1780345426354,2026-06-01 22:23:46.354,95.800,12.280,1.176,2.677
3781,1780345426406,2026-06-01 22:23:46.406,46.300,12.220,0.566,2.707
3833,1780345426458,2026-06-01 22:23:46.458,149.800,12.156,1.821,2.801
3885,1780345426510,2026-06-01 22:23:46.510,298.400,11.976,3.574,2.987
3949,1780345426574,2026-06-01 22:23:46.574,325.300,12.044,3.918,3.238
4007,1780345426632,2026-06-01 22:23:46.632,137.400,12.192,1.675,3.335
4067,1780345426692,2026-06-01 22:23:46.692,94.500,12.184,1.151,3.404
4128,1780345426753,2026-06-01 22:23:46.753,71.500,12.296,0.879,3.458
