time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1780345543470,2026-06-01 22:25:43.470,0.100,12.328,0.001,0.000
63,1780345543530,2026-06-01 22:25:43.530,0.100,12.332,0.001,0.000
120,1780345543587,2026-06-01 22:25:43.587,-0.100,12.336,-0.001,0.000
180,1780345543647,2026-06-01 22:25:43.647,0.100,12.336,0.001,0.000
232,1780345543699,2026-06-01 22:25:43.699,0.000,12.328,0.000,0.000
293,1780345543760,2026-06-01 22:25:43.760,0.300,12.336,0.004,0.000
345,1780345543812,2026-06-01 22:25:43.812,0.000,12.336,0.000,0.000
397,1780345543864,2026-06-01 22:25:43.864,0.400,12.372,0.005,0.001
454,1780345543921,2026-06-01 22:25:43.921,0.200,12.376,0.002,0.001
506,1780345543973,2026-06-01 22:25:43.973,0.000,12.376,0.000,0.001
558,1780345544025,2026-06-01 22:25:44.025,-0.100,12.376,-0.001,0.001
610,1780345544077,2026-06-01 22:25:44.077,0.000,12.336,0.000,0.001
662,1780345544129,2026-06-01 22:25:44.129,-0.200,12.376,-0.002,0.001
714,1780345544181,2026-06-01 22:25:44.181,0.100,12.372,0.001,0.001
766,1780345544233,2026-06-01 22:25:44.233,0.400,12.372,0.005,0.001
826,1780345544293,2026-06-01 22:25:44.293,-0.200,12.336,-0.002,0.001
878,1780345544345,2026-06-01 22:25:44.345,0.200,12.336,0.002,0.001
930,1780345544397,2026-06-01 22:25:44.397,0.300,12.376,0.004,0.001
982,1780345544449,2026-06-01 22:25:44.449,0.100,12.376,0.001,0.001
1042,1780345544509,2026-06-01 22:25:44.509,0.200,12.336,0.002,0.001
1100,1780345544567,2026-06-01 22:25:44.567,0.200,12.324,0.002,0.001
1160,1780345544627,2026-06-01 22:25:44.627,0.100,12.336,0.001,0.001
1217,1780345544684,2026-06-01 22:25:44.684,1359.600,10.704,14.553,0.831
1277,1780345544744,2026-06-01 22:25:44.744,270.100,12.036,3.251,1.026
1336,1780345544803,2026-06-01 22:25:44.803,307.000,12.000,3.684,1.243
