time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
6,1780389076678,2026-06-02 10:31:16.678,-0.200,12.324,-0.002,-0.000
66,1780389076738,2026-06-02 10:31:16.738,0.100,12.324,0.001,0.000
118,1780389076790,2026-06-02 10:31:16.790,0.200,12.320,0.002,0.000
170,1780389076842,2026-06-02 10:31:16.842,0.300,12.356,0.004,0.000
222,1780389076894,2026-06-02 10:31:16.894,0.100,12.356,0.001,0.000
274,1780389076946,2026-06-02 10:31:16.946,0.000,12.352,0.000,0.000
326,1780389076998,2026-06-02 10:31:16.998,0.200,12.356,0.002,0.001
378,1780389077050,2026-06-02 10:31:17.050,0.100,12.324,0.001,0.001
430,1780389077102,2026-06-02 10:31:17.102,0.000,12.352,0.000,0.001
482,1780389077154,2026-06-02 10:31:17.154,0.000,12.356,0.000,0.001
534,1780389077206,2026-06-02 10:31:17.206,0.100,12.356,0.001,0.001
594,1780389077266,2026-06-02 10:31:17.266,0.500,12.324,0.006,0.001
652,1780389077324,2026-06-02 10:31:17.324,0.200,12.312,0.002,0.001
712,1780389077384,2026-06-02 10:31:17.384,0.100,12.320,0.001,0.001
777,1780389077449,2026-06-02 10:31:17.449,0.100,12.324,0.001,0.001
837,1780389077509,2026-06-02 10:31:17.509,0.100,12.320,0.001,0.001
889,1780389077561,2026-06-02 10:31:17.561,0.100,12.324,0.001,0.002
941,1780389077613,2026-06-02 10:31:17.613,0.000,12.352,0.000,0.002
993,1780389077665,2026-06-02 10:31:17.665,-0.100,12.352,-0.001,0.001
1045,1780389077717,2026-06-02 10:31:17.717,0.300,12.352,0.004,0.002
1097,1780389077769,2026-06-02 10:31:17.769,0.200,12.352,0.002,0.002
1149,1780389077821,2026-06-02 10:31:17.821,0.100,12.356,0.001,0.002
1201,1780389077873,2026-06-02 10:31:17.873,0.100,12.324,0.001,0.002
1253,1780389077925,2026-06-02 10:31:17.925,0.100,12.352,0.001,0.002
1305,1780389077977,2026-06-02 10:31:17.977,0.100,12.356,0.001,0.002
1357,1780389078029,2026-06-02 10:31:18.029,-0.100,12.352,-0.001,0.002
1417,1780389078089,2026-06-02 10:31:18.089,0.000,12.324,0.000,0.002
1469,1780389078141,2026-06-02 10:31:18.141,-0.100,12.324,-0.001,0.002
1521,1780389078193,2026-06-02 10:31:18.193,0.100,12.356,0.001,0.002
1573,1780389078245,2026-06-02 10:31:18.245,0.300,12.352,0.004,0.002
1633,1780389078305,2026-06-02 10:31:18.305,0.100,12.324,0.001,0.002
1690,1780389078362,2026-06-02 10:31:18.362,1338.800,10.448,13.988,0.800
1747,1780389078419,2026-06-02 10:31:18.419,321.100,11.948,3.837,1.018
1806,1780389078478,2026-06-02 10:31:18.478,128.900,12.140,1.565,1.111
1867,1780389078539,2026-06-02 10:31:18.539,44.700,12.152,0.543,1.144
1927,1780389078599,2026-06-02 10:31:18.599,107.400,12.240,1.315,1.223
1978,1780389078650,2026-06-02 10:31:18.650,102.800,12.192,1.253,1.286
2030,1780389078702,2026-06-02 10:31:18.702,68.700,12.212,0.839,1.330
2082,1780389078754,2026-06-02 10:31:18.754,101.900,12.268,1.250,1.395
2134,1780389078806,2026-06-02 10:31:18.806,99.200,12.300,1.220,1.459
2186,1780389078858,2026-06-02 10:31:18.858,123.200,12.264,1.511,1.537
2238,1780389078910,2026-06-02 10:31:18.910,81.200,12.180,0.989,1.589
2298,1780389078970,2026-06-02 10:31:18.970,127.400,12.148,1.548,1.681
2357,1780389079029,2026-06-02 10:31:19.029,129.300,12.220,1.580,1.775
2417,1780389079089,2026-06-02 10:31:19.089,122.500,12.188,1.493,1.864
2468,1780389079140,2026-06-02 10:31:19.140,47.400,12.204,0.578,1.894
2520,1780389079192,2026-06-02 10:31:19.192,44.400,12.244,0.544,1.922
2572,1780389079244,2026-06-02 10:31:19.244,58.600,12.224,0.716,1.959
2624,1780389079296,2026-06-02 10:31:19.296,88.900,12.208,1.085,2.016
2682,1780389079354,2026-06-02 10:31:19.354,65.700,12.284,0.807,2.062
2742,1780389079414,2026-06-02 10:31:19.414,38.900,12.196,0.474,2.091
2799,1780389079471,2026-06-02 10:31:19.471,92.900,12.136,1.127,2.155
2860,1780389079532,2026-06-02 10:31:19.532,71.400,12.224,0.873,2.208
2912,1780389079584,2026-06-02 10:31:19.584,67.200,12.184,0.819,2.251
2964,1780389079636,2026-06-02 10:31:19.636,86.000,12.232,1.052,2.306
3016,1780389079688,2026-06-02 10:31:19.688,107.300,12.272,1.317,2.374
3076,1780389079748,2026-06-02 10:31:19.748,120.100,12.240,1.470,2.462
3128,1780389079800,2026-06-02 10:31:19.800,64.400,12.228,0.787,2.503
3180,1780389079852,2026-06-02 10:31:19.852,93.800,12.300,1.154,2.563
3233,1780389079905,2026-06-02 10:31:19.905,105.400,12.212,1.287,2.632
3293,1780389079965,2026-06-02 10:31:19.965,118.000,12.236,1.444,2.718
3345,1780389080017,2026-06-02 10:31:20.017,131.300,12.220,1.604,2.802
3397,1780389080069,2026-06-02 10:31:20.069,157.400,12.168,1.915,2.901
3457,1780389080129,2026-06-02 10:31:20.129,93.500,12.144,1.135,2.969
3509,1780389080181,2026-06-02 10:31:20.181,115.500,12.248,1.415,3.043
3561,1780389080233,2026-06-02 10:31:20.233,113.900,12.272,1.398,3.116
3613,1780389080285,2026-06-02 10:31:20.285,74.300,12.272,0.912,3.163
3671,1780389080343,2026-06-02 10:31:20.343,117.100,12.236,1.433,3.246
3723,1780389080395,2026-06-02 10:31:20.395,106.000,12.256,1.299,3.314
3775,1780389080447,2026-06-02 10:31:20.447,123.900,12.204,1.512,3.392
3827,1780389080499,2026-06-02 10:31:20.499,77.300,12.256,0.947,3.442
3879,1780389080551,2026-06-02 10:31:20.551,126.300,12.232,1.545,3.522
3931,1780389080603,2026-06-02 10:31:20.603,90.800,12.256,1.113,3.580
3983,1780389080655,2026-06-02 10:31:20.655,104.300,12.212,1.274,3.646
4035,1780389080707,2026-06-02 10:31:20.707,65.600,12.224,0.802,3.688
4087,1780389080759,2026-06-02 10:31:20.759,81.900,12.240,1.002,3.740
4139,1780389080811,2026-06-02 10:31:20.811,103.500,12.228,1.266,3.806
4191,1780389080863,2026-06-02 10:31:20.863,108.100,12.252,1.324,3.874
