time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
5,1780389265409,2026-06-02 10:34:25.409,0.000,12.304,0.000,0.000
65,1780389265469,2026-06-02 10:34:25.469,0.000,12.304,0.000,0.000
123,1780389265527,2026-06-02 10:34:25.527,0.000,12.288,0.000,0.000
182,1780389265586,2026-06-02 10:34:25.586,-0.100,12.308,-0.001,-0.000
241,1780389265645,2026-06-02 10:34:25.645,0.100,12.292,0.001,-0.000
300,1780389265704,2026-06-02 10:34:25.704,0.000,12.308,0.000,-0.000
353,1780389265757,2026-06-02 10:34:25.757,0.300,12.308,0.004,0.000
411,1780389265815,2026-06-02 10:34:25.815,0.100,12.288,0.001,0.000
471,1780389265875,2026-06-02 10:34:25.875,0.200,12.308,0.002,0.000
522,1780389265926,2026-06-02 10:34:25.926,0.100,12.308,0.001,0.000
574,1780389265978,2026-06-02 10:34:25.978,0.100,12.344,0.001,0.001
626,1780389266030,2026-06-02 10:34:26.030,0.200,12.344,0.002,0.001
678,1780389266082,2026-06-02 10:34:26.082,0.000,12.348,0.000,0.001
730,1780389266134,2026-06-02 10:34:26.134,-0.100,12.348,-0.001,0.001
782,1780389266186,2026-06-02 10:34:26.186,0.000,12.348,0.000,0.001
834,1780389266238,2026-06-02 10:34:26.238,0.200,12.308,0.002,0.001
886,1780389266290,2026-06-02 10:34:26.290,-0.100,12.344,-0.001,0.001
938,1780389266342,2026-06-02 10:34:26.342,0.000,12.348,0.000,0.001
990,1780389266394,2026-06-02 10:34:26.394,0.100,12.308,0.001,0.001
1049,1780389266453,2026-06-02 10:34:26.453,0.200,12.304,0.002,0.001
1108,1780389266512,2026-06-02 10:34:26.512,0.100,12.304,0.001,0.001
1166,1780389266570,2026-06-02 10:34:26.570,0.300,12.304,0.004,0.001
1225,1780389266629,2026-06-02 10:34:26.629,0.400,12.308,0.005,0.001
1283,1780389266687,2026-06-02 10:34:26.687,0.200,12.308,0.002,0.002
1335,1780389266739,2026-06-02 10:34:26.739,-0.100,12.308,-0.001,0.002
1387,1780389266791,2026-06-02 10:34:26.791,0.300,12.344,0.004,0.002
1447,1780389266851,2026-06-02 10:34:26.851,0.000,12.288,0.000,0.002
1499,1780389266903,2026-06-02 10:34:26.903,0.000,12.308,0.000,0.002
1556,1780389266960,2026-06-02 10:34:26.960,0.000,12.348,0.000,0.002
1609,1780389267013,2026-06-02 10:34:27.013,0.600,12.300,0.007,0.002
1667,1780389267071,2026-06-02 10:34:27.071,1290.900,10.408,13.436,0.781
1727,1780389267131,2026-06-02 10:34:27.131,292.700,11.828,3.462,0.989
1778,1780389267182,2026-06-02 10:34:27.182,247.900,12.012,2.978,1.141
1838,1780389267242,2026-06-02 10:34:27.242,181.900,12.084,2.198,1.273
1889,1780389267293,2026-06-02 10:34:27.293,76.800,12.136,0.932,1.320
1941,1780389267345,2026-06-02 10:34:27.345,125.600,12.220,1.535,1.400
