time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
6,1780388652869,2026-06-02 10:24:12.869,-0.100,12.328,-0.001,-0.000
67,1780388652930,2026-06-02 10:24:12.930,0.100,12.316,0.001,0.000
126,1780388652989,2026-06-02 10:24:12.989,0.000,12.328,0.000,0.000
177,1780388653040,2026-06-02 10:24:13.040,-0.200,12.328,-0.002,-0.000
238,1780388653101,2026-06-02 10:24:13.101,0.000,12.328,0.000,-0.000
290,1780388653153,2026-06-02 10:24:13.153,-0.100,12.328,-0.001,-0.000
347,1780388653210,2026-06-02 10:24:13.210,0.100,12.360,0.001,-0.000
399,1780388653262,2026-06-02 10:24:13.262,0.000,12.360,0.000,-0.000
451,1780388653314,2026-06-02 10:24:13.314,0.000,12.364,0.000,-0.000
503,1780388653366,2026-06-02 10:24:13.366,0.200,12.360,0.002,0.000
555,1780388653418,2026-06-02 10:24:13.418,0.000,12.364,0.000,0.000
615,1780388653478,2026-06-02 10:24:13.478,0.100,12.328,0.001,0.000
673,1780388653536,2026-06-02 10:24:13.536,-0.300,12.320,-0.004,-0.000
733,1780388653596,2026-06-02 10:24:13.596,0.000,12.328,0.000,-0.000
785,1780388653648,2026-06-02 10:24:13.648,-0.200,12.324,-0.002,-0.000
847,1780388653710,2026-06-02 10:24:13.710,-0.100,12.328,-0.001,-0.000
899,1780388653762,2026-06-02 10:24:13.762,0.100,12.328,0.001,-0.000
951,1780388653814,2026-06-02 10:24:13.814,0.000,12.360,0.000,-0.000
1003,1780388653866,2026-06-02 10:24:13.866,0.000,12.360,0.000,-0.000
1055,1780388653918,2026-06-02 10:24:13.918,-0.100,12.364,-0.001,-0.000
1107,1780388653970,2026-06-02 10:24:13.970,0.000,12.364,0.000,-0.000
1159,1780388654022,2026-06-02 10:24:14.022,-0.300,12.364,-0.004,-0.000
1211,1780388654074,2026-06-02 10:24:14.074,0.000,12.328,0.000,-0.000
1271,1780388654134,2026-06-02 10:24:14.134,0.200,12.324,0.002,-0.000
1331,1780388654194,2026-06-02 10:24:14.194,0.000,12.328,0.000,-0.000
1383,1780388654246,2026-06-02 10:24:14.246,0.100,12.328,0.001,-0.000
1443,1780388654306,2026-06-02 10:24:14.306,0.100,12.328,0.001,-0.000
1495,1780388654358,2026-06-02 10:24:14.358,0.000,12.332,0.000,-0.000
1547,1780388654410,2026-06-02 10:24:14.410,0.300,12.368,0.004,0.000
1599,1780388654462,2026-06-02 10:24:14.462,0.000,12.364,0.000,0.000
1657,1780388654520,2026-06-02 10:24:14.520,0.100,12.324,0.001,0.000
1714,1780388654577,2026-06-02 10:24:14.577,1269.000,10.408,13.208,0.753
1774,1780388654637,2026-06-02 10:24:14.637,359.100,11.868,4.262,1.009
1826,1780388654689,2026-06-02 10:24:14.689,317.500,11.832,3.757,1.204
1878,1780388654741,2026-06-02 10:24:14.741,255.200,12.056,3.077,1.364
1930,1780388654793,2026-06-02 10:24:14.793,260.600,12.036,3.137,1.527
1982,1780388654845,2026-06-02 10:24:14.845,324.400,11.940,3.873,1.728
2034,1780388654897,2026-06-02 10:24:14.897,412.000,11.876,4.893,1.983
2086,1780388654949,2026-06-02 10:24:14.949,282.400,12.000,3.389,2.159
2138,1780388655001,2026-06-02 10:24:15.001,155.000,12.200,1.891,2.257
2190,1780388655053,2026-06-02 10:24:15.053,61.100,12.204,0.746,2.296
2242,1780388655105,2026-06-02 10:24:15.105,80.600,13.052,1.052,2.351
2294,1780388655157,2026-06-02 10:24:15.157,156.200,13.380,2.090,2.460
2351,1780388655214,2026-06-02 10:24:15.214,260.300,12.344,3.213,2.643
2403,1780388655266,2026-06-02 10:24:15.266,243.300,12.624,3.071,2.802
2455,1780388655318,2026-06-02 10:24:15.318,465.800,12.408,5.780,3.103
2507,1780388655370,2026-06-02 10:24:15.370,352.200,12.904,4.545,3.339
2559,1780388655422,2026-06-02 10:24:15.422,210.500,13.260,2.791,3.485
2611,1780388655474,2026-06-02 10:24:15.474,72.900,13.652,0.995,3.536
2663,1780388655526,2026-06-02 10:24:15.526,56.800,12.120,0.688,3.572
2715,1780388655578,2026-06-02 10:24:15.578,172.500,12.028,2.075,3.680
2765,1780388655628,2026-06-02 10:24:15.628,192.900,11.984,2.312,3.796
2816,1780388655679,2026-06-02 10:24:15.679,312.900,11.808,3.695,3.984
