time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1780388711627,2026-06-02 10:25:11.627,-0.100,12.288,-0.001,-0.000
62,1780388711686,2026-06-02 10:25:11.686,-0.100,12.288,-0.001,-0.000
114,1780388711738,2026-06-02 10:25:11.738,-0.200,12.288,-0.002,-0.000
166,1780388711790,2026-06-02 10:25:11.790,0.000,12.352,0.000,-0.000
218,1780388711842,2026-06-02 10:25:11.842,0.300,12.284,0.004,-0.000
278,1780388711902,2026-06-02 10:25:11.902,-0.100,12.264,-0.001,-0.000
329,1780388711953,2026-06-02 10:25:11.953,-0.100,12.288,-0.001,-0.000
381,1780388712005,2026-06-02 10:25:12.005,-0.200,12.344,-0.002,-0.000
433,1780388712057,2026-06-02 10:25:12.057,0.100,12.352,0.001,-0.000
485,1780388712109,2026-06-02 10:25:12.109,0.000,12.348,0.000,-0.000
537,1780388712161,2026-06-02 10:25:12.161,0.100,12.352,0.001,-0.000
589,1780388712213,2026-06-02 10:25:12.213,-0.100,12.352,-0.001,-0.000
641,1780388712265,2026-06-02 10:25:12.265,0.000,12.288,0.000,-0.000
693,1780388712317,2026-06-02 10:25:12.317,-0.100,12.348,-0.001,-0.000
745,1780388712369,2026-06-02 10:25:12.369,0.000,12.348,0.000,-0.000
797,1780388712421,2026-06-02 10:25:12.421,0.300,12.348,0.004,-0.000
857,1780388712481,2026-06-02 10:25:12.481,-0.100,12.292,-0.001,-0.000
914,1780388712538,2026-06-02 10:25:12.538,-0.100,12.280,-0.001,-0.000
974,1780388712598,2026-06-02 10:25:12.598,-0.100,12.276,-0.001,-0.000
1034,1780388712658,2026-06-02 10:25:12.658,0.400,12.288,0.005,-0.000
1093,1780388712717,2026-06-02 10:25:12.717,-0.100,12.280,-0.001,-0.000
1144,1780388712768,2026-06-02 10:25:12.768,0.000,12.284,0.000,-0.000
1196,1780388712820,2026-06-02 10:25:12.820,-0.100,12.352,-0.001,-0.000
1248,1780388712872,2026-06-02 10:25:12.872,0.100,12.352,0.001,-0.000
1300,1780388712924,2026-06-02 10:25:12.924,0.100,12.348,0.001,-0.000
