time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780387994525,2026-06-02 10:13:14.525,0.400,12.344,0.005,0.000
64,1780387994585,2026-06-02 10:13:14.585,-0.300,12.352,-0.004,-0.000
123,1780387994644,2026-06-02 10:13:14.644,0.000,12.344,0.000,-0.000
174,1780387994695,2026-06-02 10:13:14.695,0.000,12.352,0.000,-0.000
226,1780387994747,2026-06-02 10:13:14.747,0.300,12.376,0.004,-0.000
278,1780387994799,2026-06-02 10:13:14.799,0.000,12.376,0.000,-0.000
330,1780387994851,2026-06-02 10:13:14.851,0.200,12.380,0.002,0.000
382,1780387994903,2026-06-02 10:13:14.903,0.000,12.380,0.000,0.000
434,1780387994955,2026-06-02 10:13:14.955,0.200,12.352,0.002,0.000
486,1780387995007,2026-06-02 10:13:15.007,0.300,12.344,0.004,0.000
545,1780387995066,2026-06-02 10:13:15.066,0.100,12.348,0.001,0.001
597,1780387995118,2026-06-02 10:13:15.118,0.400,12.348,0.005,0.001
655,1780387995176,2026-06-02 10:13:15.176,-0.100,12.352,-0.001,0.001
713,1780387995234,2026-06-02 10:13:15.234,0.100,12.348,0.001,0.001
765,1780387995286,2026-06-02 10:13:15.286,0.100,12.348,0.001,0.001
825,1780387995346,2026-06-02 10:13:15.346,0.200,12.348,0.002,0.001
877,1780387995398,2026-06-02 10:13:15.398,0.100,12.352,0.001,0.001
937,1780387995458,2026-06-02 10:13:15.458,0.000,12.352,0.000,0.001
994,1780387995515,2026-06-02 10:13:15.515,0.300,12.352,0.004,0.001
1046,1780387995567,2026-06-02 10:13:15.567,0.300,12.292,0.004,0.001
1098,1780387995619,2026-06-02 10:13:15.619,0.000,12.376,0.000,0.001
1150,1780387995671,2026-06-02 10:13:15.671,0.100,12.380,0.001,0.002
1202,1780387995723,2026-06-02 10:13:15.723,0.200,12.376,0.002,0.002
1254,1780387995775,2026-06-02 10:13:15.775,0.000,12.348,0.000,0.002
1306,1780387995827,2026-06-02 10:13:15.827,0.100,12.376,0.001,0.002
1358,1780387995879,2026-06-02 10:13:15.879,0.000,12.380,0.000,0.002
1410,1780387995931,2026-06-02 10:13:15.931,-0.200,12.376,-0.002,0.002
1469,1780387995990,2026-06-02 10:13:15.990,0.100,12.348,0.001,0.002
1527,1780387996048,2026-06-02 10:13:16.048,1231.400,11.004,13.550,0.788
1579,1780387996100,2026-06-02 10:13:16.100,375.600,11.944,4.486,1.021
1637,1780387996158,2026-06-02 10:13:16.158,273.700,11.944,3.269,1.210
1695,1780387996216,2026-06-02 10:13:16.216,281.600,12.048,3.393,1.407
1755,1780387996276,2026-06-02 10:13:16.276,274.500,12.140,3.332,1.607
1808,1780387996329,2026-06-02 10:13:16.329,127.200,12.248,1.558,1.690
1868,1780387996389,2026-06-02 10:13:16.389,59.400,12.236,0.727,1.733
1920,1780387996441,2026-06-02 10:13:16.441,20.900,12.284,0.257,1.747
1973,1780387996494,2026-06-02 10:13:16.494,72.400,12.268,0.888,1.794
2024,1780387996545,2026-06-02 10:13:16.545,230.400,12.140,2.797,1.936
2082,1780387996603,2026-06-02 10:13:16.603,378.200,12.020,4.546,2.200
2134,1780387996655,2026-06-02 10:13:16.655,209.000,12.040,2.516,2.331
2186,1780387996707,2026-06-02 10:13:16.707,114.400,12.212,1.397,2.404
2239,1780387996760,2026-06-02 10:13:16.760,112.800,12.208,1.377,2.477
2299,1780387996820,2026-06-02 10:13:16.820,54.200,12.236,0.663,2.516
2351,1780387996872,2026-06-02 10:13:16.872,85.200,12.296,1.048,2.571
2403,1780387996924,2026-06-02 10:13:16.924,101.400,12.316,1.249,2.636
2455,1780387996976,2026-06-02 10:13:16.976,233.900,12.124,2.836,2.783
2515,1780387997036,2026-06-02 10:13:17.036,384.500,12.036,4.628,3.061
2576,1780387997097,2026-06-02 10:13:17.097,179.500,12.076,2.168,3.193
2629,1780387997150,2026-06-02 10:13:17.150,147.400,12.212,1.800,3.289
2689,1780387997210,2026-06-02 10:13:17.210,136.800,12.236,1.674,3.389
2748,1780387997269,2026-06-02 10:13:17.269,81.900,12.300,1.007,3.448
2800,1780387997321,2026-06-02 10:13:17.321,87.200,12.284,1.071,3.504
2860,1780387997381,2026-06-02 10:13:17.381,216.500,12.068,2.613,3.661
2912,1780387997433,2026-06-02 10:13:17.433,310.100,11.940,3.703,3.853
2964,1780387997485,2026-06-02 10:13:17.485,305.700,12.088,3.695,4.046
3021,1780387997542,2026-06-02 10:13:17.542,133.500,12.244,1.635,4.139
3081,1780387997602,2026-06-02 10:13:17.602,80.100,12.260,0.982,4.198
3133,1780387997654,2026-06-02 10:13:17.654,62.600,12.272,0.768,4.238
3185,1780387997706,2026-06-02 10:13:17.706,67.500,12.296,0.830,4.281
3237,1780387997758,2026-06-02 10:13:17.758,133.000,12.236,1.627,4.365
3297,1780387997818,2026-06-02 10:13:17.818,299.800,11.916,3.572,4.580
3349,1780387997870,2026-06-02 10:13:17.870,277.300,12.020,3.333,4.753
3401,1780387997922,2026-06-02 10:13:17.922,252.500,12.128,3.062,4.912
3453,1780387997974,2026-06-02 10:13:17.974,141.300,12.252,1.731,5.002
3513,1780387998034,2026-06-02 10:13:18.034,74.600,12.312,0.918,5.057
3565,1780387998086,2026-06-02 10:13:18.086,65.800,12.292,0.809,5.099
3617,1780387998138,2026-06-02 10:13:18.138,88.900,12.304,1.094,5.156
3669,1780387998190,2026-06-02 10:13:18.190,296.000,12.020,3.558,5.341
3729,1780387998250,2026-06-02 10:13:18.250,298.100,11.972,3.569,5.556
3786,1780387998307,2026-06-02 10:13:18.307,170.100,12.176,2.071,5.674
3846,1780387998367,2026-06-02 10:13:18.367,91.200,12.184,1.111,5.740
3898,1780387998419,2026-06-02 10:13:18.419,67.400,12.228,0.824,5.783
3950,1780387998471,2026-06-02 10:13:18.471,95.700,12.292,1.176,5.844
4002,1780387998523,2026-06-02 10:13:18.523,70.200,12.288,0.863,5.889
4054,1780387998575,2026-06-02 10:13:18.575,146.000,12.160,1.775,5.981
4114,1780387998635,2026-06-02 10:13:18.635,452.800,11.860,5.370,6.304
4166,1780387998687,2026-06-02 10:13:18.687,186.600,12.056,2.250,6.421
4219,1780387998740,2026-06-02 10:13:18.740,137.000,12.168,1.667,6.509
4271,1780387998792,2026-06-02 10:13:18.792,109.700,12.248,1.344,6.579
4331,1780387998852,2026-06-02 10:13:18.852,84.300,12.288,1.036,6.641
4383,1780387998904,2026-06-02 10:13:18.904,-8.000,12.288,-0.098,6.636
4435,1780387998956,2026-06-02 10:13:18.956,76.100,12.276,0.934,6.684
4487,1780387999008,2026-06-02 10:13:19.008,234.500,12.024,2.820,6.831
4547,1780387999068,2026-06-02 10:13:19.068,278.800,12.104,3.375,7.034
4598,1780387999119,2026-06-02 10:13:19.119,216.000,12.120,2.618,7.167
4650,1780387999171,2026-06-02 10:13:19.171,150.900,12.244,1.848,7.263
4702,1780387999223,2026-06-02 10:13:19.223,115.300,12.252,1.413,7.337
4762,1780387999283,2026-06-02 10:13:19.283,15.300,12.252,0.187,7.348
4822,1780387999343,2026-06-02 10:13:19.343,95.100,12.260,1.166,7.418
4883,1780387999404,2026-06-02 10:13:19.404,317.500,12.072,3.833,7.652
4935,1780387999456,2026-06-02 10:13:19.456,244.900,11.976,2.933,7.804
4987,1780387999508,2026-06-02 10:13:19.508,158.900,12.136,1.928,7.904
5044,1780387999565,2026-06-02 10:13:19.565,177.800,12.216,2.172,8.028
