time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1780388109098,2026-06-02 10:15:09.098,0.300,12.328,0.004,0.000
62,1780388109157,2026-06-02 10:15:09.157,0.100,12.328,0.001,0.000
122,1780388109217,2026-06-02 10:15:09.217,-0.100,12.324,-0.001,0.000
182,1780388109277,2026-06-02 10:15:09.277,0.300,12.328,0.004,0.000
240,1780388109335,2026-06-02 10:15:09.335,1334.800,10.816,14.437,0.838
298,1780388109393,2026-06-02 10:15:09.393,340.600,12.000,4.087,1.075
358,1780388109453,2026-06-02 10:15:09.453,399.100,11.932,4.762,1.360
418,1780388109513,2026-06-02 10:15:09.513,367.900,11.896,4.377,1.623
477,1780388109572,2026-06-02 10:15:09.572,273.400,12.048,3.294,1.817
537,1780388109632,2026-06-02 10:15:09.632,174.400,12.184,2.125,1.945
597,1780388109692,2026-06-02 10:15:09.692,107.800,12.264,1.322,2.024
661,1780388109756,2026-06-02 10:15:09.756,25.500,12.240,0.312,2.044
721,1780388109816,2026-06-02 10:15:09.816,88.000,12.220,1.075,2.109
781,1780388109876,2026-06-02 10:15:09.876,362.400,12.036,4.362,2.370
841,1780388109936,2026-06-02 10:15:09.936,333.300,11.960,3.986,2.610
901,1780388109996,2026-06-02 10:15:09.996,379.400,11.948,4.533,2.881
961,1780388110056,2026-06-02 10:15:10.056,190.500,12.160,2.316,3.020
1019,1780388110114,2026-06-02 10:15:10.114,134.900,12.180,1.643,3.116
1079,1780388110174,2026-06-02 10:15:10.174,37.600,12.236,0.460,3.143
1137,1780388110232,2026-06-02 10:15:10.232,45.300,12.212,0.553,3.175
1195,1780388110290,2026-06-02 10:15:10.290,205.300,12.116,2.487,3.320
1253,1780388110348,2026-06-02 10:15:10.348,524.200,11.596,6.079,3.672
1311,1780388110406,2026-06-02 10:15:10.406,413.200,11.988,4.953,3.960
1371,1780388110466,2026-06-02 10:15:10.466,228.200,12.104,2.762,4.125
1429,1780388110524,2026-06-02 10:15:10.524,145.200,12.204,1.772,4.228
1489,1780388110584,2026-06-02 10:15:10.584,123.400,12.220,1.508,4.319
1546,1780388110641,2026-06-02 10:15:10.641,76.600,12.236,0.937,4.372
1606,1780388110701,2026-06-02 10:15:10.701,108.500,12.148,1.318,4.451
1666,1780388110761,2026-06-02 10:15:10.761,337.200,11.828,3.988,4.690
1723,1780388110818,2026-06-02 10:15:10.818,592.300,11.676,6.916,5.085
1782,1780388110877,2026-06-02 10:15:10.877,216.700,12.052,2.612,5.239
1842,1780388110937,2026-06-02 10:15:10.937,115.000,12.128,1.395,5.322
1900,1780388110995,2026-06-02 10:15:10.995,46.600,12.216,0.569,5.355
1960,1780388111055,2026-06-02 10:15:11.055,25.000,12.232,0.306,5.374
2021,1780388111116,2026-06-02 10:15:11.116,233.500,12.100,2.825,5.546
2081,1780388111176,2026-06-02 10:15:11.176,485.000,11.748,5.698,5.888
2139,1780388111234,2026-06-02 10:15:11.234,335.400,11.972,4.015,6.121
2199,1780388111294,2026-06-02 10:15:11.294,253.600,12.072,3.061,6.305
2257,1780388111352,2026-06-02 10:15:11.352,194.400,12.140,2.360,6.441
2317,1780388111412,2026-06-02 10:15:11.412,88.100,12.168,1.072,6.506
2375,1780388111470,2026-06-02 10:15:11.470,36.600,12.308,0.450,6.532
2435,1780388111530,2026-06-02 10:15:11.530,86.700,12.200,1.058,6.595
2493,1780388111588,2026-06-02 10:15:11.588,270.300,11.896,3.215,6.782
2553,1780388111648,2026-06-02 10:15:11.648,403.400,11.788,4.755,7.067
2611,1780388111706,2026-06-02 10:15:11.706,287.200,11.984,3.442,7.267
2676,1780388111771,2026-06-02 10:15:11.771,136.200,12.104,1.649,7.374
2734,1780388111829,2026-06-02 10:15:11.829,73.800,12.180,0.899,7.426
2794,1780388111889,2026-06-02 10:15:11.889,50.200,12.236,0.614,7.463
2851,1780388111946,2026-06-02 10:15:11.946,85.300,12.244,1.044,7.522
2911,1780388112006,2026-06-02 10:15:12.006,331.200,11.976,3.966,7.760
2968,1780388112063,2026-06-02 10:15:12.063,395.900,11.780,4.664,8.026
3028,1780388112123,2026-06-02 10:15:12.123,274.200,11.956,3.278,8.223
3086,1780388112181,2026-06-02 10:15:12.181,198.400,12.072,2.395,8.362
3146,1780388112241,2026-06-02 10:15:12.241,146.600,12.172,1.784,8.469
3203,1780388112298,2026-06-02 10:15:12.298,78.100,12.180,0.951,8.523
3263,1780388112358,2026-06-02 10:15:12.358,43.700,12.208,0.533,8.555
3322,1780388112417,2026-06-02 10:15:12.417,151.600,12.156,1.843,8.664
3382,1780388112477,2026-06-02 10:15:12.477,424.900,11.664,4.956,8.961
3440,1780388112535,2026-06-02 10:15:12.535,371.200,11.908,4.420,9.218
3500,1780388112595,2026-06-02 10:15:12.595,185.600,12.128,2.251,9.353
3560,1780388112655,2026-06-02 10:15:12.655,130.200,12.216,1.591,9.448
3620,1780388112715,2026-06-02 10:15:12.715,88.100,12.240,1.078,9.513
3678,1780388112773,2026-06-02 10:15:12.773,91.100,12.280,1.119,9.578
3737,1780388112832,2026-06-02 10:15:12.832,227.900,12.120,2.762,9.741
3798,1780388112893,2026-06-02 10:15:12.893,378.300,11.884,4.496,10.015
3858,1780388112953,2026-06-02 10:15:12.953,243.400,12.052,2.933,10.191
3918,1780388113013,2026-06-02 10:15:13.013,180.100,12.060,2.172,10.321
3977,1780388113072,2026-06-02 10:15:13.072,176.000,12.168,2.142,10.448
4038,1780388113133,2026-06-02 10:15:13.133,55.100,12.216,0.673,10.489
4096,1780388113191,2026-06-02 10:15:13.191,12.600,12.256,0.154,10.498
4156,1780388113251,2026-06-02 10:15:13.251,228.600,12.100,2.766,10.664
4215,1780388113310,2026-06-02 10:15:13.310,392.900,11.900,4.676,10.939
4275,1780388113370,2026-06-02 10:15:13.370,327.300,11.932,3.905,11.174
4334,1780388113429,2026-06-02 10:15:13.429,155.200,12.124,1.882,11.285
4394,1780388113489,2026-06-02 10:15:13.489,77.500,12.168,0.943,11.341
4454,1780388113549,2026-06-02 10:15:13.549,50.900,12.312,0.627,11.379
4514,1780388113609,2026-06-02 10:15:13.609,21.400,12.284,0.263,11.395
4575,1780388113670,2026-06-02 10:15:13.670,185.800,12.120,2.252,11.532
4635,1780388113730,2026-06-02 10:15:13.730,546.200,11.564,6.316,11.911
4700,1780388113795,2026-06-02 10:15:13.795,307.100,11.996,3.684,12.151
