time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780389917184,2026-06-02 10:45:17.184,-0.100,12.280,-0.001,-0.000
56,1780389917236,2026-06-02 10:45:17.236,0.100,12.304,0.001,0.000
114,1780389917294,2026-06-02 10:45:17.294,0.000,12.304,0.000,0.000
174,1780389917354,2026-06-02 10:45:17.354,-0.100,12.300,-0.001,-0.000
226,1780389917406,2026-06-02 10:45:17.406,0.500,12.300,0.006,0.000
278,1780389917458,2026-06-02 10:45:17.458,0.100,12.340,0.001,0.000
330,1780389917510,2026-06-02 10:45:17.510,0.200,12.344,0.002,0.000
382,1780389917562,2026-06-02 10:45:17.562,-0.100,12.296,-0.001,0.000
437,1780389917617,2026-06-02 10:45:17.617,-0.300,12.304,-0.004,0.000
488,1780389917668,2026-06-02 10:45:17.668,0.000,12.344,0.000,0.000
540,1780389917720,2026-06-02 10:45:17.720,0.000,12.344,0.000,0.000
599,1780389917779,2026-06-02 10:45:17.779,0.100,12.284,0.001,0.000
658,1780389917838,2026-06-02 10:45:17.838,-0.100,12.300,-0.001,0.000
710,1780389917890,2026-06-02 10:45:17.890,-0.100,12.300,-0.001,0.000
769,1780389917949,2026-06-02 10:45:17.949,0.300,12.288,0.004,0.000
821,1780389918001,2026-06-02 10:45:18.001,0.300,12.300,0.004,0.001
873,1780389918053,2026-06-02 10:45:18.053,0.200,12.344,0.002,0.001
925,1780389918105,2026-06-02 10:45:18.105,0.000,12.344,0.000,0.001
977,1780389918157,2026-06-02 10:45:18.157,0.300,12.344,0.004,0.001
1036,1780389918216,2026-06-02 10:45:18.216,0.100,12.304,0.001,0.001
1088,1780389918268,2026-06-02 10:45:18.268,0.100,12.300,0.001,0.001
1145,1780389918325,2026-06-02 10:45:18.325,0.000,12.296,0.000,0.001
1205,1780389918385,2026-06-02 10:45:18.385,0.300,12.296,0.004,0.001
1263,1780389918443,2026-06-02 10:45:18.443,1283.300,10.592,13.593,0.790
1323,1780389918503,2026-06-02 10:45:18.503,317.500,11.924,3.786,1.017
1374,1780389918554,2026-06-02 10:45:18.554,186.300,12.108,2.256,1.132
1426,1780389918606,2026-06-02 10:45:18.606,102.200,12.196,1.246,1.197
1478,1780389918658,2026-06-02 10:45:18.658,121.400,12.240,1.486,1.274
1530,1780389918710,2026-06-02 10:45:18.710,126.800,12.248,1.553,1.355
1582,1780389918762,2026-06-02 10:45:18.762,122.100,12.248,1.495,1.432
1634,1780389918814,2026-06-02 10:45:18.814,135.000,12.196,1.646,1.518
1687,1780389918867,2026-06-02 10:45:18.867,131.700,12.088,1.592,1.602
1743,1780389918923,2026-06-02 10:45:18.923,153.000,12.208,1.868,1.707
1795,1780389918975,2026-06-02 10:45:18.975,135.900,12.184,1.656,1.793
1854,1780389919034,2026-06-02 10:45:19.034,83.600,12.140,1.015,1.853
1906,1780389919086,2026-06-02 10:45:19.086,128.600,12.196,1.568,1.935
1958,1780389919138,2026-06-02 10:45:19.138,112.800,12.252,1.382,2.006
2010,1780389919190,2026-06-02 10:45:19.190,109.900,12.256,1.347,2.076
2070,1780389919250,2026-06-02 10:45:19.250,108.000,12.208,1.318,2.156
2127,1780389919307,2026-06-02 10:45:19.307,116.300,12.132,1.411,2.236
2187,1780389919367,2026-06-02 10:45:19.367,127.300,12.204,1.554,2.329
2247,1780389919427,2026-06-02 10:45:19.427,146.500,12.164,1.782,2.436
2298,1780389919478,2026-06-02 10:45:19.478,126.100,12.204,1.539,2.515
2357,1780389919537,2026-06-02 10:45:19.537,96.300,12.168,1.172,2.584
2409,1780389919589,2026-06-02 10:45:19.589,130.200,12.192,1.587,2.666
2461,1780389919641,2026-06-02 10:45:19.641,147.400,12.220,1.801,2.760
2513,1780389919693,2026-06-02 10:45:19.693,150.500,12.196,1.835,2.855
2565,1780389919745,2026-06-02 10:45:19.745,116.700,12.160,1.419,2.929
2617,1780389919797,2026-06-02 10:45:19.797,86.500,12.172,1.053,2.984
