time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780389998893,2026-06-02 10:46:38.893,-0.100,12.304,-0.001,-0.000
56,1780389998945,2026-06-02 10:46:38.945,0.200,12.304,0.002,0.000
108,1780389998997,2026-06-02 10:46:38.997,-0.100,12.344,-0.001,0.000
165,1780389999054,2026-06-02 10:46:39.054,0.100,12.344,0.001,0.000
224,1780389999113,2026-06-02 10:46:39.113,0.000,12.300,0.000,0.000
276,1780389999165,2026-06-02 10:46:39.165,0.100,12.300,0.001,0.000
328,1780389999217,2026-06-02 10:46:39.217,-0.100,12.300,-0.001,0.000
381,1780389999270,2026-06-02 10:46:39.270,0.400,12.328,0.005,0.000
434,1780389999323,2026-06-02 10:46:39.323,0.000,12.300,0.000,0.000
494,1780389999383,2026-06-02 10:46:39.383,0.200,12.300,0.002,0.001
551,1780389999440,2026-06-02 10:46:39.440,0.200,12.304,0.002,0.001
611,1780389999500,2026-06-02 10:46:39.500,0.300,12.304,0.004,0.001
663,1780389999552,2026-06-02 10:46:39.552,-0.100,12.304,-0.001,0.001
715,1780389999604,2026-06-02 10:46:39.604,-0.100,12.336,-0.001,0.001
767,1780389999656,2026-06-02 10:46:39.656,0.100,12.344,0.001,0.001
826,1780389999715,2026-06-02 10:46:39.715,0.100,12.292,0.001,0.001
878,1780389999767,2026-06-02 10:46:39.767,0.100,12.304,0.001,0.001
930,1780389999819,2026-06-02 10:46:39.819,0.300,12.300,0.004,0.001
983,1780389999872,2026-06-02 10:46:39.872,0.100,12.336,0.001,0.001
1034,1780389999923,2026-06-02 10:46:39.923,-0.100,12.300,-0.001,0.001
1094,1780389999983,2026-06-02 10:46:39.983,0.000,12.300,0.000,0.001
1146,1780390000035,2026-06-02 10:46:40.035,0.100,12.300,0.001,0.001
1205,1780390000094,2026-06-02 10:46:40.094,0.200,12.300,0.002,0.001
1257,1780390000146,2026-06-02 10:46:40.146,0.000,12.304,0.000,0.001
1309,1780390000198,2026-06-02 10:46:40.198,0.100,12.340,0.001,0.001
1361,1780390000250,2026-06-02 10:46:40.250,0.200,12.344,0.002,0.002
1413,1780390000302,2026-06-02 10:46:40.302,0.000,12.284,0.000,0.002
1473,1780390000362,2026-06-02 10:46:40.362,-0.100,12.292,-0.001,0.001
1533,1780390000422,2026-06-02 10:46:40.422,0.300,12.304,0.004,0.002
1592,1780390000481,2026-06-02 10:46:40.481,0.200,12.292,0.002,0.002
1644,1780390000533,2026-06-02 10:46:40.533,0.200,12.304,0.002,0.002
1696,1780390000585,2026-06-02 10:46:40.585,0.300,12.340,0.004,0.002
1748,1780390000637,2026-06-02 10:46:40.637,0.000,12.340,0.000,0.002
1800,1780390000689,2026-06-02 10:46:40.689,0.000,12.340,0.000,0.002
1859,1780390000748,2026-06-02 10:46:40.748,0.300,12.304,0.004,0.002
1917,1780390000806,2026-06-02 10:46:40.806,1347.700,10.520,14.178,0.825
1977,1780390000866,2026-06-02 10:46:40.866,349.800,11.940,4.177,1.075
2029,1780390000918,2026-06-02 10:46:40.918,168.900,12.128,2.048,1.182
2081,1780390000970,2026-06-02 10:46:40.970,98.500,12.212,1.203,1.244
2133,1780390001022,2026-06-02 10:46:41.022,75.600,12.188,0.921,1.292
2190,1780390001079,2026-06-02 10:46:41.079,87.000,12.184,1.060,1.353
2250,1780390001139,2026-06-02 10:46:41.139,102.100,12.132,1.239,1.427
2302,1780390001191,2026-06-02 10:46:41.191,97.600,12.188,1.190,1.489
2354,1780390001243,2026-06-02 10:46:41.243,132.700,12.232,1.623,1.573
2406,1780390001295,2026-06-02 10:46:41.295,150.900,12.204,1.842,1.669
2465,1780390001354,2026-06-02 10:46:41.354,141.100,12.164,1.716,1.770
2523,1780390001412,2026-06-02 10:46:41.412,143.100,12.172,1.742,1.871
2582,1780390001471,2026-06-02 10:46:41.471,137.600,12.172,1.675,1.970
2635,1780390001524,2026-06-02 10:46:41.524,79.800,12.172,0.971,2.022
2687,1780390001576,2026-06-02 10:46:41.576,123.800,12.232,1.514,2.100
2739,1780390001628,2026-06-02 10:46:41.628,89.800,12.176,1.093,2.157
