time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780390289569,2026-06-02 10:51:29.569,0.000,12.308,0.000,0.000
62,1780390289627,2026-06-02 10:51:29.627,0.100,12.316,0.001,0.000
122,1780390289687,2026-06-02 10:51:29.687,0.200,12.312,0.002,0.000
174,1780390289739,2026-06-02 10:51:29.739,0.400,12.312,0.005,0.000
234,1780390289799,2026-06-02 10:51:29.799,0.100,12.316,0.001,0.001
285,1780390289850,2026-06-02 10:51:29.850,0.300,12.312,0.004,0.001
337,1780390289902,2026-06-02 10:51:29.902,0.100,12.344,0.001,0.001
397,1780390289962,2026-06-02 10:51:29.962,0.100,12.308,0.001,0.001
448,1780390290013,2026-06-02 10:51:30.013,-0.100,12.312,-0.001,0.001
500,1780390290065,2026-06-02 10:51:30.065,0.100,12.344,0.001,0.001
552,1780390290117,2026-06-02 10:51:30.117,0.200,12.344,0.002,0.001
612,1780390290177,2026-06-02 10:51:30.177,0.100,12.312,0.001,0.001
671,1780390290236,2026-06-02 10:51:30.236,0.300,12.316,0.004,0.001
731,1780390290296,2026-06-02 10:51:30.296,0.100,12.312,0.001,0.001
789,1780390290354,2026-06-02 10:51:30.354,1469.900,10.332,15.187,0.882
848,1780390290413,2026-06-02 10:51:30.413,442.300,11.748,5.196,1.189
907,1780390290472,2026-06-02 10:51:30.472,393.600,11.836,4.659,1.464
967,1780390290532,2026-06-02 10:51:30.532,264.600,11.976,3.169,1.654
1027,1780390290592,2026-06-02 10:51:30.592,178.100,12.148,2.164,1.784
1087,1780390290652,2026-06-02 10:51:30.652,45.200,12.180,0.551,1.817
1147,1780390290712,2026-06-02 10:51:30.712,69.600,12.180,0.848,1.867
1207,1780390290772,2026-06-02 10:51:30.772,143.000,12.076,1.727,1.971
1267,1780390290832,2026-06-02 10:51:30.832,276.600,11.992,3.317,2.170
1327,1780390290892,2026-06-02 10:51:30.892,315.600,11.932,3.766,2.396
1387,1780390290952,2026-06-02 10:51:30.952,332.300,11.920,3.961,2.634
1451,1780390291016,2026-06-02 10:51:31.016,204.000,12.088,2.466,2.792
1510,1780390291075,2026-06-02 10:51:31.075,0.600,12.228,0.007,2.792
1562,1780390291127,2026-06-02 10:51:31.127,50.900,12.272,0.625,2.824
1622,1780390291187,2026-06-02 10:51:31.187,208.300,12.100,2.520,2.976
1674,1780390291239,2026-06-02 10:51:31.239,293.900,11.880,3.492,3.157
1726,1780390291291,2026-06-02 10:51:31.291,288.600,12.028,3.471,3.338
1778,1780390291343,2026-06-02 10:51:31.343,323.700,11.972,3.875,3.539
1830,1780390291395,2026-06-02 10:51:31.395,230.200,12.072,2.779,3.684
1890,1780390291455,2026-06-02 10:51:31.455,125.700,12.136,1.525,3.775
