time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780390353870,2026-06-02 10:52:33.870,0.100,12.296,0.001,0.000
64,1780390353930,2026-06-02 10:52:33.930,0.100,12.296,0.001,0.000
125,1780390353991,2026-06-02 10:52:33.991,0.300,12.296,0.004,0.000
177,1780390354043,2026-06-02 10:52:34.043,0.200,12.296,0.002,0.000
229,1780390354095,2026-06-02 10:52:34.095,0.100,12.332,0.001,0.000
281,1780390354147,2026-06-02 10:52:34.147,0.100,12.336,0.001,0.001
333,1780390354199,2026-06-02 10:52:34.199,0.000,12.336,0.000,0.001
385,1780390354251,2026-06-02 10:52:34.251,0.000,12.292,0.000,0.001
446,1780390354312,2026-06-02 10:52:34.312,0.100,12.292,0.001,0.001
498,1780390354364,2026-06-02 10:52:34.364,0.200,12.296,0.002,0.001
556,1780390354422,2026-06-02 10:52:34.422,0.100,12.292,0.001,0.001
616,1780390354482,2026-06-02 10:52:34.482,0.100,12.296,0.001,0.001
668,1780390354534,2026-06-02 10:52:34.534,0.100,12.292,0.001,0.001
720,1780390354586,2026-06-02 10:52:34.586,0.000,12.340,0.000,0.001
772,1780390354638,2026-06-02 10:52:34.638,0.300,12.340,0.004,0.001
832,1780390354698,2026-06-02 10:52:34.698,0.300,12.284,0.004,0.001
884,1780390354750,2026-06-02 10:52:34.750,0.100,12.296,0.001,0.001
936,1780390354802,2026-06-02 10:52:34.802,0.100,12.336,0.001,0.002
988,1780390354854,2026-06-02 10:52:34.854,0.200,12.296,0.002,0.002
1048,1780390354914,2026-06-02 10:52:34.914,0.100,12.296,0.001,0.002
1101,1780390354967,2026-06-02 10:52:34.967,0.000,12.232,0.000,0.002
1161,1780390355027,2026-06-02 10:52:35.027,0.200,12.296,0.002,0.002
1213,1780390355079,2026-06-02 10:52:35.079,0.100,12.296,0.001,0.002
1265,1780390355131,2026-06-02 10:52:35.131,0.000,12.336,0.000,0.002
1317,1780390355183,2026-06-02 10:52:35.183,0.400,12.340,0.005,0.002
1369,1780390355235,2026-06-02 10:52:35.235,0.000,12.336,0.000,0.002
1421,1780390355287,2026-06-02 10:52:35.287,0.000,12.296,0.000,0.002
1473,1780390355339,2026-06-02 10:52:35.339,0.000,12.256,0.000,0.002
1525,1780390355391,2026-06-02 10:52:35.391,0.200,12.336,0.002,0.002
1577,1780390355443,2026-06-02 10:52:35.443,-0.100,12.340,-0.001,0.002
1635,1780390355501,2026-06-02 10:52:35.501,-0.100,12.300,-0.001,0.002
1698,1780390355564,2026-06-02 10:52:35.564,1377.000,10.576,14.563,0.920
1755,1780390355621,2026-06-02 10:52:35.621,411.100,11.828,4.862,1.197
1815,1780390355681,2026-06-02 10:52:35.681,400.300,11.876,4.754,1.482
1875,1780390355741,2026-06-02 10:52:35.741,335.800,11.888,3.992,1.722
1933,1780390355799,2026-06-02 10:52:35.799,418.500,11.752,4.918,2.007
1985,1780390355851,2026-06-02 10:52:35.851,295.700,11.844,3.502,2.189
2037,1780390355903,2026-06-02 10:52:35.903,482.600,11.880,5.733,2.487
2089,1780390355955,2026-06-02 10:52:35.955,476.300,11.864,5.651,2.781
2141,1780390356007,2026-06-02 10:52:36.007,335.900,11.908,4.000,2.989
2193,1780390356059,2026-06-02 10:52:36.059,352.600,11.912,4.200,3.207
2245,1780390356111,2026-06-02 10:52:36.111,464.300,11.792,5.475,3.492
2297,1780390356163,2026-06-02 10:52:36.163,570.800,11.776,6.722,3.842
2349,1780390356215,2026-06-02 10:52:36.215,488.000,11.588,5.655,4.136
2401,1780390356267,2026-06-02 10:52:36.267,370.600,11.752,4.355,4.362
2461,1780390356327,2026-06-02 10:52:36.327,268.200,11.992,3.216,4.555
2513,1780390356379,2026-06-02 10:52:36.379,138.000,12.128,1.674,4.642
2571,1780390356437,2026-06-02 10:52:36.437,24.500,12.248,0.300,4.659
2631,1780390356497,2026-06-02 10:52:36.497,167.700,12.108,2.031,4.781
2684,1780390356550,2026-06-02 10:52:36.550,316.600,11.908,3.770,4.981
2744,1780390356610,2026-06-02 10:52:36.610,415.500,11.764,4.888,5.274
2804,1780390356670,2026-06-02 10:52:36.670,359.600,11.756,4.227,5.528
2856,1780390356722,2026-06-02 10:52:36.722,239.500,11.964,2.865,5.677
2908,1780390356774,2026-06-02 10:52:36.774,305.000,11.976,3.653,5.867
2960,1780390356826,2026-06-02 10:52:36.826,279.600,11.984,3.351,6.041
3012,1780390356878,2026-06-02 10:52:36.878,171.100,12.172,2.083,6.150
3064,1780390356930,2026-06-02 10:52:36.930,47.100,12.200,0.575,6.179
3116,1780390356982,2026-06-02 10:52:36.982,170.200,12.048,2.051,6.286
3168,1780390357034,2026-06-02 10:52:37.034,261.600,11.912,3.116,6.448
3220,1780390357086,2026-06-02 10:52:37.086,498.400,11.736,5.849,6.752
3280,1780390357146,2026-06-02 10:52:37.146,527.100,11.464,6.043,7.115
3332,1780390357198,2026-06-02 10:52:37.198,467.000,11.788,5.505,7.401
3384,1780390357250,2026-06-02 10:52:37.250,528.800,11.484,6.073,7.717
3436,1780390357302,2026-06-02 10:52:37.302,646.000,11.512,7.437,8.104
3496,1780390357362,2026-06-02 10:52:37.362,513.200,11.596,5.951,8.461
3548,1780390357414,2026-06-02 10:52:37.414,414.400,11.696,4.847,8.713
3600,1780390357466,2026-06-02 10:52:37.466,369.800,11.860,4.386,8.941
3652,1780390357518,2026-06-02 10:52:37.518,373.300,11.880,4.435,9.171
3709,1780390357575,2026-06-02 10:52:37.575,303.200,11.928,3.617,9.377
3761,1780390357627,2026-06-02 10:52:37.627,218.900,12.092,2.647,9.515
3813,1780390357679,2026-06-02 10:52:37.679,155.100,12.164,1.887,9.613
3871,1780390357737,2026-06-02 10:52:37.737,128.400,12.140,1.559,9.704
3923,1780390357789,2026-06-02 10:52:37.789,30.900,12.152,0.375,9.723
3975,1780390357841,2026-06-02 10:52:37.841,85.000,12.172,1.035,9.777
4027,1780390357893,2026-06-02 10:52:37.893,159.400,12.156,1.938,9.878
4079,1780390357945,2026-06-02 10:52:37.945,241.600,11.956,2.889,10.028
4131,1780390357997,2026-06-02 10:52:37.997,221.000,11.952,2.641,10.165
4183,1780390358049,2026-06-02 10:52:38.049,116.700,12.096,1.412,10.239
4235,1780390358101,2026-06-02 10:52:38.101,66.000,12.208,0.806,10.281
4287,1780390358153,2026-06-02 10:52:38.153,127.100,12.172,1.547,10.361
4339,1780390358205,2026-06-02 10:52:38.205,133.600,12.096,1.616,10.445
4391,1780390358257,2026-06-02 10:52:38.257,137.100,12.084,1.657,10.531
4443,1780390358309,2026-06-02 10:52:38.309,106.800,12.128,1.295,10.599
4495,1780390358361,2026-06-02 10:52:38.361,134.700,12.148,1.636,10.684
4547,1780390358413,2026-06-02 10:52:38.413,0.000,11.860,0.000,10.684
4598,1780390358464,2026-06-02 10:52:38.464,226.100,12.012,2.716,10.822
4650,1780390358516,2026-06-02 10:52:38.516,226.300,11.936,2.701,10.963
4702,1780390358568,2026-06-02 10:52:38.568,0.000,11.784,0.000,10.963
4754,1780390358620,2026-06-02 10:52:38.620,215.600,12.068,2.602,11.098
4806,1780390358672,2026-06-02 10:52:38.672,150.700,12.116,1.826,11.193
4858,1780390358724,2026-06-02 10:52:38.724,157.400,12.160,1.914,11.292
4918,1780390358784,2026-06-02 10:52:38.784,178.900,12.044,2.155,11.422
4976,1780390358842,2026-06-02 10:52:38.842,242.900,11.968,2.907,11.590
5036,1780390358902,2026-06-02 10:52:38.902,295.300,11.908,3.516,11.801
