time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780390776892,2026-06-02 10:59:36.892,0.100,12.296,0.001,0.000
64,1780390776952,2026-06-02 10:59:36.952,0.100,12.284,0.001,0.000
124,1780390777012,2026-06-02 10:59:37.012,0.000,12.292,0.000,0.000
183,1780390777071,2026-06-02 10:59:37.071,-0.100,12.280,-0.001,0.000
243,1780390777131,2026-06-02 10:59:37.131,0.000,12.292,0.000,0.000
303,1780390777191,2026-06-02 10:59:37.191,0.000,12.288,0.000,0.000
362,1780390777250,2026-06-02 10:59:37.250,0.000,12.296,0.000,0.000
414,1780390777302,2026-06-02 10:59:37.302,0.000,12.292,0.000,0.000
466,1780390777354,2026-06-02 10:59:37.354,0.400,12.332,0.005,0.000
518,1780390777406,2026-06-02 10:59:37.406,0.100,12.296,0.001,0.000
578,1780390777466,2026-06-02 10:59:37.466,0.100,12.280,0.001,0.000
636,1780390777524,2026-06-02 10:59:37.524,0.200,12.292,0.002,0.001
696,1780390777584,2026-06-02 10:59:37.584,0.100,12.280,0.001,0.001
749,1780390777637,2026-06-02 10:59:37.637,0.300,12.292,0.004,0.001
807,1780390777695,2026-06-02 10:59:37.695,0.000,12.292,0.000,0.001
859,1780390777747,2026-06-02 10:59:37.747,0.100,12.292,0.001,0.001
911,1780390777799,2026-06-02 10:59:37.799,0.200,12.332,0.002,0.001
963,1780390777851,2026-06-02 10:59:37.851,0.000,12.336,0.000,0.001
1015,1780390777903,2026-06-02 10:59:37.903,-0.100,12.332,-0.001,0.001
1067,1780390777955,2026-06-02 10:59:37.955,0.000,12.336,0.000,0.001
1119,1780390778007,2026-06-02 10:59:38.007,0.100,12.296,0.001,0.001
1179,1780390778067,2026-06-02 10:59:38.067,0.100,12.280,0.001,0.001
1238,1780390778126,2026-06-02 10:59:38.126,0.100,12.292,0.001,0.001
1290,1780390778178,2026-06-02 10:59:38.178,-0.100,12.296,-0.001,0.001
1349,1780390778237,2026-06-02 10:59:38.237,0.200,12.280,0.002,0.001
1401,1780390778289,2026-06-02 10:59:38.289,0.100,12.292,0.001,0.001
1453,1780390778341,2026-06-02 10:59:38.341,0.300,12.336,0.004,0.001
1505,1780390778393,2026-06-02 10:59:38.393,0.000,12.332,0.000,0.001
1563,1780390778451,2026-06-02 10:59:38.451,0.100,12.236,0.001,0.002
1623,1780390778511,2026-06-02 10:59:38.511,-0.100,12.296,-0.001,0.001
1681,1780390778569,2026-06-02 10:59:38.569,1262.100,10.132,12.788,0.743
1746,1780390778634,2026-06-02 10:59:38.634,382.400,11.760,4.497,1.035
1798,1780390778686,2026-06-02 10:59:38.686,346.800,11.804,4.094,1.248
1850,1780390778738,2026-06-02 10:59:38.738,247.300,11.940,2.953,1.402
1902,1780390778790,2026-06-02 10:59:38.790,220.500,11.968,2.639,1.539
1963,1780390778851,2026-06-02 10:59:38.851,182.900,12.096,2.212,1.674
2015,1780390778903,2026-06-02 10:59:38.903,138.500,12.076,1.673,1.761
2067,1780390778955,2026-06-02 10:59:38.955,115.700,12.220,1.414,1.835
2119,1780390779007,2026-06-02 10:59:39.007,26.500,12.272,0.325,1.851
2179,1780390779067,2026-06-02 10:59:39.067,160.700,12.080,1.941,1.968
2231,1780390779119,2026-06-02 10:59:39.119,300.700,11.876,3.571,2.154
2283,1780390779171,2026-06-02 10:59:39.171,281.800,11.768,3.316,2.326
2335,1780390779223,2026-06-02 10:59:39.223,146.300,12.024,1.759,2.418
2395,1780390779283,2026-06-02 10:59:39.283,163.200,12.096,1.974,2.536
2447,1780390779335,2026-06-02 10:59:39.335,137.000,12.176,1.668,2.623
2499,1780390779387,2026-06-02 10:59:39.387,46.000,12.232,0.563,2.652
2557,1780390779445,2026-06-02 10:59:39.445,58.300,12.036,0.702,2.693
2617,1780390779505,2026-06-02 10:59:39.505,388.000,11.792,4.575,2.967
2668,1780390779556,2026-06-02 10:59:39.556,372.900,11.844,4.417,3.192
2729,1780390779617,2026-06-02 10:59:39.617,210.200,12.020,2.527,3.347
2781,1780390779669,2026-06-02 10:59:39.669,134.700,12.024,1.620,3.431
2833,1780390779721,2026-06-02 10:59:39.721,155.000,12.180,1.888,3.529
2885,1780390779773,2026-06-02 10:59:39.773,123.200,12.176,1.500,3.607
2937,1780390779825,2026-06-02 10:59:39.825,10.600,12.228,0.130,3.614
2997,1780390779885,2026-06-02 10:59:39.885,147.600,12.116,1.788,3.721
3049,1780390779937,2026-06-02 10:59:39.937,258.400,11.956,3.089,3.882
3109,1780390779997,2026-06-02 10:59:39.997,224.600,11.932,2.680,4.042
3161,1780390780049,2026-06-02 10:59:40.049,163.400,11.952,1.953,4.144
3213,1780390780101,2026-06-02 10:59:40.101,147.800,12.184,1.801,4.238
3265,1780390780153,2026-06-02 10:59:40.153,117.500,12.132,1.426,4.312
3317,1780390780205,2026-06-02 10:59:40.205,123.400,12.236,1.510,4.390
3369,1780390780257,2026-06-02 10:59:40.257,97.400,12.172,1.186,4.452
3429,1780390780317,2026-06-02 10:59:40.317,178.400,11.972,2.136,4.580
3480,1780390780368,2026-06-02 10:59:40.368,370.300,11.744,4.349,4.802
3540,1780390780428,2026-06-02 10:59:40.428,201.900,11.864,2.395,4.946
3600,1780390780488,2026-06-02 10:59:40.488,125.900,12.024,1.514,5.036
3651,1780390780539,2026-06-02 10:59:40.539,113.700,12.132,1.379,5.107
3703,1780390780591,2026-06-02 10:59:40.591,153.400,12.172,1.867,5.204
3760,1780390780648,2026-06-02 10:59:40.648,60.300,12.224,0.737,5.246
3820,1780390780708,2026-06-02 10:59:40.708,155.200,12.068,1.873,5.358
3871,1780390780759,2026-06-02 10:59:40.759,177.100,12.020,2.129,5.467
3931,1780390780819,2026-06-02 10:59:40.819,330.200,11.936,3.941,5.703
3983,1780390780871,2026-06-02 10:59:40.871,204.600,11.928,2.440,5.830
4035,1780390780923,2026-06-02 10:59:40.923,188.700,12.116,2.286,5.949
4087,1780390780975,2026-06-02 10:59:40.975,143.200,12.200,1.747,6.040
4139,1780390781027,2026-06-02 10:59:41.027,72.600,12.284,0.892,6.086
4191,1780390781079,2026-06-02 10:59:41.079,100.200,12.208,1.223,6.150
4243,1780390781131,2026-06-02 10:59:41.131,152.500,12.108,1.846,6.246
4295,1780390781183,2026-06-02 10:59:41.183,329.900,11.836,3.905,6.449
4347,1780390781235,2026-06-02 10:59:41.235,332.700,11.900,3.959,6.655
4407,1780390781295,2026-06-02 10:59:41.295,151.000,12.000,1.812,6.764
4466,1780390781354,2026-06-02 10:59:41.354,117.900,12.072,1.423,6.848
4522,1780390781410,2026-06-02 10:59:41.410,119.600,12.184,1.457,6.929
4581,1780390781469,2026-06-02 10:59:41.469,81.500,12.164,0.991,6.988
4633,1780390781521,2026-06-02 10:59:41.521,57.600,12.108,0.697,7.024
4685,1780390781573,2026-06-02 10:59:41.573,169.700,11.996,2.036,7.130
4737,1780390781625,2026-06-02 10:59:41.625,280.500,11.796,3.309,7.302
4789,1780390781677,2026-06-02 10:59:41.677,178.300,11.904,2.122,7.412
4841,1780390781729,2026-06-02 10:59:41.729,126.700,12.036,1.525,7.492
4893,1780390781781,2026-06-02 10:59:41.781,119.000,12.128,1.443,7.567
