time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780391045693,2026-06-02 11:04:05.693,0.300,12.296,0.004,0.000
64,1780391045753,2026-06-02 11:04:05.753,0.100,12.296,0.001,0.000
123,1780391045812,2026-06-02 11:04:05.812,0.200,12.296,0.002,0.000
175,1780391045864,2026-06-02 11:04:05.864,0.300,12.300,0.004,0.000
227,1780391045916,2026-06-02 11:04:05.916,0.200,12.328,0.002,0.001
279,1780391045968,2026-06-02 11:04:05.968,0.100,12.328,0.001,0.001
331,1780391046020,2026-06-02 11:04:06.020,0.100,12.328,0.001,0.001
383,1780391046072,2026-06-02 11:04:06.072,0.100,12.284,0.001,0.001
436,1780391046125,2026-06-02 11:04:06.125,-0.100,12.296,-0.001,0.001
488,1780391046177,2026-06-02 11:04:06.177,0.100,12.324,0.001,0.001
540,1780391046229,2026-06-02 11:04:06.229,0.200,12.332,0.002,0.001
593,1780391046282,2026-06-02 11:04:06.282,0.200,12.296,0.002,0.001
653,1780391046342,2026-06-02 11:04:06.342,0.400,12.296,0.005,0.001
711,1780391046400,2026-06-02 11:04:06.400,0.100,12.272,0.001,0.001
771,1780391046460,2026-06-02 11:04:06.460,0.200,12.296,0.002,0.002
831,1780391046520,2026-06-02 11:04:06.520,0.100,12.296,0.001,0.002
891,1780391046580,2026-06-02 11:04:06.580,0.200,12.288,0.002,0.002
943,1780391046632,2026-06-02 11:04:06.632,0.300,12.296,0.004,0.002
995,1780391046684,2026-06-02 11:04:06.684,0.000,12.296,0.000,0.002
1047,1780391046736,2026-06-02 11:04:06.736,0.100,12.328,0.001,0.002
1099,1780391046788,2026-06-02 11:04:06.788,0.200,12.328,0.002,0.002
1151,1780391046840,2026-06-02 11:04:06.840,0.100,12.328,0.001,0.002
1204,1780391046893,2026-06-02 11:04:06.893,0.100,12.296,0.001,0.002
1256,1780391046945,2026-06-02 11:04:06.945,0.000,12.296,0.000,0.002
1308,1780391046997,2026-06-02 11:04:06.997,-0.100,12.328,-0.001,0.002
1360,1780391047049,2026-06-02 11:04:07.049,0.100,12.328,0.001,0.002
1414,1780391047103,2026-06-02 11:04:07.103,-0.100,12.276,-0.001,0.002
1473,1780391047162,2026-06-02 11:04:07.162,0.000,12.284,0.000,0.002
1536,1780391047225,2026-06-02 11:04:07.225,1363.800,10.436,14.233,0.899
1596,1780391047285,2026-06-02 11:04:07.285,258.800,11.908,3.082,1.084
1655,1780391047344,2026-06-02 11:04:07.344,325.500,11.844,3.855,1.311
1713,1780391047402,2026-06-02 11:04:07.402,611.300,11.708,7.157,1.726
1773,1780391047462,2026-06-02 11:04:07.462,555.600,11.664,6.481,2.115
1825,1780391047514,2026-06-02 11:04:07.514,435.600,11.648,5.074,2.379
1877,1780391047566,2026-06-02 11:04:07.566,650.900,11.832,7.701,2.779
1929,1780391047618,2026-06-02 11:04:07.618,312.900,11.960,3.742,2.974
1981,1780391047670,2026-06-02 11:04:07.670,238.200,12.076,2.877,3.124
2033,1780391047722,2026-06-02 11:04:07.722,98.100,12.104,1.187,3.185
2085,1780391047774,2026-06-02 11:04:07.774,107.200,12.148,1.302,3.253
2137,1780391047826,2026-06-02 11:04:07.826,217.900,11.996,2.614,3.389
2189,1780391047878,2026-06-02 11:04:07.878,292.800,11.860,3.473,3.570
2249,1780391047938,2026-06-02 11:04:07.938,618.400,11.780,7.285,4.007
2300,1780391047989,2026-06-02 11:04:07.989,500.200,11.644,5.824,4.304
2352,1780391048041,2026-06-02 11:04:08.041,442.700,11.716,5.187,4.573
2404,1780391048093,2026-06-02 11:04:08.093,278.000,12.008,3.338,4.747
2464,1780391048153,2026-06-02 11:04:08.153,180.600,12.036,2.174,4.877
2524,1780391048213,2026-06-02 11:04:08.213,159.500,12.136,1.936,4.994
2583,1780391048272,2026-06-02 11:04:08.272,143.500,12.160,1.745,5.097
2636,1780391048325,2026-06-02 11:04:08.325,232.000,11.916,2.765,5.243
2694,1780391048383,2026-06-02 11:04:08.383,398.400,11.788,4.696,5.515
2754,1780391048443,2026-06-02 11:04:08.443,645.300,11.512,7.429,5.961
2806,1780391048495,2026-06-02 11:04:08.495,590.900,11.820,6.984,6.324
2858,1780391048547,2026-06-02 11:04:08.547,294.900,12.024,3.546,6.509
2910,1780391048599,2026-06-02 11:04:08.599,239.800,12.072,2.895,6.659
2962,1780391048651,2026-06-02 11:04:08.651,91.000,12.156,1.106,6.717
3014,1780391048703,2026-06-02 11:04:08.703,89.000,12.188,1.085,6.773
3066,1780391048755,2026-06-02 11:04:08.755,182.600,12.100,2.209,6.888
3118,1780391048807,2026-06-02 11:04:08.807,520.100,11.880,6.179,7.209
3170,1780391048859,2026-06-02 11:04:08.859,536.800,11.544,6.197,7.532
3222,1780391048911,2026-06-02 11:04:08.911,611.400,11.772,7.197,7.906
3281,1780391048970,2026-06-02 11:04:08.970,274.100,11.900,3.262,8.098
3333,1780391049022,2026-06-02 11:04:09.022,265.200,11.948,3.169,8.263
3385,1780391049074,2026-06-02 11:04:09.074,146.300,12.076,1.767,8.355
3437,1780391049126,2026-06-02 11:04:09.126,85.800,12.156,1.043,8.409
3496,1780391049185,2026-06-02 11:04:09.185,194.900,12.060,2.350,8.548
3562,1780391049251,2026-06-02 11:04:09.251,260.000,11.992,3.118,8.754
3621,1780391049310,2026-06-02 11:04:09.310,434.400,11.724,5.093,9.054
3681,1780391049370,2026-06-02 11:04:09.370,475.200,11.592,5.509,9.385
3738,1780391049427,2026-06-02 11:04:09.427,543.900,11.816,6.427,9.751
3790,1780391049479,2026-06-02 11:04:09.479,265.500,12.040,3.197,9.917
3842,1780391049531,2026-06-02 11:04:09.531,141.300,12.128,1.714,10.006
3894,1780391049583,2026-06-02 11:04:09.583,60.000,12.156,0.729,10.044
3946,1780391049635,2026-06-02 11:04:09.635,71.400,12.184,0.870,10.089
3998,1780391049687,2026-06-02 11:04:09.687,287.000,12.080,3.467,10.270
4050,1780391049739,2026-06-02 11:04:09.739,405.600,11.856,4.809,10.520
4102,1780391049791,2026-06-02 11:04:09.791,516.000,11.640,6.006,10.832
4161,1780391049850,2026-06-02 11:04:09.850,357.600,11.812,4.224,11.081
4221,1780391049910,2026-06-02 11:04:09.910,301.700,11.972,3.612,11.298
4281,1780391049970,2026-06-02 11:04:09.970,223.800,12.080,2.704,11.460
4333,1780391050022,2026-06-02 11:04:10.022,97.800,12.120,1.185,11.522
4385,1780391050074,2026-06-02 11:04:10.074,142.700,12.196,1.740,11.612
4437,1780391050126,2026-06-02 11:04:10.126,210.800,12.088,2.548,11.745
4489,1780391050178,2026-06-02 11:04:10.178,581.200,11.764,6.837,12.100
4549,1780391050238,2026-06-02 11:04:10.238,587.800,11.428,6.717,12.504
4601,1780391050290,2026-06-02 11:04:10.290,388.900,11.772,4.578,12.742
4653,1780391050342,2026-06-02 11:04:10.342,300.200,11.976,3.595,12.929
4711,1780391050400,2026-06-02 11:04:10.400,188.500,12.100,2.281,13.061
4770,1780391050459,2026-06-02 11:04:10.459,136.200,12.160,1.656,13.159
4823,1780391050512,2026-06-02 11:04:10.512,39.500,12.196,0.482,13.184
4875,1780391050564,2026-06-02 11:04:10.564,159.100,12.196,1.940,13.285
4934,1780391050623,2026-06-02 11:04:10.623,230.600,11.920,2.749,13.447
4986,1780391050675,2026-06-02 11:04:10.675,631.200,11.788,7.441,13.834
5039,1780391050728,2026-06-02 11:04:10.728,695.500,11.660,8.110,14.264
5091,1780391050780,2026-06-02 11:04:10.780,369.700,11.856,4.383,14.492
5151,1780391050840,2026-06-02 11:04:10.840,201.300,12.024,2.420,14.637
5203,1780391050892,2026-06-02 11:04:10.892,124.400,12.176,1.515,14.716
5255,1780391050944,2026-06-02 11:04:10.944,68.400,12.268,0.839,14.759
5307,1780391050996,2026-06-02 11:04:10.996,117.700,12.152,1.430,14.834
5367,1780391051056,2026-06-02 11:04:11.056,169.000,11.988,2.026,14.955
5419,1780391051108,2026-06-02 11:04:11.108,293.100,11.820,3.464,15.135
5471,1780391051160,2026-06-02 11:04:11.160,491.000,11.792,5.790,15.437
5531,1780391051220,2026-06-02 11:04:11.220,406.200,11.828,4.805,15.725
5588,1780391051277,2026-06-02 11:04:11.277,280.400,12.028,3.373,15.917
