time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1780302095682,2026-06-01 10:21:35.682,0.000,12.368,0.000,0.000
64,1780302095742,2026-06-01 10:21:35.742,0.300,12.368,0.004,0.000
115,1780302095793,2026-06-01 10:21:35.793,0.100,12.368,0.001,0.000
167,1780302095845,2026-06-01 10:21:35.845,0.100,12.412,0.001,0.000
227,1780302095905,2026-06-01 10:21:35.905,0.100,12.368,0.001,0.000
279,1780302095957,2026-06-01 10:21:35.957,0.200,12.368,0.002,0.001
331,1780302096009,2026-06-01 10:21:36.009,0.000,12.412,0.000,0.001
383,1780302096061,2026-06-01 10:21:36.061,0.200,12.412,0.002,0.001
443,1780302096121,2026-06-01 10:21:36.121,0.100,12.328,0.001,0.001
495,1780302096173,2026-06-01 10:21:36.173,0.000,12.364,0.000,0.001
547,1780302096225,2026-06-01 10:21:36.225,0.100,12.412,0.001,0.001
599,1780302096277,2026-06-01 10:21:36.277,0.200,12.364,0.002,0.001
664,1780302096342,2026-06-01 10:21:36.342,0.100,12.364,0.001,0.001
716,1780302096394,2026-06-01 10:21:36.394,0.300,12.368,0.004,0.001
768,1780302096446,2026-06-01 10:21:36.446,0.400,12.412,0.005,0.001
826,1780302096504,2026-06-01 10:21:36.504,0.300,12.364,0.004,0.002
886,1780302096564,2026-06-01 10:21:36.564,0.100,12.364,0.001,0.002
938,1780302096616,2026-06-01 10:21:36.616,-0.100,12.368,-0.001,0.002
990,1780302096668,2026-06-01 10:21:36.668,0.200,12.412,0.002,0.002
1050,1780302096728,2026-06-01 10:21:36.728,0.300,12.364,0.004,0.002
1101,1780302096779,2026-06-01 10:21:36.779,0.200,12.368,0.002,0.002
1153,1780302096831,2026-06-01 10:21:36.831,-0.300,12.412,-0.004,0.002
1205,1780302096883,2026-06-01 10:21:36.883,0.000,12.412,0.000,0.002
1265,1780302096943,2026-06-01 10:21:36.943,0.000,12.348,0.000,0.002
1316,1780302096994,2026-06-01 10:21:36.994,0.000,12.368,0.000,0.002
1368,1780302097046,2026-06-01 10:21:37.046,0.000,12.416,0.000,0.002
1421,1780302097099,2026-06-01 10:21:37.099,0.100,12.368,0.001,0.002
1481,1780302097159,2026-06-01 10:21:37.159,-0.100,12.372,-0.001,0.002
1533,1780302097211,2026-06-01 10:21:37.211,0.200,12.368,0.002,0.002
1585,1780302097263,2026-06-01 10:21:37.263,0.200,12.412,0.002,0.002
1645,1780302097323,2026-06-01 10:21:37.323,0.100,12.352,0.001,0.002
1696,1780302097374,2026-06-01 10:21:37.374,0.300,12.368,0.004,0.003
1748,1780302097426,2026-06-01 10:21:37.426,0.300,12.412,0.004,0.003
1800,1780302097478,2026-06-01 10:21:37.478,0.000,12.416,0.000,0.003
1858,1780302097536,2026-06-01 10:21:37.536,1405.500,10.184,14.314,0.833
1916,1780302097594,2026-06-01 10:21:37.594,303.400,11.936,3.621,1.043
1976,1780302097654,2026-06-01 10:21:37.654,94.600,12.164,1.151,1.112
2035,1780302097713,2026-06-01 10:21:37.713,77.800,12.252,0.953,1.168
2087,1780302097765,2026-06-01 10:21:37.765,106.200,12.264,1.302,1.236
2139,1780302097817,2026-06-01 10:21:37.817,32.100,12.316,0.395,1.256
2191,1780302097869,2026-06-01 10:21:37.869,74.100,12.388,0.918,1.304
2243,1780302097921,2026-06-01 10:21:37.921,79.000,12.272,0.969,1.355
2303,1780302097981,2026-06-01 10:21:37.981,84.000,12.324,1.035,1.417
2355,1780302098033,2026-06-01 10:21:38.033,110.700,12.284,1.360,1.487
2415,1780302098093,2026-06-01 10:21:38.093,43.600,12.248,0.534,1.520
2466,1780302098144,2026-06-01 10:21:38.144,92.300,12.300,1.135,1.577
2518,1780302098196,2026-06-01 10:21:38.196,79.900,12.236,0.978,1.628
2570,1780302098248,2026-06-01 10:21:38.248,117.700,12.304,1.448,1.704
2622,1780302098300,2026-06-01 10:21:38.300,117.500,12.276,1.442,1.779
2687,1780302098365,2026-06-01 10:21:38.365,50.000,12.188,0.609,1.818
2739,1780302098417,2026-06-01 10:21:38.417,86.300,12.204,1.053,1.873
2797,1780302098475,2026-06-01 10:21:38.475,85.900,12.276,1.055,1.934
2857,1780302098535,2026-06-01 10:21:38.535,76.000,12.200,0.927,1.990
2909,1780302098587,2026-06-01 10:21:38.587,77.400,12.312,0.953,2.039
2961,1780302098639,2026-06-01 10:21:38.639,83.000,12.336,1.024,2.093
3013,1780302098691,2026-06-01 10:21:38.691,39.700,12.300,0.488,2.118
3065,1780302098743,2026-06-01 10:21:38.743,31.000,12.216,0.379,2.138
3125,1780302098803,2026-06-01 10:21:38.803,94.400,12.296,1.161,2.207
3177,1780302098855,2026-06-01 10:21:38.855,100.700,12.248,1.233,2.271
3236,1780302098914,2026-06-01 10:21:38.914,49.100,12.268,0.602,2.307
3288,1780302098966,2026-06-01 10:21:38.966,30.900,12.256,0.379,2.327
3340,1780302099018,2026-06-01 10:21:39.018,47.000,12.244,0.575,2.357
3392,1780302099070,2026-06-01 10:21:39.070,110.200,12.304,1.356,2.427
3444,1780302099122,2026-06-01 10:21:39.122,98.100,12.348,1.211,2.490
3496,1780302099174,2026-06-01 10:21:39.174,80.000,12.296,0.984,2.541
3555,1780302099233,2026-06-01 10:21:39.233,66.700,12.192,0.813,2.589
3607,1780302099285,2026-06-01 10:21:39.285,72.700,12.204,0.887,2.635
3667,1780302099345,2026-06-01 10:21:39.345,96.900,12.248,1.187,2.707
3719,1780302099397,2026-06-01 10:21:39.397,110.000,12.272,1.350,2.777
3771,1780302099449,2026-06-01 10:21:39.449,80.400,12.348,0.993,2.828
3823,1780302099501,2026-06-01 10:21:39.501,34.300,12.260,0.421,2.850
3875,1780302099553,2026-06-01 10:21:39.553,43.000,12.224,0.526,2.878
3933,1780302099611,2026-06-01 10:21:39.611,109.300,12.272,1.341,2.955
3993,1780302099671,2026-06-01 10:21:39.671,47.200,12.136,0.573,2.990
4053,1780302099731,2026-06-01 10:21:39.731,85.600,12.328,1.055,3.053
4105,1780302099783,2026-06-01 10:21:39.783,89.800,12.324,1.107,3.111
4157,1780302099835,2026-06-01 10:21:39.835,26.000,12.300,0.320,3.127
4209,1780302099887,2026-06-01 10:21:39.887,93.700,12.352,1.157,3.187
4261,1780302099939,2026-06-01 10:21:39.939,36.600,12.260,0.449,3.211
4313,1780302099991,2026-06-01 10:21:39.991,70.900,12.344,0.875,3.256
4365,1780302100043,2026-06-01 10:21:40.043,27.800,12.268,0.341,3.274
4417,1780302100095,2026-06-01 10:21:40.095,75.600,12.380,0.936,3.323
4469,1780302100147,2026-06-01 10:21:40.147,70.100,12.272,0.860,3.367
4529,1780302100207,2026-06-01 10:21:40.207,31.600,12.236,0.387,3.391
4581,1780302100259,2026-06-01 10:21:40.259,101.300,12.296,1.246,3.455
4633,1780302100311,2026-06-01 10:21:40.311,27.800,12.272,0.341,3.473
4690,1780302100368,2026-06-01 10:21:40.368,17.600,12.240,0.215,3.485
4750,1780302100428,2026-06-01 10:21:40.428,65.400,12.252,0.801,3.533
4809,1780302100487,2026-06-01 10:21:40.487,84.400,12.324,1.040,3.595
4867,1780302100545,2026-06-01 10:21:40.545,37.000,12.240,0.453,3.621
4927,1780302100605,2026-06-01 10:21:40.605,87.000,12.324,1.072,3.685
4979,1780302100657,2026-06-01 10:21:40.657,22.100,12.304,0.272,3.700
5039,1780302100717,2026-06-01 10:21:40.717,50.100,12.320,0.617,3.737
5091,1780302100769,2026-06-01 10:21:40.769,74.400,12.248,0.911,3.784
5143,1780302100821,2026-06-01 10:21:40.821,44.200,12.340,0.545,3.812
5195,1780302100873,2026-06-01 10:21:40.873,101.800,12.336,1.256,3.878
5247,1780302100925,2026-06-01 10:21:40.925,45.000,12.264,0.552,3.906
5299,1780302100977,2026-06-01 10:21:40.977,72.500,12.372,0.897,3.953
5351,1780302101029,2026-06-01 10:21:41.029,80.600,12.328,0.994,4.005
5403,1780302101081,2026-06-01 10:21:41.081,51.300,12.316,0.632,4.037
5455,1780302101133,2026-06-01 10:21:41.133,50.100,12.256,0.614,4.069
5508,1780302101186,2026-06-01 10:21:41.186,61.900,12.200,0.755,4.109
5568,1780302101246,2026-06-01 10:21:41.246,78.400,12.208,0.957,4.167
5620,1780302101298,2026-06-01 10:21:41.298,95.900,12.296,1.179,4.228
5672,1780302101350,2026-06-01 10:21:41.350,86.400,12.344,1.067,4.284
5724,1780302101402,2026-06-01 10:21:41.402,92.700,12.308,1.141,4.343
5785,1780302101463,2026-06-01 10:21:41.463,100.600,12.300,1.237,4.418
5843,1780302101521,2026-06-01 10:21:41.521,113.200,12.256,1.387,4.499
