time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1780344742608,2026-06-01 22:12:22.608,0.000,12.352,0.000,0.000
55,1780344742660,2026-06-01 22:12:22.660,0.100,12.356,0.001,0.000
107,1780344742712,2026-06-01 22:12:22.712,0.300,12.392,0.004,0.000
159,1780344742764,2026-06-01 22:12:22.764,0.200,12.392,0.002,0.000
211,1780344742816,2026-06-01 22:12:22.816,0.000,12.356,0.000,0.000
268,1780344742873,2026-06-01 22:12:22.873,0.300,12.392,0.004,0.001
320,1780344742925,2026-06-01 22:12:22.925,0.000,12.392,0.000,0.001
372,1780344742977,2026-06-01 22:12:22.977,0.100,12.392,0.001,0.001
432,1780344743037,2026-06-01 22:12:23.037,0.200,12.360,0.002,0.001
484,1780344743089,2026-06-01 22:12:23.089,0.100,12.356,0.001,0.001
537,1780344743142,2026-06-01 22:12:23.142,0.300,12.392,0.004,0.001
588,1780344743193,2026-06-01 22:12:23.193,0.300,12.348,0.004,0.001
652,1780344743257,2026-06-01 22:12:23.257,0.200,12.356,0.002,0.001
710,1780344743315,2026-06-01 22:12:23.315,0.300,12.348,0.004,0.002
770,1780344743375,2026-06-01 22:12:23.375,0.200,12.356,0.002,0.002
830,1780344743435,2026-06-01 22:12:23.435,0.200,12.344,0.002,0.002
882,1780344743487,2026-06-01 22:12:23.487,0.200,12.356,0.002,0.002
942,1780344743547,2026-06-01 22:12:23.547,0.300,12.344,0.004,0.002
993,1780344743598,2026-06-01 22:12:23.598,0.100,12.360,0.001,0.002
1045,1780344743650,2026-06-01 22:12:23.650,0.100,12.392,0.001,0.002
1097,1780344743702,2026-06-01 22:12:23.702,0.100,12.392,0.001,0.002
1149,1780344743754,2026-06-01 22:12:23.754,0.100,12.396,0.001,0.003
1202,1780344743807,2026-06-01 22:12:23.807,0.100,12.356,0.001,0.003
1254,1780344743859,2026-06-01 22:12:23.859,-0.200,12.360,-0.002,0.002
1306,1780344743911,2026-06-01 22:12:23.911,0.000,12.392,0.000,0.002
1358,1780344743963,2026-06-01 22:12:23.963,0.000,12.396,0.000,0.002
1410,1780344744015,2026-06-01 22:12:24.015,0.000,12.348,0.000,0.002
1473,1780344744078,2026-06-01 22:12:24.078,0.200,12.360,0.002,0.003
1531,1780344744136,2026-06-01 22:12:24.136,0.100,12.360,0.001,0.003
1590,1780344744195,2026-06-01 22:12:24.195,0.000,12.356,0.000,0.003
1650,1780344744255,2026-06-01 22:12:24.255,0.200,12.352,0.002,0.003
1702,1780344744307,2026-06-01 22:12:24.307,0.000,12.360,0.000,0.003
1762,1780344744367,2026-06-01 22:12:24.367,-0.100,12.360,-0.001,0.003
1813,1780344744418,2026-06-01 22:12:24.418,0.200,12.356,0.002,0.003
1865,1780344744470,2026-06-01 22:12:24.470,0.200,12.392,0.002,0.003
1917,1780344744522,2026-06-01 22:12:24.522,0.000,12.392,0.000,0.003
1969,1780344744574,2026-06-01 22:12:24.574,0.200,12.396,0.002,0.003
2021,1780344744626,2026-06-01 22:12:24.626,0.300,12.356,0.004,0.003
2074,1780344744679,2026-06-01 22:12:24.679,0.300,12.356,0.004,0.004
2127,1780344744732,2026-06-01 22:12:24.732,0.100,12.396,0.001,0.004
2179,1780344744784,2026-06-01 22:12:24.784,0.100,12.396,0.001,0.004
2239,1780344744844,2026-06-01 22:12:24.844,0.100,12.356,0.001,0.004
2304,1780344744909,2026-06-01 22:12:24.909,0.300,12.356,0.004,0.004
2364,1780344744969,2026-06-01 22:12:24.969,0.200,12.356,0.002,0.004
2416,1780344745021,2026-06-01 22:12:25.021,0.200,12.356,0.002,0.004
2468,1780344745073,2026-06-01 22:12:25.073,0.000,12.392,0.000,0.004
2520,1780344745125,2026-06-01 22:12:25.125,0.100,12.392,0.001,0.004
2572,1780344745177,2026-06-01 22:12:25.177,0.000,12.396,0.000,0.004
2624,1780344745229,2026-06-01 22:12:25.229,0.000,12.392,0.000,0.004
2676,1780344745281,2026-06-01 22:12:25.281,0.100,12.356,0.001,0.004
2728,1780344745333,2026-06-01 22:12:25.333,-0.100,12.396,-0.001,0.004
2780,1780344745385,2026-06-01 22:12:25.385,0.000,12.392,0.000,0.004
2832,1780344745437,2026-06-01 22:12:25.437,0.500,12.392,0.006,0.005
2892,1780344745497,2026-06-01 22:12:25.497,0.000,12.356,0.000,0.005
2949,1780344745554,2026-06-01 22:12:25.554,0.200,12.356,0.002,0.005
3007,1780344745612,2026-06-01 22:12:25.612,1431.500,10.228,14.641,0.854
3067,1780344745672,2026-06-01 22:12:25.672,473.700,11.692,5.539,1.186
3127,1780344745732,2026-06-01 22:12:25.732,466.600,11.836,5.523,1.518
3187,1780344745792,2026-06-01 22:12:25.792,247.700,11.960,2.962,1.695
3239,1780344745844,2026-06-01 22:12:25.844,162.600,12.152,1.976,1.798
3291,1780344745896,2026-06-01 22:12:25.896,71.000,12.244,0.869,1.843
