time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779290790204,2026-05-20 17:26:30.204,0.200,12.492,0.002,0.000
64,1779290790264,2026-05-20 17:26:30.264,0.200,12.492,0.002,0.000
124,1779290790324,2026-05-20 17:26:30.324,0.000,12.492,0.000,0.000
176,1779290790376,2026-05-20 17:26:30.376,0.000,12.492,0.000,0.000
228,1779290790428,2026-05-20 17:26:30.428,0.300,12.524,0.004,0.000
280,1779290790480,2026-05-20 17:26:30.480,0.100,12.524,0.001,0.000
332,1779290790532,2026-05-20 17:26:30.532,-0.100,12.528,-0.001,0.000
384,1779290790584,2026-05-20 17:26:30.584,0.100,12.496,0.001,0.000
443,1779290790643,2026-05-20 17:26:30.643,0.100,12.484,0.001,0.000
502,1779290790702,2026-05-20 17:26:30.702,0.400,12.488,0.005,0.001
562,1779290790762,2026-05-20 17:26:30.762,0.200,12.496,0.002,0.001
619,1779290790819,2026-05-20 17:26:30.819,0.000,12.524,0.000,0.001
671,1779290790871,2026-05-20 17:26:30.871,0.200,12.524,0.003,0.001
723,1779290790923,2026-05-20 17:26:30.923,0.200,12.524,0.003,0.001
775,1779290790975,2026-05-20 17:26:30.975,-0.100,12.492,-0.001,0.001
834,1779290791034,2026-05-20 17:26:31.034,0.000,12.492,0.000,0.001
894,1779290791094,2026-05-20 17:26:31.094,0.500,12.480,0.006,0.002
946,1779290791146,2026-05-20 17:26:31.146,0.000,12.492,0.000,0.002
998,1779290791198,2026-05-20 17:26:31.198,0.100,12.524,0.001,0.002
1050,1779290791250,2026-05-20 17:26:31.250,0.100,12.528,0.001,0.002
1102,1779290791302,2026-05-20 17:26:31.302,0.200,12.524,0.003,0.002
1154,1779290791354,2026-05-20 17:26:31.354,0.000,12.524,0.000,0.002
1206,1779290791406,2026-05-20 17:26:31.406,0.000,12.492,0.000,0.002
1258,1779290791458,2026-05-20 17:26:31.458,0.100,12.492,0.001,0.002
1310,1779290791510,2026-05-20 17:26:31.510,0.100,12.520,0.001,0.002
1362,1779290791562,2026-05-20 17:26:31.562,0.200,12.524,0.003,0.002
1422,1779290791622,2026-05-20 17:26:31.622,0.100,12.492,0.001,0.002
1480,1779290791680,2026-05-20 17:26:31.680,-0.100,12.492,-0.001,0.002
1540,1779290791740,2026-05-20 17:26:31.740,0.100,12.492,0.001,0.002
1592,1779290791792,2026-05-20 17:26:31.792,0.300,12.492,0.004,0.002
1644,1779290791844,2026-05-20 17:26:31.844,0.200,12.524,0.003,0.002
1696,1779290791896,2026-05-20 17:26:31.896,0.100,12.524,0.001,0.002
1748,1779290791948,2026-05-20 17:26:31.948,-0.100,12.524,-0.001,0.002
1800,1779290792000,2026-05-20 17:26:32.000,0.400,12.492,0.005,0.003
1852,1779290792052,2026-05-20 17:26:32.052,0.300,12.512,0.004,0.003
1904,1779290792104,2026-05-20 17:26:32.104,0.200,12.528,0.003,0.003
1956,1779290792156,2026-05-20 17:26:32.156,-0.100,12.524,-0.001,0.003
2008,1779290792208,2026-05-20 17:26:32.208,0.200,12.492,0.002,0.003
2068,1779290792268,2026-05-20 17:26:32.268,-0.200,12.492,-0.002,0.003
2128,1779290792328,2026-05-20 17:26:32.328,0.300,12.488,0.004,0.003
2188,1779290792388,2026-05-20 17:26:32.388,0.100,12.492,0.001,0.003
2240,1779290792440,2026-05-20 17:26:32.440,0.200,12.492,0.002,0.003
2299,1779290792499,2026-05-20 17:26:32.499,0.000,12.492,0.000,0.003
2358,1779290792558,2026-05-20 17:26:32.558,0.100,12.492,0.001,0.003
2417,1779290792617,2026-05-20 17:26:32.617,0.100,12.484,0.001,0.004
2477,1779290792677,2026-05-20 17:26:32.677,0.100,12.492,0.001,0.004
2529,1779290792729,2026-05-20 17:26:32.729,0.100,12.492,0.001,0.004
2581,1779290792781,2026-05-20 17:26:32.781,0.300,12.524,0.004,0.004
2646,1779290792846,2026-05-20 17:26:32.846,0.200,12.488,0.002,0.004
2698,1779290792898,2026-05-20 17:26:32.898,0.000,12.492,0.000,0.004
2750,1779290792950,2026-05-20 17:26:32.950,0.100,12.528,0.001,0.004
2802,1779290793002,2026-05-20 17:26:33.002,0.100,12.528,0.001,0.004
2854,1779290793054,2026-05-20 17:26:33.054,0.200,12.492,0.002,0.004
2915,1779290793115,2026-05-20 17:26:33.115,0.000,12.488,0.000,0.004
2967,1779290793167,2026-05-20 17:26:33.167,0.200,12.492,0.002,0.004
3019,1779290793219,2026-05-20 17:26:33.219,0.100,12.496,0.001,0.004
3081,1779290793281,2026-05-20 17:26:33.281,-0.100,12.464,-0.001,0.004
3139,1779290793339,2026-05-20 17:26:33.339,1263.500,10.456,13.211,0.771
3191,1779290793391,2026-05-20 17:26:33.391,327.600,11.996,3.930,0.975
3250,1779290793450,2026-05-20 17:26:33.450,178.500,12.236,2.184,1.104
3302,1779290793502,2026-05-20 17:26:33.502,80.100,12.272,0.983,1.155
3354,1779290793554,2026-05-20 17:26:33.554,114.000,12.420,1.416,1.229
3406,1779290793606,2026-05-20 17:26:33.606,101.000,12.360,1.248,1.294
3458,1779290793658,2026-05-20 17:26:33.658,66.800,12.296,0.821,1.336
3510,1779290793710,2026-05-20 17:26:33.710,71.800,12.436,0.893,1.383
3562,1779290793762,2026-05-20 17:26:33.762,126.000,12.396,1.562,1.464
3614,1779290793814,2026-05-20 17:26:33.814,112.700,12.364,1.393,1.536
3672,1779290793872,2026-05-20 17:26:33.872,80.200,12.392,0.994,1.594
3732,1779290793932,2026-05-20 17:26:33.932,62.900,12.336,0.776,1.641
3784,1779290793984,2026-05-20 17:26:33.984,81.500,12.416,1.012,1.693
3836,1779290794036,2026-05-20 17:26:34.036,114.700,12.424,1.425,1.767
3896,1779290794096,2026-05-20 17:26:34.096,38.100,12.344,0.470,1.795
3955,1779290794155,2026-05-20 17:26:34.155,122.100,12.364,1.510,1.885
4007,1779290794207,2026-05-20 17:26:34.207,51.500,12.360,0.637,1.918
