time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779292812327,2026-05-20 18:00:12.327,0.100,12.448,0.001,0.000
56,1779292812379,2026-05-20 18:00:12.379,-0.100,12.452,-0.001,-0.000
108,1779292812431,2026-05-20 18:00:12.431,0.100,12.492,0.001,0.000
160,1779292812483,2026-05-20 18:00:12.483,-0.100,12.496,-0.001,-0.000
219,1779292812542,2026-05-20 18:00:12.542,0.100,12.440,0.001,0.000
271,1779292812594,2026-05-20 18:00:12.594,0.000,12.452,0.000,0.000
323,1779292812646,2026-05-20 18:00:12.646,0.300,12.496,0.004,0.000
375,1779292812698,2026-05-20 18:00:12.698,0.000,12.496,0.000,0.000
433,1779292812756,2026-05-20 18:00:12.756,0.000,12.380,0.000,0.000
493,1779292812816,2026-05-20 18:00:12.816,0.100,12.452,0.001,0.000
552,1779292812875,2026-05-20 18:00:12.875,0.000,12.440,0.000,0.000
604,1779292812927,2026-05-20 18:00:12.927,0.500,12.452,0.006,0.001
656,1779292812979,2026-05-20 18:00:12.979,0.000,12.492,0.000,0.001
708,1779292813031,2026-05-20 18:00:13.031,0.200,12.496,0.002,0.001
760,1779292813083,2026-05-20 18:00:13.083,0.200,12.492,0.002,0.001
820,1779292813143,2026-05-20 18:00:13.143,0.100,12.440,0.001,0.001
872,1779292813195,2026-05-20 18:00:13.195,0.000,12.452,0.000,0.001
924,1779292813247,2026-05-20 18:00:13.247,0.000,12.496,0.000,0.001
976,1779292813299,2026-05-20 18:00:13.299,0.200,12.496,0.002,0.001
1036,1779292813359,2026-05-20 18:00:13.359,0.000,12.452,0.000,0.001
1088,1779292813411,2026-05-20 18:00:13.411,0.200,12.452,0.002,0.001
1148,1779292813471,2026-05-20 18:00:13.471,-0.100,12.452,-0.001,0.001
1200,1779292813523,2026-05-20 18:00:13.523,-0.100,12.452,-0.001,0.001
1252,1779292813575,2026-05-20 18:00:13.575,0.000,12.492,0.000,0.001
1304,1779292813627,2026-05-20 18:00:13.627,0.100,12.492,0.001,0.001
1356,1779292813679,2026-05-20 18:00:13.679,0.000,12.496,0.000,0.001
1408,1779292813731,2026-05-20 18:00:13.731,-0.100,12.436,-0.001,0.001
1469,1779292813792,2026-05-20 18:00:13.792,-0.100,12.452,-0.001,0.001
1529,1779292813852,2026-05-20 18:00:13.852,-0.100,12.452,-0.001,0.001
1589,1779292813912,2026-05-20 18:00:13.912,-0.200,12.444,-0.002,0.001
1641,1779292813964,2026-05-20 18:00:13.964,0.100,12.452,0.001,0.001
1693,1779292814016,2026-05-20 18:00:14.016,0.100,12.492,0.001,0.001
1750,1779292814073,2026-05-20 18:00:14.073,0.300,12.496,0.004,0.001
1802,1779292814125,2026-05-20 18:00:14.125,0.100,12.496,0.001,0.001
1854,1779292814177,2026-05-20 18:00:14.177,-0.100,12.456,-0.001,0.001
1906,1779292814229,2026-05-20 18:00:14.229,0.100,12.496,0.001,0.001
1958,1779292814281,2026-05-20 18:00:14.281,0.100,12.496,0.001,0.001
