time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779351290977,2026-05-21 10:14:50.977,0.300,12.404,0.004,0.000
63,1779351291036,2026-05-21 10:14:51.036,0.200,12.404,0.002,0.000
115,1779351291088,2026-05-21 10:14:51.088,0.100,12.420,0.001,0.000
167,1779351291140,2026-05-21 10:14:51.140,0.000,12.476,0.000,0.000
226,1779351291199,2026-05-21 10:14:51.199,0.400,12.412,0.005,0.001
278,1779351291251,2026-05-21 10:14:51.251,0.500,12.420,0.006,0.001
330,1779351291303,2026-05-21 10:14:51.303,0.300,12.420,0.004,0.001
382,1779351291355,2026-05-21 10:14:51.355,0.200,12.476,0.002,0.001
441,1779351291414,2026-05-21 10:14:51.414,0.000,12.408,0.000,0.001
493,1779351291466,2026-05-21 10:14:51.466,0.200,12.420,0.002,0.001
545,1779351291518,2026-05-21 10:14:51.518,0.000,12.476,0.000,0.001
597,1779351291570,2026-05-21 10:14:51.570,0.000,12.424,0.000,0.001
655,1779351291628,2026-05-21 10:14:51.628,0.000,12.420,0.000,0.001
714,1779351291687,2026-05-21 10:14:51.687,0.300,12.408,0.004,0.002
766,1779351291739,2026-05-21 10:14:51.739,0.400,12.420,0.005,0.002
826,1779351291799,2026-05-21 10:14:51.799,0.300,12.408,0.004,0.002
878,1779351291851,2026-05-21 10:14:51.851,0.200,12.420,0.002,0.002
930,1779351291903,2026-05-21 10:14:51.903,0.100,12.476,0.001,0.002
982,1779351291955,2026-05-21 10:14:51.955,0.200,12.476,0.002,0.002
1042,1779351292015,2026-05-21 10:14:52.015,0.200,12.416,0.002,0.002
1094,1779351292067,2026-05-21 10:14:52.067,0.100,12.420,0.001,0.003
1146,1779351292119,2026-05-21 10:14:52.119,0.000,12.476,0.000,0.003
1198,1779351292171,2026-05-21 10:14:52.171,0.100,12.476,0.001,0.003
1258,1779351292231,2026-05-21 10:14:52.231,0.100,12.412,0.001,0.003
1310,1779351292283,2026-05-21 10:14:52.283,0.100,12.420,0.001,0.003
1362,1779351292335,2026-05-21 10:14:52.335,0.400,12.476,0.005,0.003
1414,1779351292387,2026-05-21 10:14:52.387,0.400,12.424,0.005,0.003
1473,1779351292446,2026-05-21 10:14:52.446,-0.100,12.416,-0.001,0.003
1532,1779351292505,2026-05-21 10:14:52.505,1676.300,10.344,17.340,1.026
1592,1779351292565,2026-05-21 10:14:52.565,289.400,11.996,3.472,1.235
1650,1779351292623,2026-05-21 10:14:52.623,141.600,12.288,1.740,1.335
1702,1779351292675,2026-05-21 10:14:52.675,154.400,12.300,1.899,1.434
1754,1779351292727,2026-05-21 10:14:52.727,96.900,12.276,1.190,1.496
1811,1779351292784,2026-05-21 10:14:52.784,162.800,12.312,2.004,1.610
1871,1779351292844,2026-05-21 10:14:52.844,96.200,12.268,1.180,1.681
1923,1779351292896,2026-05-21 10:14:52.896,145.000,12.232,1.774,1.773
1975,1779351292948,2026-05-21 10:14:52.948,92.100,12.364,1.139,1.833
2027,1779351293000,2026-05-21 10:14:53.000,96.400,12.340,1.190,1.894
2087,1779351293060,2026-05-21 10:14:53.060,145.500,12.268,1.785,2.002
2140,1779351293113,2026-05-21 10:14:53.113,124.900,12.332,1.540,2.083
2192,1779351293165,2026-05-21 10:14:53.165,139.700,12.364,1.727,2.173
2244,1779351293217,2026-05-21 10:14:53.217,111.200,12.272,1.365,2.244
2304,1779351293277,2026-05-21 10:14:53.277,118.400,12.264,1.452,2.331
2356,1779351293329,2026-05-21 10:14:53.329,134.400,12.308,1.654,2.417
2408,1779351293381,2026-05-21 10:14:53.381,132.400,12.364,1.637,2.502
2467,1779351293440,2026-05-21 10:14:53.440,114.200,12.316,1.406,2.585
2519,1779351293492,2026-05-21 10:14:53.492,147.800,12.288,1.816,2.680
2571,1779351293544,2026-05-21 10:14:53.544,111.900,12.312,1.378,2.751
2623,1779351293596,2026-05-21 10:14:53.596,136.200,12.308,1.676,2.838
2682,1779351293655,2026-05-21 10:14:53.655,139.700,12.296,1.718,2.940
2741,1779351293714,2026-05-21 10:14:53.714,103.800,12.268,1.273,3.015
2801,1779351293774,2026-05-21 10:14:53.774,120.300,12.264,1.475,3.103
2853,1779351293826,2026-05-21 10:14:53.826,55.300,12.296,0.680,3.139
2905,1779351293878,2026-05-21 10:14:53.878,96.900,12.320,1.194,3.201
2957,1779351293930,2026-05-21 10:14:53.930,100.100,12.388,1.240,3.265
3009,1779351293982,2026-05-21 10:14:53.982,107.400,12.348,1.326,3.334
3062,1779351294035,2026-05-21 10:14:54.035,47.200,12.344,0.583,3.365
3121,1779351294094,2026-05-21 10:14:54.094,109.100,12.288,1.341,3.444
3173,1779351294146,2026-05-21 10:14:54.146,38.900,12.304,0.479,3.469
3233,1779351294206,2026-05-21 10:14:54.206,63.500,12.304,0.781,3.516
3285,1779351294258,2026-05-21 10:14:54.258,41.500,12.296,0.510,3.543
3337,1779351294310,2026-05-21 10:14:54.310,114.800,12.400,1.424,3.617
3389,1779351294362,2026-05-21 10:14:54.362,100.500,12.356,1.242,3.681
3441,1779351294414,2026-05-21 10:14:54.414,53.700,12.336,0.662,3.716
3493,1779351294466,2026-05-21 10:14:54.466,80.600,12.372,0.997,3.767
3545,1779351294518,2026-05-21 10:14:54.518,119.900,12.392,1.486,3.845
3597,1779351294570,2026-05-21 10:14:54.570,94.400,12.364,1.167,3.905
3649,1779351294622,2026-05-21 10:14:54.622,100.600,12.364,1.244,3.970
3709,1779351294682,2026-05-21 10:14:54.682,93.400,12.364,1.155,4.039
3766,1779351294739,2026-05-21 10:14:54.739,103.400,12.360,1.278,4.112
3831,1779351294804,2026-05-21 10:14:54.804,55.000,12.308,0.677,4.156
3891,1779351294864,2026-05-21 10:14:54.864,79.000,12.364,0.977,4.215
3943,1779351294916,2026-05-21 10:14:54.916,38.300,12.296,0.471,4.239
3995,1779351294968,2026-05-21 10:14:54.968,81.900,12.412,1.017,4.292
4047,1779351295020,2026-05-21 10:14:55.020,99.300,12.416,1.233,4.356
4099,1779351295072,2026-05-21 10:14:55.072,98.000,12.304,1.206,4.419
4151,1779351295124,2026-05-21 10:14:55.124,61.700,12.364,0.763,4.459
4203,1779351295176,2026-05-21 10:14:55.176,110.200,12.408,1.367,4.530
4255,1779351295228,2026-05-21 10:14:55.228,83.400,12.336,1.029,4.583
4314,1779351295287,2026-05-21 10:14:55.287,120.200,12.304,1.479,4.671
4366,1779351295339,2026-05-21 10:14:55.339,55.700,12.352,0.688,4.706
4418,1779351295391,2026-05-21 10:14:55.391,115.900,12.372,1.434,4.781
4470,1779351295443,2026-05-21 10:14:55.443,82.500,12.332,1.017,4.834
4530,1779351295503,2026-05-21 10:14:55.503,52.500,12.256,0.643,4.872
4590,1779351295563,2026-05-21 10:14:55.563,87.000,12.368,1.076,4.937
4648,1779351295621,2026-05-21 10:14:55.621,48.700,12.292,0.599,4.972
4708,1779351295681,2026-05-21 10:14:55.681,49.000,12.296,0.603,5.008
4760,1779351295733,2026-05-21 10:14:55.733,75.200,12.288,0.924,5.056
4820,1779351295793,2026-05-21 10:14:55.793,65.600,12.272,0.805,5.104
4872,1779351295845,2026-05-21 10:14:55.845,111.500,12.312,1.373,5.176
4924,1779351295897,2026-05-21 10:14:55.897,63.100,12.336,0.778,5.216
4976,1779351295949,2026-05-21 10:14:55.949,129.300,12.376,1.600,5.299
5028,1779351296001,2026-05-21 10:14:56.001,50.200,12.340,0.619,5.331
5080,1779351296053,2026-05-21 10:14:56.053,72.400,12.384,0.897,5.378
5140,1779351296113,2026-05-21 10:14:56.113,41.300,12.324,0.509,5.409
5192,1779351296165,2026-05-21 10:14:56.165,69.700,12.284,0.856,5.453
5252,1779351296225,2026-05-21 10:14:56.225,58.800,12.284,0.722,5.496
5304,1779351296277,2026-05-21 10:14:56.277,104.100,12.300,1.280,5.563
5356,1779351296329,2026-05-21 10:14:56.329,56.800,12.396,0.704,5.600
5408,1779351296381,2026-05-21 10:14:56.381,126.100,12.376,1.561,5.681
5460,1779351296433,2026-05-21 10:14:56.433,64.900,12.332,0.800,5.722
5512,1779351296485,2026-05-21 10:14:56.485,78.500,12.360,0.970,5.773
5564,1779351296537,2026-05-21 10:14:56.537,90.800,12.288,1.116,5.831
5616,1779351296589,2026-05-21 10:14:56.589,130.100,12.356,1.608,5.915
5668,1779351296641,2026-05-21 10:14:56.641,130.700,12.360,1.615,5.999
5720,1779351296693,2026-05-21 10:14:56.693,93.900,12.360,1.161,6.059
5781,1779351296754,2026-05-21 10:14:56.754,89.900,12.292,1.105,6.126
5839,1779351296812,2026-05-21 10:14:56.812,48.200,12.364,0.596,6.161
5898,1779351296871,2026-05-21 10:14:56.871,96.400,12.364,1.192,6.231
5956,1779351296929,2026-05-21 10:14:56.929,108.900,12.288,1.338,6.309
6016,1779351296989,2026-05-21 10:14:56.989,85.800,12.296,1.055,6.372
6076,1779351297049,2026-05-21 10:14:57.049,58.800,12.336,0.725,6.416
6128,1779351297101,2026-05-21 10:14:57.101,52.700,12.288,0.648,6.449
6180,1779351297153,2026-05-21 10:14:57.153,98.800,12.412,1.226,6.513
6232,1779351297205,2026-05-21 10:14:57.205,103.100,12.336,1.272,6.579
6284,1779351297257,2026-05-21 10:14:57.257,54.300,12.356,0.671,6.614
6336,1779351297309,2026-05-21 10:14:57.309,80.100,12.288,0.984,6.665
6390,1779351297363,2026-05-21 10:14:57.363,58.000,12.292,0.713,6.704
6443,1779351297416,2026-05-21 10:14:57.416,76.800,12.384,0.951,6.754
6495,1779351297468,2026-05-21 10:14:57.468,93.900,12.424,1.167,6.815
6555,1779351297528,2026-05-21 10:14:57.528,113.000,12.348,1.395,6.899
6615,1779351297588,2026-05-21 10:14:57.588,97.300,12.364,1.203,6.971
6673,1779351297646,2026-05-21 10:14:57.646,78.700,12.292,0.967,7.027
6733,1779351297706,2026-05-21 10:14:57.706,108.000,12.324,1.331,7.107
6793,1779351297766,2026-05-21 10:14:57.766,81.900,12.296,1.007,7.167
6844,1779351297817,2026-05-21 10:14:57.817,39.100,12.300,0.481,7.192
6896,1779351297869,2026-05-21 10:14:57.869,63.700,12.424,0.791,7.233
6948,1779351297921,2026-05-21 10:14:57.921,92.800,12.400,1.151,7.293
7000,1779351297973,2026-05-21 10:14:57.973,99.800,12.412,1.239,7.357
7052,1779351298025,2026-05-21 10:14:58.025,112.300,12.356,1.388,7.429
7104,1779351298077,2026-05-21 10:14:58.077,68.300,12.340,0.843,7.473
7156,1779351298129,2026-05-21 10:14:58.129,105.500,12.344,1.302,7.541
7209,1779351298182,2026-05-21 10:14:58.182,62.300,12.276,0.765,7.581
7261,1779351298234,2026-05-21 10:14:58.234,66.900,12.408,0.830,7.624
7313,1779351298286,2026-05-21 10:14:58.286,115.000,12.368,1.422,7.698
7372,1779351298345,2026-05-21 10:14:58.345,120.400,12.320,1.483,7.786
7425,1779351298398,2026-05-21 10:14:58.398,105.800,12.356,1.307,7.855
7477,1779351298450,2026-05-21 10:14:58.450,92.500,12.332,1.141,7.915
7529,1779351298502,2026-05-21 10:14:58.502,54.800,12.384,0.679,7.950
7590,1779351298563,2026-05-21 10:14:58.563,62.400,12.276,0.766,7.997
7648,1779351298621,2026-05-21 10:14:58.621,64.900,12.360,0.802,8.043
7706,1779351298679,2026-05-21 10:14:58.679,78.400,12.364,0.969,8.099
7767,1779351298740,2026-05-21 10:14:58.740,58.900,12.344,0.727,8.144
7826,1779351298799,2026-05-21 10:14:58.799,112.100,12.344,1.384,8.225
7883,1779351298856,2026-05-21 10:14:58.856,109.900,12.304,1.352,8.302
7935,1779351298908,2026-05-21 10:14:58.908,43.800,12.380,0.542,8.331
7987,1779351298960,2026-05-21 10:14:58.960,114.300,12.400,1.417,8.404
8039,1779351299012,2026-05-21 10:14:59.012,111.300,12.364,1.376,8.476
8091,1779351299064,2026-05-21 10:14:59.064,61.600,12.340,0.760,8.515
8143,1779351299116,2026-05-21 10:14:59.116,56.200,12.372,0.695,8.551
8195,1779351299168,2026-05-21 10:14:59.168,104.500,12.368,1.292,8.619
8255,1779351299228,2026-05-21 10:14:59.228,97.400,12.364,1.204,8.691
8315,1779351299288,2026-05-21 10:14:59.288,91.100,12.288,1.119,8.758
8367,1779351299340,2026-05-21 10:14:59.340,72.400,12.356,0.895,8.805
8427,1779351299400,2026-05-21 10:14:59.400,79.100,12.356,0.977,8.863
8479,1779351299452,2026-05-21 10:14:59.452,64.000,12.332,0.789,8.904
8531,1779351299504,2026-05-21 10:14:59.504,130.600,12.372,1.616,8.988
8583,1779351299556,2026-05-21 10:14:59.556,45.900,12.300,0.565,9.018
