time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1779022007592,2026-05-17 14:46:47.592,0.100,12.024,0.001,0.000
55,1779022007644,2026-05-17 14:46:47.644,-0.100,12.040,-0.001,-0.000
107,1779022007696,2026-05-17 14:46:47.696,0.100,12.040,0.001,0.000
159,1779022007748,2026-05-17 14:46:47.748,0.300,12.080,0.004,0.000
219,1779022007808,2026-05-17 14:46:47.808,0.200,12.036,0.002,0.000
270,1779022007859,2026-05-17 14:46:47.859,0.300,12.040,0.004,0.001
322,1779022007911,2026-05-17 14:46:47.911,0.100,12.080,0.001,0.001
375,1779022007964,2026-05-17 14:46:47.964,0.200,12.036,0.002,0.001
435,1779022008024,2026-05-17 14:46:48.024,-0.100,12.040,-0.001,0.001
492,1779022008081,2026-05-17 14:46:48.081,0.100,12.040,0.001,0.001
544,1779022008133,2026-05-17 14:46:48.133,0.100,12.080,0.001,0.001
604,1779022008193,2026-05-17 14:46:48.193,0.400,12.036,0.005,0.001
655,1779022008244,2026-05-17 14:46:48.244,0.100,12.040,0.001,0.001
707,1779022008296,2026-05-17 14:46:48.296,-0.100,12.080,-0.001,0.001
759,1779022008348,2026-05-17 14:46:48.348,0.200,12.084,0.002,0.001
819,1779022008408,2026-05-17 14:46:48.408,-0.200,12.040,-0.002,0.001
876,1779022008465,2026-05-17 14:46:48.465,0.400,12.036,0.005,0.001
927,1779022008516,2026-05-17 14:46:48.516,0.200,12.040,0.002,0.001
987,1779022008576,2026-05-17 14:46:48.576,-0.100,12.036,-0.001,0.001
1039,1779022008628,2026-05-17 14:46:48.628,0.000,12.040,0.000,0.001
1091,1779022008680,2026-05-17 14:46:48.680,0.300,12.080,0.004,0.002
1143,1779022008732,2026-05-17 14:46:48.732,0.400,12.080,0.005,0.002
1196,1779022008785,2026-05-17 14:46:48.785,0.300,12.036,0.004,0.002
1256,1779022008845,2026-05-17 14:46:48.845,0.100,12.036,0.001,0.002
1308,1779022008897,2026-05-17 14:46:48.897,0.100,12.036,0.001,0.002
