time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1779266170356,2026-05-20 10:36:10.356,0.100,12.512,0.001,0.000
61,1779266170414,2026-05-20 10:36:10.414,0.000,12.512,0.000,0.000
120,1779266170473,2026-05-20 10:36:10.473,0.400,12.504,0.005,0.000
177,1779266170530,2026-05-20 10:36:10.530,0.000,12.508,0.000,0.000
236,1779266170589,2026-05-20 10:36:10.589,0.100,12.488,0.001,0.000
288,1779266170641,2026-05-20 10:36:10.641,-0.100,12.508,-0.001,0.000
339,1779266170692,2026-05-20 10:36:10.692,0.000,12.552,0.000,0.000
390,1779266170743,2026-05-20 10:36:10.743,0.100,12.552,0.001,0.000
449,1779266170802,2026-05-20 10:36:10.802,0.200,12.508,0.003,0.001
509,1779266170862,2026-05-20 10:36:10.862,0.100,12.508,0.001,0.001
567,1779266170920,2026-05-20 10:36:10.920,-0.300,12.500,-0.004,0.000
626,1779266170979,2026-05-20 10:36:10.979,0.000,12.512,0.000,0.000
685,1779266171038,2026-05-20 10:36:11.038,0.200,12.508,0.003,0.001
744,1779266171097,2026-05-20 10:36:11.097,0.100,12.496,0.001,0.001
804,1779266171157,2026-05-20 10:36:11.157,0.100,12.504,0.001,0.001
864,1779266171217,2026-05-20 10:36:11.217,0.100,12.496,0.001,0.001
924,1779266171277,2026-05-20 10:36:11.277,0.100,12.512,0.001,0.001
983,1779266171336,2026-05-20 10:36:11.336,0.000,12.504,0.000,0.001
1041,1779266171394,2026-05-20 10:36:11.394,0.300,12.504,0.004,0.001
1100,1779266171453,2026-05-20 10:36:11.453,-0.100,12.500,-0.001,0.001
1159,1779266171512,2026-05-20 10:36:11.512,0.000,12.508,0.000,0.001
1219,1779266171572,2026-05-20 10:36:11.572,-0.100,12.508,-0.001,0.001
1278,1779266171631,2026-05-20 10:36:11.631,0.100,12.500,0.001,0.001
1337,1779266171690,2026-05-20 10:36:11.690,-0.100,12.508,-0.001,0.001
1397,1779266171750,2026-05-20 10:36:11.750,0.100,12.504,0.001,0.001
1457,1779266171810,2026-05-20 10:36:11.810,0.300,12.512,0.004,0.001
1518,1779266171871,2026-05-20 10:36:11.871,0.100,12.496,0.001,0.001
1577,1779266171930,2026-05-20 10:36:11.930,0.000,12.508,0.000,0.001
1634,1779266171987,2026-05-20 10:36:11.987,0.000,12.508,0.000,0.001
1686,1779266172039,2026-05-20 10:36:12.039,0.000,12.552,0.000,0.001
1738,1779266172091,2026-05-20 10:36:12.091,0.000,12.552,0.000,0.001
1790,1779266172143,2026-05-20 10:36:12.143,0.100,12.552,0.001,0.001
1850,1779266172203,2026-05-20 10:36:12.203,0.000,12.508,0.000,0.001
1909,1779266172262,2026-05-20 10:36:12.262,0.300,12.512,0.004,0.002
1970,1779266172323,2026-05-20 10:36:12.323,0.000,12.500,0.000,0.002
2027,1779266172380,2026-05-20 10:36:12.380,0.000,12.504,0.000,0.002
2086,1779266172439,2026-05-20 10:36:12.439,0.100,12.508,0.001,0.002
2138,1779266172491,2026-05-20 10:36:12.491,0.100,12.508,0.001,0.002
2189,1779266172542,2026-05-20 10:36:12.542,0.100,12.552,0.001,0.002
2240,1779266172593,2026-05-20 10:36:12.593,0.100,12.552,0.001,0.002
2299,1779266172652,2026-05-20 10:36:12.652,0.100,12.508,0.001,0.002
2351,1779266172704,2026-05-20 10:36:12.704,0.000,12.512,0.000,0.002
2411,1779266172764,2026-05-20 10:36:12.764,0.100,12.508,0.001,0.002
2471,1779266172824,2026-05-20 10:36:12.824,1347.900,10.360,13.964,0.840
2533,1779266172886,2026-05-20 10:36:12.886,288.000,11.916,3.432,1.053
2585,1779266172938,2026-05-20 10:36:12.938,124.300,12.304,1.529,1.132
2644,1779266172997,2026-05-20 10:36:12.997,130.500,12.344,1.611,1.227
2703,1779266173056,2026-05-20 10:36:13.056,50.800,12.328,0.626,1.264
2755,1779266173108,2026-05-20 10:36:13.108,63.400,12.348,0.783,1.305
2806,1779266173159,2026-05-20 10:36:13.159,116.100,12.416,1.441,1.378
2857,1779266173210,2026-05-20 10:36:13.210,45.600,12.328,0.562,1.407
2916,1779266173269,2026-05-20 10:36:13.269,101.500,12.340,1.253,1.481
2968,1779266173321,2026-05-20 10:36:13.321,113.800,12.408,1.412,1.554
3020,1779266173373,2026-05-20 10:36:13.373,46.700,12.396,0.579,1.584
3072,1779266173425,2026-05-20 10:36:13.425,114.500,12.404,1.420,1.658
3124,1779266173477,2026-05-20 10:36:13.477,115.600,12.304,1.422,1.732
3176,1779266173529,2026-05-20 10:36:13.529,115.300,12.364,1.426,1.806
3235,1779266173588,2026-05-20 10:36:13.588,52.100,12.328,0.642,1.844
3294,1779266173647,2026-05-20 10:36:13.647,51.800,12.320,0.638,1.882
3354,1779266173707,2026-05-20 10:36:13.707,54.300,12.388,0.673,1.922
3406,1779266173759,2026-05-20 10:36:13.759,98.900,12.432,1.230,1.986
3465,1779266173818,2026-05-20 10:36:13.818,122.300,12.320,1.507,2.075
3518,1779266173871,2026-05-20 10:36:13.871,58.100,12.308,0.715,2.113
3570,1779266173923,2026-05-20 10:36:13.923,53.300,12.328,0.657,2.147
3622,1779266173975,2026-05-20 10:36:13.975,68.400,12.356,0.845,2.191
3679,1779266174032,2026-05-20 10:36:14.032,58.000,12.372,0.718,2.232
3732,1779266174085,2026-05-20 10:36:14.085,120.800,12.340,1.491,2.311
3784,1779266174137,2026-05-20 10:36:14.137,115.300,12.380,1.427,2.385
3836,1779266174189,2026-05-20 10:36:14.189,120.700,12.348,1.490,2.463
3888,1779266174241,2026-05-20 10:36:14.241,81.600,12.296,1.003,2.515
3948,1779266174301,2026-05-20 10:36:14.301,124.400,12.316,1.532,2.607
4000,1779266174353,2026-05-20 10:36:14.353,56.500,12.308,0.695,2.643
4052,1779266174405,2026-05-20 10:36:14.405,71.800,12.372,0.888,2.689
4104,1779266174457,2026-05-20 10:36:14.457,81.200,12.412,1.008,2.742
4156,1779266174509,2026-05-20 10:36:14.509,114.400,12.448,1.424,2.816
4208,1779266174561,2026-05-20 10:36:14.561,54.800,12.372,0.678,2.851
4260,1779266174613,2026-05-20 10:36:14.613,94.000,12.364,1.162,2.911
4318,1779266174671,2026-05-20 10:36:14.671,112.700,12.404,1.398,2.992
4377,1779266174730,2026-05-20 10:36:14.730,90.200,12.428,1.121,3.059
4430,1779266174783,2026-05-20 10:36:14.783,106.800,12.408,1.325,3.129
4482,1779266174835,2026-05-20 10:36:14.835,63.300,12.448,0.788,3.170
4534,1779266174887,2026-05-20 10:36:14.887,46.300,12.368,0.573,3.200
4586,1779266174939,2026-05-20 10:36:14.939,113.000,12.400,1.401,3.272
4638,1779266174991,2026-05-20 10:36:14.991,39.800,12.396,0.493,3.298
4690,1779266175043,2026-05-20 10:36:15.043,85.700,12.364,1.060,3.353
4742,1779266175095,2026-05-20 10:36:15.095,110.300,12.356,1.363,3.424
4794,1779266175147,2026-05-20 10:36:15.147,114.700,12.456,1.429,3.498
4846,1779266175199,2026-05-20 10:36:15.199,52.400,12.380,0.649,3.532
4898,1779266175251,2026-05-20 10:36:15.251,115.800,12.424,1.439,3.607
4958,1779266175311,2026-05-20 10:36:15.311,62.300,12.324,0.768,3.653
5009,1779266175362,2026-05-20 10:36:15.362,70.900,12.428,0.881,3.698
5061,1779266175414,2026-05-20 10:36:15.414,68.200,12.380,0.844,3.742
5113,1779266175466,2026-05-20 10:36:15.466,103.000,12.360,1.273,3.808
5166,1779266175519,2026-05-20 10:36:15.519,64.600,12.452,0.804,3.851
5218,1779266175571,2026-05-20 10:36:15.571,75.900,12.380,0.940,3.900
5270,1779266175623,2026-05-20 10:36:15.623,49.400,12.464,0.616,3.932
5322,1779266175675,2026-05-20 10:36:15.675,96.600,12.352,1.193,3.994
5379,1779266175732,2026-05-20 10:36:15.732,69.000,12.332,0.851,4.042
5437,1779266175790,2026-05-20 10:36:15.790,87.200,12.328,1.075,4.104
5489,1779266175842,2026-05-20 10:36:15.842,111.300,12.400,1.380,4.176
5541,1779266175894,2026-05-20 10:36:15.894,77.100,12.476,0.962,4.226
5593,1779266175946,2026-05-20 10:36:15.946,90.100,12.384,1.116,4.284
5645,1779266175998,2026-05-20 10:36:15.998,35.700,12.380,0.442,4.307
5702,1779266176055,2026-05-20 10:36:16.055,75.800,12.452,0.944,4.361
5754,1779266176107,2026-05-20 10:36:16.107,35.200,12.328,0.434,4.384
5806,1779266176159,2026-05-20 10:36:16.159,103.300,12.396,1.281,4.450
5858,1779266176211,2026-05-20 10:36:16.211,37.700,12.436,0.469,4.475
5910,1779266176263,2026-05-20 10:36:16.263,40.600,12.444,0.505,4.501
5970,1779266176323,2026-05-20 10:36:16.323,26.800,12.344,0.331,4.521
6022,1779266176375,2026-05-20 10:36:16.375,40.800,12.328,0.503,4.547
6074,1779266176427,2026-05-20 10:36:16.427,63.700,12.472,0.794,4.588
6126,1779266176479,2026-05-20 10:36:16.479,47.800,12.480,0.597,4.619
6178,1779266176531,2026-05-20 10:36:16.531,41.700,12.364,0.516,4.646
6230,1779266176583,2026-05-20 10:36:16.583,111.500,12.436,1.387,4.718
6282,1779266176635,2026-05-20 10:36:16.635,104.400,12.420,1.297,4.785
6334,1779266176687,2026-05-20 10:36:16.687,33.200,12.388,0.411,4.807
6386,1779266176739,2026-05-20 10:36:16.739,57.600,12.308,0.709,4.844
6438,1779266176791,2026-05-20 10:36:16.791,88.900,12.392,1.102,4.901
6497,1779266176850,2026-05-20 10:36:16.850,72.200,12.312,0.889,4.953
6549,1779266176902,2026-05-20 10:36:16.902,42.400,12.316,0.522,4.981
