time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779351184785,2026-05-21 10:13:04.785,0.300,12.448,0.004,0.000
57,1779351184838,2026-05-21 10:13:04.838,0.300,12.444,0.004,0.000
109,1779351184890,2026-05-21 10:13:04.890,0.100,12.444,0.001,0.000
161,1779351184942,2026-05-21 10:13:04.942,0.200,12.488,0.002,0.000
213,1779351184994,2026-05-21 10:13:04.994,0.100,12.492,0.001,0.000
265,1779351185046,2026-05-21 10:13:05.046,0.300,12.488,0.004,0.001
324,1779351185105,2026-05-21 10:13:05.105,0.000,12.432,0.000,0.001
385,1779351185166,2026-05-21 10:13:05.166,0.100,12.444,0.001,0.001
437,1779351185218,2026-05-21 10:13:05.218,0.000,12.444,0.000,0.001
489,1779351185270,2026-05-21 10:13:05.270,-0.100,12.488,-0.001,0.001
541,1779351185322,2026-05-21 10:13:05.322,0.200,12.488,0.002,0.001
593,1779351185374,2026-05-21 10:13:05.374,0.100,12.488,0.001,0.001
645,1779351185426,2026-05-21 10:13:05.426,0.000,12.488,0.000,0.001
697,1779351185478,2026-05-21 10:13:05.478,0.300,12.492,0.004,0.001
756,1779351185537,2026-05-21 10:13:05.537,0.200,12.440,0.002,0.001
815,1779351185596,2026-05-21 10:13:05.596,0.100,12.440,0.001,0.001
867,1779351185648,2026-05-21 10:13:05.648,0.100,12.440,0.001,0.001
919,1779351185700,2026-05-21 10:13:05.700,0.000,12.444,0.000,0.001
971,1779351185752,2026-05-21 10:13:05.752,0.200,12.488,0.002,0.001
1023,1779351185804,2026-05-21 10:13:05.804,-0.100,12.492,-0.001,0.001
1075,1779351185856,2026-05-21 10:13:05.856,0.000,12.488,0.000,0.001
1127,1779351185908,2026-05-21 10:13:05.908,0.200,12.488,0.002,0.002
1179,1779351185960,2026-05-21 10:13:05.960,0.100,12.492,0.001,0.002
1231,1779351186012,2026-05-21 10:13:06.012,0.200,12.488,0.002,0.002
1283,1779351186064,2026-05-21 10:13:06.064,0.100,12.488,0.001,0.002
1335,1779351186116,2026-05-21 10:13:06.116,0.100,12.488,0.001,0.002
1387,1779351186168,2026-05-21 10:13:06.168,0.000,12.488,0.000,0.002
1439,1779351186220,2026-05-21 10:13:06.220,0.300,12.488,0.004,0.002
1491,1779351186272,2026-05-21 10:13:06.272,0.000,12.488,0.000,0.002
1548,1779351186329,2026-05-21 10:13:06.329,0.200,12.444,0.002,0.002
1600,1779351186381,2026-05-21 10:13:06.381,-0.100,12.444,-0.001,0.002
1652,1779351186433,2026-05-21 10:13:06.433,0.300,12.488,0.004,0.002
1704,1779351186485,2026-05-21 10:13:06.485,0.300,12.488,0.004,0.003
1756,1779351186537,2026-05-21 10:13:06.537,0.100,12.488,0.001,0.003
1808,1779351186589,2026-05-21 10:13:06.589,0.300,12.488,0.004,0.003
1860,1779351186641,2026-05-21 10:13:06.641,0.100,12.492,0.001,0.003
1912,1779351186693,2026-05-21 10:13:06.693,0.200,12.492,0.002,0.003
1964,1779351186745,2026-05-21 10:13:06.745,0.200,12.440,0.002,0.003
2016,1779351186797,2026-05-21 10:13:06.797,-0.200,12.488,-0.002,0.003
2068,1779351186849,2026-05-21 10:13:06.849,0.300,12.492,0.004,0.003
2120,1779351186901,2026-05-21 10:13:06.901,0.000,12.492,0.000,0.003
2179,1779351186960,2026-05-21 10:13:06.960,0.300,12.428,0.004,0.003
2237,1779351187018,2026-05-21 10:13:07.018,0.500,12.444,0.006,0.004
2296,1779351187077,2026-05-21 10:13:07.077,0.000,12.440,0.000,0.004
2356,1779351187137,2026-05-21 10:13:07.137,0.200,12.444,0.002,0.004
2416,1779351187197,2026-05-21 10:13:07.197,-0.200,12.444,-0.002,0.004
2475,1779351187256,2026-05-21 10:13:07.256,0.300,12.444,0.004,0.004
2535,1779351187316,2026-05-21 10:13:07.316,0.300,12.432,0.004,0.004
2594,1779351187375,2026-05-21 10:13:07.375,0.300,12.444,0.004,0.004
2646,1779351187427,2026-05-21 10:13:07.427,0.400,12.444,0.005,0.005
2706,1779351187487,2026-05-21 10:13:07.487,0.300,12.444,0.004,0.005
2764,1779351187545,2026-05-21 10:13:07.545,0.300,12.444,0.004,0.005
2825,1779351187606,2026-05-21 10:13:07.606,0.000,12.368,0.000,0.005
2885,1779351187666,2026-05-21 10:13:07.666,0.000,12.444,0.000,0.005
2936,1779351187717,2026-05-21 10:13:07.717,0.300,12.440,0.004,0.005
2996,1779351187777,2026-05-21 10:13:07.777,0.200,12.440,0.002,0.005
3056,1779351187837,2026-05-21 10:13:07.837,0.200,12.440,0.002,0.006
3108,1779351187889,2026-05-21 10:13:07.889,0.300,12.444,0.004,0.006
3161,1779351187942,2026-05-21 10:13:07.942,0.200,12.444,0.002,0.006
3213,1779351187994,2026-05-21 10:13:07.994,0.100,12.488,0.001,0.006
3265,1779351188046,2026-05-21 10:13:08.046,-0.100,12.492,-0.001,0.006
3317,1779351188098,2026-05-21 10:13:08.098,-0.100,12.492,-0.001,0.006
3369,1779351188150,2026-05-21 10:13:08.150,0.100,12.448,0.001,0.006
3421,1779351188202,2026-05-21 10:13:08.202,0.000,12.444,0.000,0.006
3481,1779351188262,2026-05-21 10:13:08.262,0.500,12.444,0.006,0.006
3538,1779351188319,2026-05-21 10:13:08.319,1624.600,10.764,17.487,1.003
3602,1779351188383,2026-05-21 10:13:08.383,352.400,12.056,4.249,1.275
3662,1779351188443,2026-05-21 10:13:08.443,107.400,12.316,1.323,1.354
3714,1779351188495,2026-05-21 10:13:08.495,147.800,12.224,1.807,1.448
3766,1779351188547,2026-05-21 10:13:08.547,112.000,12.368,1.385,1.520
3824,1779351188605,2026-05-21 10:13:08.605,155.900,12.232,1.907,1.631
3884,1779351188665,2026-05-21 10:13:08.665,106.100,12.320,1.307,1.709
3936,1779351188717,2026-05-21 10:13:08.717,97.200,12.276,1.193,1.771
3996,1779351188777,2026-05-21 10:13:08.777,115.800,12.332,1.428,1.857
4048,1779351188829,2026-05-21 10:13:08.829,106.600,12.268,1.308,1.925
4100,1779351188881,2026-05-21 10:13:08.881,110.700,12.360,1.368,1.996
4152,1779351188933,2026-05-21 10:13:08.933,173.200,12.312,2.132,2.107
4212,1779351188993,2026-05-21 10:13:08.993,110.900,12.232,1.357,2.189
4264,1779351189045,2026-05-21 10:13:09.045,151.600,12.300,1.865,2.285
4316,1779351189097,2026-05-21 10:13:09.097,107.400,12.280,1.319,2.354
4368,1779351189149,2026-05-21 10:13:09.149,142.600,12.360,1.763,2.446
4428,1779351189209,2026-05-21 10:13:09.209,113.600,12.344,1.402,2.530
4480,1779351189261,2026-05-21 10:13:09.261,121.900,12.356,1.506,2.608
4532,1779351189313,2026-05-21 10:13:09.313,54.700,12.356,0.676,2.643
4584,1779351189365,2026-05-21 10:13:09.365,118.500,12.396,1.469,2.720
4644,1779351189425,2026-05-21 10:13:09.425,66.300,12.264,0.813,2.769
4696,1779351189477,2026-05-21 10:13:09.477,47.600,12.344,0.588,2.799
4748,1779351189529,2026-05-21 10:13:09.529,118.400,12.336,1.461,2.875
4801,1779351189582,2026-05-21 10:13:09.582,57.500,12.296,0.707,2.912
4862,1779351189643,2026-05-21 10:13:09.643,119.100,12.344,1.470,3.002
4920,1779351189701,2026-05-21 10:13:09.701,44.900,12.316,0.553,3.034
4980,1779351189761,2026-05-21 10:13:09.761,135.800,12.316,1.673,3.135
5032,1779351189813,2026-05-21 10:13:09.813,90.400,12.264,1.109,3.192
5084,1779351189865,2026-05-21 10:13:09.865,126.300,12.380,1.564,3.274
