time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779291747442,2026-05-20 17:42:27.442,0.300,12.448,0.004,0.000
64,1779291747502,2026-05-20 17:42:27.502,0.300,12.440,0.004,0.000
122,1779291747560,2026-05-20 17:42:27.560,0.000,12.432,0.000,0.000
181,1779291747619,2026-05-20 17:42:27.619,-0.100,12.440,-0.001,0.000
241,1779291747679,2026-05-20 17:42:27.679,0.200,12.428,0.002,0.000
301,1779291747739,2026-05-20 17:42:27.739,-0.100,12.448,-0.001,0.000
360,1779291747798,2026-05-20 17:42:27.798,0.000,12.432,0.000,0.000
413,1779291747851,2026-05-20 17:42:27.851,-0.100,12.448,-0.001,0.000
465,1779291747903,2026-05-20 17:42:27.903,0.000,12.500,0.000,0.000
517,1779291747955,2026-05-20 17:42:27.955,0.100,12.500,0.001,0.000
569,1779291748007,2026-05-20 17:42:28.007,0.100,12.504,0.001,0.000
621,1779291748059,2026-05-20 17:42:28.059,0.000,12.444,0.000,0.000
673,1779291748111,2026-05-20 17:42:28.111,0.000,12.500,0.000,0.000
725,1779291748163,2026-05-20 17:42:28.163,-0.100,12.500,-0.001,0.000
777,1779291748215,2026-05-20 17:42:28.215,0.400,12.500,0.005,0.000
837,1779291748275,2026-05-20 17:42:28.275,-0.100,12.440,-0.001,0.000
889,1779291748327,2026-05-20 17:42:28.327,0.100,12.408,0.001,0.000
949,1779291748387,2026-05-20 17:42:28.387,0.100,12.376,0.001,0.001
1014,1779291748452,2026-05-20 17:42:28.452,0.000,12.448,0.000,0.001
1073,1779291748511,2026-05-20 17:42:28.511,0.300,12.444,0.004,0.001
1125,1779291748563,2026-05-20 17:42:28.563,0.000,12.444,0.000,0.001
1185,1779291748623,2026-05-20 17:42:28.623,0.100,12.432,0.001,0.001
1237,1779291748675,2026-05-20 17:42:28.675,0.300,12.444,0.004,0.001
1289,1779291748727,2026-05-20 17:42:28.727,0.000,12.500,0.000,0.001
1341,1779291748779,2026-05-20 17:42:28.779,0.300,12.496,0.004,0.001
1393,1779291748831,2026-05-20 17:42:28.831,0.100,12.500,0.001,0.001
1453,1779291748891,2026-05-20 17:42:28.891,0.300,12.444,0.004,0.002
1514,1779291748952,2026-05-20 17:42:28.952,0.100,12.444,0.001,0.002
1566,1779291749004,2026-05-20 17:42:29.004,0.000,12.448,0.000,0.002
1624,1779291749062,2026-05-20 17:42:29.062,1285.900,9.912,12.746,0.741
1676,1779291749114,2026-05-20 17:42:29.114,383.500,11.832,4.538,0.977
1728,1779291749166,2026-05-20 17:42:29.166,301.400,12.028,3.625,1.165
1780,1779291749218,2026-05-20 17:42:29.218,185.500,12.152,2.254,1.283
1832,1779291749270,2026-05-20 17:42:29.270,85.300,12.236,1.044,1.337
1884,1779291749322,2026-05-20 17:42:29.322,38.300,12.304,0.471,1.361
1944,1779291749382,2026-05-20 17:42:29.382,40.800,12.296,0.502,1.391
2001,1779291749439,2026-05-20 17:42:29.439,174.900,12.232,2.139,1.513
2061,1779291749499,2026-05-20 17:42:29.499,282.600,12.036,3.401,1.717
2121,1779291749559,2026-05-20 17:42:29.559,282.900,11.956,3.382,1.920
2173,1779291749611,2026-05-20 17:42:29.611,276.900,12.064,3.341,2.094
2225,1779291749663,2026-05-20 17:42:29.663,140.500,12.168,1.710,2.183
2277,1779291749715,2026-05-20 17:42:29.715,117.200,12.388,1.452,2.259
2329,1779291749767,2026-05-20 17:42:29.767,58.500,12.420,0.727,2.296
2381,1779291749819,2026-05-20 17:42:29.819,110.900,12.320,1.366,2.367
2433,1779291749871,2026-05-20 17:42:29.871,229.900,12.144,2.792,2.513
2485,1779291749923,2026-05-20 17:42:29.923,284.900,12.020,3.424,2.691
2537,1779291749975,2026-05-20 17:42:29.975,333.300,12.036,4.012,2.899
2589,1779291750027,2026-05-20 17:42:30.027,217.600,12.104,2.634,3.036
2641,1779291750079,2026-05-20 17:42:30.079,98.500,12.328,1.214,3.099
2701,1779291750139,2026-05-20 17:42:30.139,71.600,12.440,0.891,3.153
2761,1779291750199,2026-05-20 17:42:30.199,67.800,12.364,0.838,3.203
2821,1779291750259,2026-05-20 17:42:30.259,114.700,12.200,1.399,3.287
2873,1779291750311,2026-05-20 17:42:30.311,213.000,12.072,2.571,3.421
2925,1779291750363,2026-05-20 17:42:30.363,236.900,12.132,2.874,3.570
2977,1779291750415,2026-05-20 17:42:30.415,198.700,12.136,2.411,3.696
3034,1779291750472,2026-05-20 17:42:30.472,122.700,12.264,1.505,3.781
3094,1779291750532,2026-05-20 17:42:30.532,113.200,12.352,1.398,3.865
3152,1779291750590,2026-05-20 17:42:30.590,56.000,12.292,0.688,3.905
3212,1779291750650,2026-05-20 17:42:30.650,102.800,12.232,1.257,3.981
3263,1779291750701,2026-05-20 17:42:30.701,256.700,12.056,3.095,4.138
3322,1779291750760,2026-05-20 17:42:30.760,338.500,11.972,4.053,4.378
3374,1779291750812,2026-05-20 17:42:30.812,240.900,12.092,2.913,4.529
3426,1779291750864,2026-05-20 17:42:30.864,112.000,12.244,1.371,4.600
3478,1779291750916,2026-05-20 17:42:30.916,54.300,12.388,0.673,4.635
3538,1779291750976,2026-05-20 17:42:30.976,80.500,12.416,0.999,4.695
3590,1779291751028,2026-05-20 17:42:31.028,65.500,12.304,0.806,4.737
3642,1779291751080,2026-05-20 17:42:31.080,208.800,12.180,2.543,4.869
3702,1779291751140,2026-05-20 17:42:31.140,306.400,11.984,3.672,5.090
3753,1779291751191,2026-05-20 17:42:31.191,268.900,12.068,3.245,5.255
3805,1779291751243,2026-05-20 17:42:31.243,178.200,12.208,2.175,5.368
3857,1779291751295,2026-05-20 17:42:31.295,108.700,12.324,1.340,5.438
3917,1779291751355,2026-05-20 17:42:31.355,35.700,12.472,0.445,5.465
3974,1779291751412,2026-05-20 17:42:31.412,19.300,12.448,0.240,5.478
4026,1779291751464,2026-05-20 17:42:31.464,141.500,12.228,1.730,5.568
4078,1779291751516,2026-05-20 17:42:31.516,241.100,11.984,2.889,5.719
4138,1779291751576,2026-05-20 17:42:31.576,249.600,12.056,3.009,5.899
4189,1779291751627,2026-05-20 17:42:31.627,187.100,12.204,2.283,6.016
4241,1779291751679,2026-05-20 17:42:31.679,108.600,12.332,1.339,6.085
4293,1779291751731,2026-05-20 17:42:31.731,26.200,12.344,0.323,6.102
4353,1779291751791,2026-05-20 17:42:31.791,80.300,12.384,0.994,6.162
