time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779291178140,2026-05-20 17:32:58.140,-0.100,12.492,-0.001,-0.000
55,1779291178191,2026-05-20 17:32:58.191,0.300,12.492,0.004,0.000
107,1779291178243,2026-05-20 17:32:58.243,0.100,12.520,0.001,0.000
164,1779291178300,2026-05-20 17:32:58.300,0.100,12.524,0.001,0.000
216,1779291178352,2026-05-20 17:32:58.352,0.200,12.492,0.002,0.000
275,1779291178411,2026-05-20 17:32:58.411,0.400,12.480,0.005,0.001
327,1779291178463,2026-05-20 17:32:58.463,0.100,12.492,0.001,0.001
379,1779291178515,2026-05-20 17:32:58.515,0.300,12.520,0.004,0.001
438,1779291178574,2026-05-20 17:32:58.574,0.200,12.492,0.002,0.001
496,1779291178632,2026-05-20 17:32:58.632,0.400,12.484,0.005,0.001
548,1779291178684,2026-05-20 17:32:58.684,-0.100,12.444,-0.001,0.001
608,1779291178744,2026-05-20 17:32:58.744,0.000,12.488,0.000,0.001
660,1779291178796,2026-05-20 17:32:58.796,0.100,12.492,0.001,0.001
712,1779291178848,2026-05-20 17:32:58.848,0.100,12.520,0.001,0.002
764,1779291178900,2026-05-20 17:32:58.900,0.200,12.524,0.003,0.002
816,1779291178952,2026-05-20 17:32:58.952,0.000,12.520,0.000,0.002
876,1779291179012,2026-05-20 17:32:59.012,0.200,12.492,0.002,0.002
928,1779291179064,2026-05-20 17:32:59.064,0.200,12.492,0.002,0.002
980,1779291179116,2026-05-20 17:32:59.116,0.100,12.520,0.001,0.002
1033,1779291179169,2026-05-20 17:32:59.169,0.200,12.492,0.002,0.002
1092,1779291179228,2026-05-20 17:32:59.228,0.400,12.488,0.005,0.002
1144,1779291179280,2026-05-20 17:32:59.280,0.000,12.496,0.000,0.002
1204,1779291179340,2026-05-20 17:32:59.340,-0.100,12.488,-0.001,0.002
1256,1779291179392,2026-05-20 17:32:59.392,0.100,12.492,0.001,0.002
1308,1779291179444,2026-05-20 17:32:59.444,0.000,12.488,0.000,0.002
1360,1779291179496,2026-05-20 17:32:59.496,0.000,12.520,0.000,0.002
1412,1779291179548,2026-05-20 17:32:59.548,0.100,12.524,0.001,0.002
1464,1779291179600,2026-05-20 17:32:59.600,-0.100,12.492,-0.001,0.002
1523,1779291179659,2026-05-20 17:32:59.659,0.200,12.492,0.002,0.003
1581,1779291179717,2026-05-20 17:32:59.717,0.100,12.492,0.001,0.003
1641,1779291179777,2026-05-20 17:32:59.777,0.300,12.492,0.004,0.003
1693,1779291179829,2026-05-20 17:32:59.829,0.000,12.492,0.000,0.003
1745,1779291179881,2026-05-20 17:32:59.881,0.100,12.524,0.001,0.003
1797,1779291179933,2026-05-20 17:32:59.933,0.100,12.524,0.001,0.003
1849,1779291179985,2026-05-20 17:32:59.985,0.300,12.492,0.004,0.003
1903,1779291180039,2026-05-20 17:33:00.039,0.100,12.492,0.001,0.003
1955,1779291180091,2026-05-20 17:33:00.091,0.100,12.524,0.001,0.003
2007,1779291180143,2026-05-20 17:33:00.143,0.100,12.524,0.001,0.003
2062,1779291180198,2026-05-20 17:33:00.198,0.000,12.492,0.000,0.003
2122,1779291180258,2026-05-20 17:33:00.258,-0.100,12.488,-0.001,0.003
2185,1779291180321,2026-05-20 17:33:00.321,1319.400,10.496,13.848,0.876
2245,1779291180381,2026-05-20 17:33:00.381,333.300,12.068,4.022,1.117
2305,1779291180441,2026-05-20 17:33:00.441,200.600,12.208,2.449,1.264
2363,1779291180499,2026-05-20 17:33:00.499,247.700,12.232,3.030,1.440
2423,1779291180559,2026-05-20 17:33:00.559,158.300,12.316,1.950,1.557
2475,1779291180611,2026-05-20 17:33:00.611,138.900,12.344,1.715,1.646
2527,1779291180663,2026-05-20 17:33:00.663,299.700,12.192,3.654,1.836
2579,1779291180715,2026-05-20 17:33:00.715,280.700,12.172,3.417,2.014
2631,1779291180767,2026-05-20 17:33:00.767,239.400,12.248,2.932,2.166
2691,1779291180827,2026-05-20 17:33:00.827,139.200,12.256,1.706,2.268
2744,1779291180880,2026-05-20 17:33:00.880,115.300,12.392,1.429,2.344
2804,1779291180940,2026-05-20 17:33:00.940,44.800,12.408,0.556,2.377
2856,1779291180992,2026-05-20 17:33:00.992,97.600,12.392,1.209,2.440
2908,1779291181044,2026-05-20 17:33:01.044,133.200,12.308,1.639,2.526
2960,1779291181096,2026-05-20 17:33:01.096,235.200,12.208,2.871,2.675
3012,1779291181148,2026-05-20 17:33:01.148,220.200,12.252,2.698,2.815
3064,1779291181200,2026-05-20 17:33:01.200,129.800,12.260,1.591,2.898
3116,1779291181252,2026-05-20 17:33:01.252,75.800,12.356,0.937,2.947
3168,1779291181304,2026-05-20 17:33:01.304,48.300,12.428,0.600,2.978
3220,1779291181356,2026-05-20 17:33:01.356,93.800,12.420,1.165,3.038
3272,1779291181408,2026-05-20 17:33:01.408,160.300,12.372,1.983,3.142
3332,1779291181468,2026-05-20 17:33:01.468,213.800,12.096,2.586,3.297
3390,1779291181526,2026-05-20 17:33:01.526,187.200,12.132,2.271,3.428
3450,1779291181586,2026-05-20 17:33:01.586,138.300,12.196,1.687,3.530
3503,1779291181639,2026-05-20 17:33:01.639,157.000,12.332,1.936,3.632
3563,1779291181699,2026-05-20 17:33:01.699,106.400,12.388,1.318,3.711
3623,1779291181759,2026-05-20 17:33:01.759,89.100,12.352,1.101,3.777
3675,1779291181811,2026-05-20 17:33:01.811,111.600,12.284,1.371,3.849
3727,1779291181863,2026-05-20 17:33:01.863,207.500,12.180,2.527,3.980
3779,1779291181915,2026-05-20 17:33:01.915,362.900,12.156,4.411,4.210
3831,1779291181967,2026-05-20 17:33:01.967,217.500,12.236,2.661,4.348
3883,1779291182019,2026-05-20 17:33:02.019,133.400,12.264,1.636,4.433
3943,1779291182079,2026-05-20 17:33:02.079,60.100,12.360,0.743,4.478
4003,1779291182139,2026-05-20 17:33:02.139,79.900,12.444,0.994,4.537
4055,1779291182191,2026-05-20 17:33:02.191,44.000,12.440,0.547,4.566
4107,1779291182243,2026-05-20 17:33:02.243,165.000,12.316,2.032,4.671
4159,1779291182295,2026-05-20 17:33:02.295,205.800,12.224,2.516,4.802
4216,1779291182352,2026-05-20 17:33:02.352,245.300,12.148,2.980,4.972
4268,1779291182404,2026-05-20 17:33:02.404,167.100,12.340,2.062,5.079
4327,1779291182463,2026-05-20 17:33:02.463,116.000,12.352,1.433,5.164
4385,1779291182521,2026-05-20 17:33:02.521,73.200,12.448,0.911,5.217
4445,1779291182581,2026-05-20 17:33:02.581,140.100,12.356,1.731,5.320
4496,1779291182632,2026-05-20 17:33:02.632,155.700,12.256,1.908,5.418
