time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779291918627,2026-05-20 17:45:18.627,-0.300,12.456,-0.004,-0.000
56,1779291918679,2026-05-20 17:45:18.679,-0.300,12.460,-0.004,-0.000
108,1779291918731,2026-05-20 17:45:18.731,0.000,12.488,0.000,-0.000
168,1779291918791,2026-05-20 17:45:18.791,0.100,12.456,0.001,-0.000
220,1779291918843,2026-05-20 17:45:18.843,0.000,12.456,0.000,-0.000
272,1779291918895,2026-05-20 17:45:18.895,0.300,12.492,0.004,0.000
324,1779291918947,2026-05-20 17:45:18.947,0.200,12.456,0.002,0.000
385,1779291919008,2026-05-20 17:45:19.008,0.100,12.456,0.001,0.000
437,1779291919060,2026-05-20 17:45:19.060,-0.100,12.460,-0.001,0.000
489,1779291919112,2026-05-20 17:45:19.112,0.300,12.484,0.004,0.000
542,1779291919165,2026-05-20 17:45:19.165,0.100,12.456,0.001,0.000
602,1779291919225,2026-05-20 17:45:19.225,0.000,12.448,0.000,0.000
654,1779291919277,2026-05-20 17:45:19.277,0.300,12.456,0.004,0.001
706,1779291919329,2026-05-20 17:45:19.329,0.300,12.488,0.004,0.001
769,1779291919392,2026-05-20 17:45:19.392,0.100,12.456,0.001,0.001
829,1779291919452,2026-05-20 17:45:19.452,0.300,12.456,0.004,0.001
881,1779291919504,2026-05-20 17:45:19.504,0.300,12.456,0.004,0.001
933,1779291919556,2026-05-20 17:45:19.556,0.200,12.488,0.002,0.001
992,1779291919615,2026-05-20 17:45:19.615,0.100,12.456,0.001,0.002
1045,1779291919668,2026-05-20 17:45:19.668,0.400,12.452,0.005,0.002
1106,1779291919729,2026-05-20 17:45:19.729,0.300,12.456,0.004,0.002
1158,1779291919781,2026-05-20 17:45:19.781,0.200,12.456,0.002,0.002
1210,1779291919833,2026-05-20 17:45:19.833,0.300,12.456,0.004,0.002
1262,1779291919885,2026-05-20 17:45:19.885,0.200,12.488,0.002,0.002
1314,1779291919937,2026-05-20 17:45:19.937,0.300,12.488,0.004,0.003
1374,1779291919997,2026-05-20 17:45:19.997,0.000,12.448,0.000,0.003
1426,1779291920049,2026-05-20 17:45:20.049,0.000,12.452,0.000,0.003
1478,1779291920101,2026-05-20 17:45:20.101,-0.200,12.492,-0.002,0.003
1530,1779291920153,2026-05-20 17:45:20.153,0.000,12.488,0.000,0.003
1590,1779291920213,2026-05-20 17:45:20.213,0.000,12.448,0.000,0.003
1641,1779291920264,2026-05-20 17:45:20.264,0.100,12.456,0.001,0.003
1693,1779291920316,2026-05-20 17:45:20.316,0.000,12.452,0.000,0.003
1751,1779291920374,2026-05-20 17:45:20.374,0.000,12.456,0.000,0.003
1812,1779291920435,2026-05-20 17:45:20.435,0.100,12.440,0.001,0.003
1864,1779291920487,2026-05-20 17:45:20.487,0.000,12.456,0.000,0.003
1922,1779291920545,2026-05-20 17:45:20.545,1424.300,10.048,14.311,0.833
1982,1779291920605,2026-05-20 17:45:20.605,447.500,11.648,5.212,1.146
2034,1779291920657,2026-05-20 17:45:20.657,439.900,11.872,5.222,1.417
2086,1779291920709,2026-05-20 17:45:20.709,308.800,12.024,3.713,1.610
2138,1779291920761,2026-05-20 17:45:20.761,268.300,12.088,3.243,1.779
2198,1779291920821,2026-05-20 17:45:20.821,133.400,12.292,1.640,1.877
2249,1779291920872,2026-05-20 17:45:20.872,68.400,12.412,0.849,1.920
2309,1779291920932,2026-05-20 17:45:20.932,87.800,12.272,1.077,1.985
2360,1779291920983,2026-05-20 17:45:20.983,181.200,12.216,2.214,2.098
2412,1779291921035,2026-05-20 17:45:21.035,210.200,12.076,2.538,2.230
2464,1779291921087,2026-05-20 17:45:21.087,277.300,12.008,3.330,2.403
2516,1779291921139,2026-05-20 17:45:21.139,331.900,11.832,3.927,2.607
2568,1779291921191,2026-05-20 17:45:21.191,283.900,12.080,3.430,2.786
2620,1779291921243,2026-05-20 17:45:21.243,150.900,12.128,1.830,2.881
2672,1779291921295,2026-05-20 17:45:21.295,47.400,12.312,0.584,2.911
2724,1779291921347,2026-05-20 17:45:21.347,75.100,12.240,0.919,2.959
2781,1779291921404,2026-05-20 17:45:21.404,157.400,12.160,1.914,3.068
2840,1779291921463,2026-05-20 17:45:21.463,227.100,12.000,2.725,3.229
2899,1779291921522,2026-05-20 17:45:21.522,312.200,11.916,3.720,3.448
2959,1779291921582,2026-05-20 17:45:21.582,320.400,11.828,3.790,3.676
3019,1779291921642,2026-05-20 17:45:21.642,203.100,12.132,2.464,3.824
3070,1779291921693,2026-05-20 17:45:21.693,122.700,12.272,1.506,3.900
3122,1779291921745,2026-05-20 17:45:21.745,93.200,12.420,1.158,3.961
3174,1779291921797,2026-05-20 17:45:21.797,98.500,12.328,1.214,4.024
3226,1779291921849,2026-05-20 17:45:21.849,193.300,12.104,2.340,4.145
3278,1779291921901,2026-05-20 17:45:21.901,249.700,12.116,3.025,4.303
3330,1779291921953,2026-05-20 17:45:21.953,406.100,11.868,4.820,4.553
3382,1779291922005,2026-05-20 17:45:22.005,279.200,12.036,3.360,4.728
3442,1779291922065,2026-05-20 17:45:22.065,203.900,12.104,2.468,4.876
3494,1779291922117,2026-05-20 17:45:22.117,116.300,12.348,1.436,4.951
3546,1779291922169,2026-05-20 17:45:22.169,100.900,12.396,1.251,5.016
3598,1779291922221,2026-05-20 17:45:22.221,113.600,12.216,1.388,5.088
3658,1779291922281,2026-05-20 17:45:22.281,179.100,12.096,2.166,5.218
3717,1779291922340,2026-05-20 17:45:22.340,273.200,12.004,3.279,5.412
3775,1779291922398,2026-05-20 17:45:22.398,309.000,11.996,3.707,5.627
3835,1779291922458,2026-05-20 17:45:22.458,246.700,12.016,2.964,5.804
3887,1779291922510,2026-05-20 17:45:22.510,166.200,12.216,2.030,5.910
3947,1779291922570,2026-05-20 17:45:22.570,30.400,12.336,0.375,5.932
3999,1779291922622,2026-05-20 17:45:22.622,146.500,12.292,1.801,6.026
4051,1779291922674,2026-05-20 17:45:22.674,171.400,12.204,2.092,6.135
4103,1779291922726,2026-05-20 17:45:22.726,293.500,12.060,3.540,6.319
4155,1779291922778,2026-05-20 17:45:22.778,299.800,12.036,3.608,6.507
4207,1779291922830,2026-05-20 17:45:22.830,295.100,12.052,3.557,6.692
4259,1779291922882,2026-05-20 17:45:22.882,217.800,12.092,2.634,6.828
4311,1779291922934,2026-05-20 17:45:22.934,146.200,12.288,1.797,6.922
4363,1779291922986,2026-05-20 17:45:22.986,72.800,12.464,0.907,6.969
4415,1779291923038,2026-05-20 17:45:23.038,103.700,12.288,1.274,7.035
4475,1779291923098,2026-05-20 17:45:23.098,142.300,12.176,1.733,7.139
4527,1779291923150,2026-05-20 17:45:23.150,285.300,12.028,3.432,7.318
4579,1779291923202,2026-05-20 17:45:23.202,300.800,12.028,3.618,7.506
4633,1779291923256,2026-05-20 17:45:23.256,290.100,12.024,3.488,7.694
4693,1779291923316,2026-05-20 17:45:23.316,196.200,12.144,2.383,7.837
4752,1779291923375,2026-05-20 17:45:23.375,74.200,12.300,0.913,7.891
4817,1779291923440,2026-05-20 17:45:23.440,116.900,12.320,1.440,7.985
4877,1779291923500,2026-05-20 17:45:23.500,147.500,12.168,1.795,8.092
4937,1779291923560,2026-05-20 17:45:23.560,339.100,11.984,4.064,8.336
4989,1779291923612,2026-05-20 17:45:23.612,345.800,12.004,4.151,8.552
5041,1779291923664,2026-05-20 17:45:23.664,351.600,11.992,4.216,8.771
5093,1779291923716,2026-05-20 17:45:23.716,266.700,12.092,3.225,8.939
5145,1779291923768,2026-05-20 17:45:23.768,136.600,12.224,1.670,9.026
5197,1779291923820,2026-05-20 17:45:23.820,27.400,12.376,0.339,9.043
5249,1779291923872,2026-05-20 17:45:23.872,141.600,12.220,1.730,9.133
5301,1779291923924,2026-05-20 17:45:23.924,181.300,12.212,2.214,9.249
5353,1779291923976,2026-05-20 17:45:23.976,208.200,12.164,2.533,9.380
5405,1779291924028,2026-05-20 17:45:24.028,294.400,11.940,3.515,9.563
5465,1779291924088,2026-05-20 17:45:24.088,431.500,11.764,5.076,9.868
5525,1779291924148,2026-05-20 17:45:24.148,203.400,12.188,2.479,10.016
5585,1779291924208,2026-05-20 17:45:24.208,28.900,12.332,0.356,10.038
5637,1779291924260,2026-05-20 17:45:24.260,94.300,12.384,1.168,10.098
5689,1779291924312,2026-05-20 17:45:24.312,147.700,12.292,1.816,10.193
5741,1779291924364,2026-05-20 17:45:24.364,260.800,12.096,3.155,10.357
5793,1779291924416,2026-05-20 17:45:24.416,273.700,12.064,3.302,10.529
5845,1779291924468,2026-05-20 17:45:24.468,365.900,11.804,4.319,10.753
5897,1779291924520,2026-05-20 17:45:24.520,307.600,11.936,3.672,10.944
5949,1779291924572,2026-05-20 17:45:24.572,285.000,12.088,3.445,11.123
6001,1779291924624,2026-05-20 17:45:24.624,148.300,12.300,1.824,11.218
6053,1779291924676,2026-05-20 17:45:24.676,61.200,12.432,0.761,11.258
6113,1779291924736,2026-05-20 17:45:24.736,177.400,12.220,2.168,11.388
6172,1779291924795,2026-05-20 17:45:24.795,177.500,12.124,2.152,11.515
6232,1779291924855,2026-05-20 17:45:24.855,313.000,11.964,3.745,11.739
6292,1779291924915,2026-05-20 17:45:24.915,268.000,12.048,3.229,11.933
6352,1779291924975,2026-05-20 17:45:24.975,255.200,12.060,3.078,12.118
6404,1779291925027,2026-05-20 17:45:25.027,233.800,12.012,2.808,12.264
6456,1779291925079,2026-05-20 17:45:25.079,201.500,12.180,2.454,12.391
6508,1779291925131,2026-05-20 17:45:25.131,70.300,12.320,0.866,12.436
6560,1779291925183,2026-05-20 17:45:25.183,69.700,12.468,0.869,12.482
6612,1779291925235,2026-05-20 17:45:25.235,125.000,12.348,1.543,12.562
6664,1779291925287,2026-05-20 17:45:25.287,178.200,12.196,2.173,12.675
6724,1779291925347,2026-05-20 17:45:25.347,208.200,12.164,2.533,12.827
6782,1779291925405,2026-05-20 17:45:25.405,330.200,11.996,3.961,13.057
6847,1779291925470,2026-05-20 17:45:25.470,258.600,12.072,3.122,13.260
6907,1779291925530,2026-05-20 17:45:25.530,79.500,12.264,0.975,13.318
6958,1779291925581,2026-05-20 17:45:25.581,120.000,12.332,1.480,13.394
7010,1779291925633,2026-05-20 17:45:25.633,135.700,12.268,1.665,13.480
7062,1779291925685,2026-05-20 17:45:25.685,157.300,12.128,1.908,13.579
7114,1779291925737,2026-05-20 17:45:25.737,236.700,12.060,2.855,13.728
7166,1779291925789,2026-05-20 17:45:25.789,279.600,12.072,3.375,13.903
7218,1779291925841,2026-05-20 17:45:25.841,333.000,11.924,3.971,14.110
7270,1779291925893,2026-05-20 17:45:25.893,209.500,12.048,2.524,14.241
7322,1779291925945,2026-05-20 17:45:25.945,129.200,12.284,1.587,14.323
7374,1779291925997,2026-05-20 17:45:25.997,101.100,12.400,1.254,14.389
7426,1779291926049,2026-05-20 17:45:26.049,143.500,12.332,1.770,14.481
7478,1779291926101,2026-05-20 17:45:26.101,205.000,12.176,2.496,14.610
7538,1779291926161,2026-05-20 17:45:26.161,271.300,12.068,3.274,14.807
7590,1779291926213,2026-05-20 17:45:26.213,301.500,12.008,3.620,14.995
7642,1779291926265,2026-05-20 17:45:26.265,278.100,12.068,3.356,15.170
7694,1779291926317,2026-05-20 17:45:26.317,225.100,12.156,2.736,15.312
7753,1779291926376,2026-05-20 17:45:26.376,95.400,12.260,1.170,15.381
7811,1779291926434,2026-05-20 17:45:26.434,20.100,12.276,0.247,15.395
7871,1779291926494,2026-05-20 17:45:26.494,120.000,12.180,1.462,15.483
7931,1779291926554,2026-05-20 17:45:26.554,263.800,12.036,3.175,15.674
7991,1779291926614,2026-05-20 17:45:26.614,335.700,11.888,3.991,15.913
8042,1779291926665,2026-05-20 17:45:26.665,246.500,12.076,2.977,16.065
8094,1779291926717,2026-05-20 17:45:26.717,150.000,12.264,1.840,16.160
8146,1779291926769,2026-05-20 17:45:26.769,61.400,12.324,0.757,16.200
8205,1779291926828,2026-05-20 17:45:26.828,89.900,12.312,1.107,16.265
8258,1779291926881,2026-05-20 17:45:26.881,133.900,12.276,1.644,16.352
8318,1779291926941,2026-05-20 17:45:26.941,170.300,12.184,2.075,16.477
