time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
5,1779292458102,2026-05-20 17:54:18.102,0.000,12.460,0.000,0.000
65,1779292458162,2026-05-20 17:54:18.162,0.100,12.460,0.001,0.000
126,1779292458223,2026-05-20 17:54:18.223,0.400,12.460,0.005,0.000
186,1779292458283,2026-05-20 17:54:18.283,-0.200,12.460,-0.002,0.000
238,1779292458335,2026-05-20 17:54:18.335,0.000,12.460,0.000,0.000
290,1779292458387,2026-05-20 17:54:18.387,0.100,12.496,0.001,0.000
342,1779292458439,2026-05-20 17:54:18.439,0.200,12.500,0.003,0.000
394,1779292458491,2026-05-20 17:54:18.491,0.100,12.460,0.001,0.000
454,1779292458551,2026-05-20 17:54:18.551,0.200,12.392,0.002,0.001
506,1779292458603,2026-05-20 17:54:18.603,0.300,12.460,0.004,0.001
558,1779292458655,2026-05-20 17:54:18.655,0.100,12.500,0.001,0.001
610,1779292458707,2026-05-20 17:54:18.707,0.200,12.460,0.002,0.001
662,1779292458759,2026-05-20 17:54:18.759,0.100,12.460,0.001,0.001
714,1779292458811,2026-05-20 17:54:18.811,0.200,12.500,0.003,0.001
766,1779292458863,2026-05-20 17:54:18.863,0.100,12.500,0.001,0.001
825,1779292458922,2026-05-20 17:54:18.922,0.100,12.460,0.001,0.001
884,1779292458981,2026-05-20 17:54:18.981,0.100,12.460,0.001,0.001
936,1779292459033,2026-05-20 17:54:19.033,0.500,12.460,0.006,0.002
988,1779292459085,2026-05-20 17:54:19.085,0.200,12.500,0.003,0.002
1040,1779292459137,2026-05-20 17:54:19.137,0.200,12.460,0.002,0.002
1092,1779292459189,2026-05-20 17:54:19.189,0.000,12.500,0.000,0.002
1144,1779292459241,2026-05-20 17:54:19.241,0.100,12.504,0.001,0.002
1196,1779292459293,2026-05-20 17:54:19.293,0.100,12.500,0.001,0.002
1256,1779292459353,2026-05-20 17:54:19.353,0.300,12.460,0.004,0.002
1308,1779292459405,2026-05-20 17:54:19.405,0.200,12.456,0.002,0.003
1360,1779292459457,2026-05-20 17:54:19.457,0.200,12.496,0.002,0.003
1412,1779292459509,2026-05-20 17:54:19.509,0.000,12.500,0.000,0.003
1464,1779292459561,2026-05-20 17:54:19.561,0.000,12.460,0.000,0.003
1516,1779292459613,2026-05-20 17:54:19.613,-0.200,12.500,-0.003,0.003
1568,1779292459665,2026-05-20 17:54:19.665,0.100,12.500,0.001,0.003
1620,1779292459717,2026-05-20 17:54:19.717,0.100,12.460,0.001,0.003
1685,1779292459782,2026-05-20 17:54:19.782,0.100,12.448,0.001,0.003
1737,1779292459834,2026-05-20 17:54:19.834,0.300,12.460,0.004,0.003
1789,1779292459886,2026-05-20 17:54:19.886,0.300,12.496,0.004,0.003
1847,1779292459944,2026-05-20 17:54:19.944,0.100,12.460,0.001,0.003
1899,1779292459996,2026-05-20 17:54:19.996,0.300,12.456,0.004,0.003
1951,1779292460048,2026-05-20 17:54:20.048,0.000,12.500,0.000,0.003
2003,1779292460100,2026-05-20 17:54:20.100,-0.100,12.500,-0.001,0.003
2063,1779292460160,2026-05-20 17:54:20.160,0.100,12.456,0.001,0.003
2115,1779292460212,2026-05-20 17:54:20.212,0.200,12.456,0.002,0.004
2167,1779292460264,2026-05-20 17:54:20.264,0.100,12.496,0.001,0.004
2219,1779292460316,2026-05-20 17:54:20.316,0.200,12.500,0.003,0.004
2271,1779292460368,2026-05-20 17:54:20.368,0.000,12.500,0.000,0.004
2323,1779292460420,2026-05-20 17:54:20.420,-0.100,12.500,-0.001,0.004
2375,1779292460472,2026-05-20 17:54:20.472,0.100,12.500,0.001,0.004
2427,1779292460524,2026-05-20 17:54:20.524,0.100,12.504,0.001,0.004
2485,1779292460582,2026-05-20 17:54:20.582,1379.400,10.780,14.870,0.866
2545,1779292460642,2026-05-20 17:54:20.642,282.600,12.104,3.421,1.071
2597,1779292460694,2026-05-20 17:54:20.694,216.400,12.192,2.638,1.209
2656,1779292460753,2026-05-20 17:54:20.753,124.600,12.356,1.540,1.299
2715,1779292460812,2026-05-20 17:54:20.812,308.900,12.192,3.766,1.522
2767,1779292460864,2026-05-20 17:54:20.864,224.000,12.160,2.724,1.663
2819,1779292460916,2026-05-20 17:54:20.916,232.200,12.240,2.842,1.811
2871,1779292460968,2026-05-20 17:54:20.968,165.400,12.296,2.034,1.917
2923,1779292461020,2026-05-20 17:54:21.020,108.900,12.336,1.343,1.987
2975,1779292461072,2026-05-20 17:54:21.072,104.500,12.364,1.292,2.054
3027,1779292461124,2026-05-20 17:54:21.124,13.600,12.396,0.169,2.063
3087,1779292461184,2026-05-20 17:54:21.184,130.800,12.288,1.607,2.159
3139,1779292461236,2026-05-20 17:54:21.236,267.000,12.136,3.240,2.328
3191,1779292461288,2026-05-20 17:54:21.288,342.300,12.144,4.157,2.544
3243,1779292461340,2026-05-20 17:54:21.340,275.600,12.228,3.370,2.719
3295,1779292461392,2026-05-20 17:54:21.392,155.000,12.312,1.908,2.818
3347,1779292461444,2026-05-20 17:54:21.444,141.100,12.376,1.746,2.909
3399,1779292461496,2026-05-20 17:54:21.496,96.600,12.388,1.197,2.971
3451,1779292461548,2026-05-20 17:54:21.548,21.600,12.400,0.268,2.985
3511,1779292461608,2026-05-20 17:54:21.608,105.200,12.352,1.299,3.063
3563,1779292461660,2026-05-20 17:54:21.660,335.300,12.064,4.045,3.274
3615,1779292461712,2026-05-20 17:54:21.712,308.800,12.008,3.708,3.466
3667,1779292461764,2026-05-20 17:54:21.764,193.900,12.260,2.377,3.590
