time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779352492989,2026-05-21 10:34:52.989,0.000,12.404,0.000,0.000
56,1779352493041,2026-05-21 10:34:53.041,0.000,12.408,0.000,0.000
108,1779352493093,2026-05-21 10:34:53.093,0.100,12.448,0.001,0.000
160,1779352493145,2026-05-21 10:34:53.145,0.100,12.448,0.001,0.000
212,1779352493197,2026-05-21 10:34:53.197,0.100,12.408,0.001,0.000
271,1779352493256,2026-05-21 10:34:53.256,0.300,12.408,0.004,0.000
324,1779352493309,2026-05-21 10:34:53.309,0.000,12.412,0.000,0.000
376,1779352493361,2026-05-21 10:34:53.361,0.000,12.448,0.000,0.000
434,1779352493419,2026-05-21 10:34:53.419,0.100,12.404,0.001,0.000
493,1779352493478,2026-05-21 10:34:53.478,0.500,12.412,0.006,0.001
545,1779352493530,2026-05-21 10:34:53.530,0.200,12.408,0.002,0.001
605,1779352493590,2026-05-21 10:34:53.590,-0.200,12.412,-0.002,0.001
657,1779352493642,2026-05-21 10:34:53.642,0.300,12.412,0.004,0.001
709,1779352493694,2026-05-21 10:34:53.694,0.000,12.444,0.000,0.001
761,1779352493746,2026-05-21 10:34:53.746,0.100,12.444,0.001,0.001
813,1779352493798,2026-05-21 10:34:53.798,0.000,12.412,0.000,0.001
865,1779352493850,2026-05-21 10:34:53.850,0.000,12.412,0.000,0.001
917,1779352493902,2026-05-21 10:34:53.902,-0.100,12.448,-0.001,0.001
969,1779352493954,2026-05-21 10:34:53.954,0.100,12.448,0.001,0.001
1029,1779352494014,2026-05-21 10:34:54.014,-0.100,12.408,-0.001,0.001
1088,1779352494073,2026-05-21 10:34:54.073,0.200,12.408,0.002,0.001
1141,1779352494126,2026-05-21 10:34:54.126,0.200,12.412,0.002,0.001
1200,1779352494185,2026-05-21 10:34:54.185,-0.100,12.400,-0.001,0.001
1252,1779352494237,2026-05-21 10:34:54.237,0.000,12.408,0.000,0.001
1304,1779352494289,2026-05-21 10:34:54.289,0.300,12.412,0.004,0.001
