time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779351800753,2026-05-21 10:23:20.753,0.000,12.404,0.000,0.000
56,1779351800805,2026-05-21 10:23:20.805,0.000,12.408,0.000,0.000
108,1779351800857,2026-05-21 10:23:20.857,-0.100,12.464,-0.001,-0.000
160,1779351800909,2026-05-21 10:23:20.909,0.100,12.412,0.001,-0.000
212,1779351800961,2026-05-21 10:23:20.961,-0.100,12.464,-0.001,-0.000
264,1779351801013,2026-05-21 10:23:21.013,-0.100,12.468,-0.001,-0.000
316,1779351801065,2026-05-21 10:23:21.065,0.000,12.464,0.000,-0.000
368,1779351801117,2026-05-21 10:23:21.117,0.000,12.464,0.000,-0.000
420,1779351801169,2026-05-21 10:23:21.169,0.200,12.464,0.002,-0.000
472,1779351801221,2026-05-21 10:23:21.221,0.100,12.468,0.001,0.000
524,1779351801273,2026-05-21 10:23:21.273,0.000,12.468,0.000,0.000
576,1779351801325,2026-05-21 10:23:21.325,-0.100,12.400,-0.001,0.000
630,1779351801379,2026-05-21 10:23:21.379,0.300,12.408,0.004,0.000
682,1779351801431,2026-05-21 10:23:21.431,0.300,12.464,0.004,0.000
734,1779351801483,2026-05-21 10:23:21.483,0.300,12.468,0.004,0.001
794,1779351801543,2026-05-21 10:23:21.543,-0.200,12.404,-0.002,0.000
846,1779351801595,2026-05-21 10:23:21.595,0.200,12.404,0.002,0.001
898,1779351801647,2026-05-21 10:23:21.647,0.000,12.464,0.000,0.001
950,1779351801699,2026-05-21 10:23:21.699,0.000,12.464,0.000,0.001
1002,1779351801751,2026-05-21 10:23:21.751,0.000,12.404,0.000,0.001
1054,1779351801803,2026-05-21 10:23:21.803,0.000,12.464,0.000,0.001
1106,1779351801855,2026-05-21 10:23:21.855,0.000,12.464,0.000,0.001
1158,1779351801907,2026-05-21 10:23:21.907,0.200,12.464,0.002,0.001
1216,1779351801965,2026-05-21 10:23:21.965,-0.100,12.408,-0.001,0.001
1273,1779351802022,2026-05-21 10:23:22.022,0.000,12.464,0.000,0.001
1325,1779351802074,2026-05-21 10:23:22.074,-0.200,12.464,-0.002,0.000
1377,1779351802126,2026-05-21 10:23:22.126,0.200,12.468,0.002,0.001
1429,1779351802178,2026-05-21 10:23:22.178,0.500,12.408,0.006,0.001
1489,1779351802238,2026-05-21 10:23:22.238,0.200,12.404,0.002,0.001
1546,1779351802295,2026-05-21 10:23:22.295,0.100,12.408,0.001,0.001
1598,1779351802347,2026-05-21 10:23:22.347,0.200,12.396,0.002,0.001
1651,1779351802400,2026-05-21 10:23:22.400,0.400,12.408,0.005,0.002
1703,1779351802452,2026-05-21 10:23:22.452,0.100,12.464,0.001,0.002
1755,1779351802504,2026-05-21 10:23:22.504,-0.100,12.468,-0.001,0.002
1807,1779351802556,2026-05-21 10:23:22.556,-0.100,12.464,-0.001,0.001
1859,1779351802608,2026-05-21 10:23:22.608,-0.200,12.468,-0.002,0.001
1911,1779351802660,2026-05-21 10:23:22.660,0.300,12.464,0.004,0.002
1963,1779351802712,2026-05-21 10:23:22.712,0.100,12.468,0.001,0.002
2015,1779351802764,2026-05-21 10:23:22.764,0.100,12.464,0.001,0.002
2067,1779351802816,2026-05-21 10:23:22.816,0.300,12.464,0.004,0.002
2119,1779351802868,2026-05-21 10:23:22.868,-0.100,12.464,-0.001,0.002
2171,1779351802920,2026-05-21 10:23:22.920,-0.100,12.464,-0.001,0.002
2223,1779351802972,2026-05-21 10:23:22.972,0.200,12.464,0.002,0.002
2275,1779351803024,2026-05-21 10:23:23.024,0.100,12.468,0.001,0.002
2327,1779351803076,2026-05-21 10:23:23.076,0.000,12.464,0.000,0.002
2379,1779351803128,2026-05-21 10:23:23.128,0.000,12.464,0.000,0.002
2437,1779351803186,2026-05-21 10:23:23.186,1348.600,10.340,13.945,0.811
2497,1779351803246,2026-05-21 10:23:23.246,344.300,11.844,4.078,1.055
2555,1779351803304,2026-05-21 10:23:23.304,319.500,11.912,3.806,1.276
2607,1779351803356,2026-05-21 10:23:23.356,303.000,12.000,3.636,1.465
2659,1779351803408,2026-05-21 10:23:23.408,269.200,12.104,3.258,1.635
2711,1779351803460,2026-05-21 10:23:23.460,195.200,12.216,2.385,1.759
2763,1779351803512,2026-05-21 10:23:23.512,135.600,12.312,1.670,1.845
2815,1779351803564,2026-05-21 10:23:23.564,145.800,12.320,1.796,1.939
2867,1779351803616,2026-05-21 10:23:23.616,28.300,12.324,0.349,1.957
2919,1779351803668,2026-05-21 10:23:23.668,111.500,12.324,1.374,2.028
2971,1779351803720,2026-05-21 10:23:23.720,366.500,11.852,4.344,2.254
3023,1779351803772,2026-05-21 10:23:23.772,277.900,12.000,3.335,2.428
3075,1779351803824,2026-05-21 10:23:23.824,261.300,12.104,3.163,2.592
3127,1779351803876,2026-05-21 10:23:23.876,172.800,12.096,2.090,2.701
3179,1779351803928,2026-05-21 10:23:23.928,137.100,12.284,1.684,2.788
3231,1779351803980,2026-05-21 10:23:23.980,95.900,12.272,1.177,2.850
3288,1779351804037,2026-05-21 10:23:24.037,110.000,12.360,1.360,2.927
3340,1779351804089,2026-05-21 10:23:24.089,100.400,12.312,1.236,2.991
3392,1779351804141,2026-05-21 10:23:24.141,275.600,12.000,3.307,3.163
3445,1779351804194,2026-05-21 10:23:24.194,419.600,11.672,4.898,3.423
3505,1779351804254,2026-05-21 10:23:24.254,182.800,11.972,2.188,3.554
3563,1779351804312,2026-05-21 10:23:24.312,147.900,12.112,1.791,3.658
3615,1779351804364,2026-05-21 10:23:24.364,87.100,12.160,1.059,3.713
3667,1779351804416,2026-05-21 10:23:24.416,99.200,12.272,1.217,3.777
3719,1779351804468,2026-05-21 10:23:24.468,61.900,12.412,0.768,3.817
3771,1779351804520,2026-05-21 10:23:24.520,119.300,12.312,1.469,3.893
3823,1779351804572,2026-05-21 10:23:24.572,338.400,11.928,4.036,4.103
3875,1779351804624,2026-05-21 10:23:24.624,349.300,12.040,4.206,4.322
3927,1779351804676,2026-05-21 10:23:24.676,257.100,12.092,3.109,4.483
3979,1779351804728,2026-05-21 10:23:24.728,172.100,12.160,2.093,4.592
4031,1779351804780,2026-05-21 10:23:24.780,170.100,12.240,2.082,4.700
4083,1779351804832,2026-05-21 10:23:24.832,94.400,12.228,1.154,4.760
4135,1779351804884,2026-05-21 10:23:24.884,40.000,12.308,0.492,4.786
4187,1779351804936,2026-05-21 10:23:24.936,115.700,12.168,1.408,4.859
4239,1779351804988,2026-05-21 10:23:24.988,289.200,11.928,3.450,5.038
4291,1779351805040,2026-05-21 10:23:25.040,255.300,12.052,3.077,5.198
4343,1779351805092,2026-05-21 10:23:25.092,219.000,12.128,2.656,5.337
4395,1779351805144,2026-05-21 10:23:25.144,176.900,12.224,2.162,5.449
4447,1779351805196,2026-05-21 10:23:25.196,116.300,12.304,1.431,5.523
4506,1779351805255,2026-05-21 10:23:25.255,106.000,12.236,1.297,5.600
4565,1779351805314,2026-05-21 10:23:25.314,107.000,12.244,1.310,5.677
4617,1779351805366,2026-05-21 10:23:25.366,208.400,11.948,2.490,5.807
4669,1779351805418,2026-05-21 10:23:25.418,327.200,11.916,3.899,6.009
4721,1779351805470,2026-05-21 10:23:25.470,219.800,11.980,2.633,6.146
4773,1779351805522,2026-05-21 10:23:25.522,225.500,12.132,2.736,6.289
4825,1779351805574,2026-05-21 10:23:25.574,141.400,12.216,1.727,6.378
4877,1779351805626,2026-05-21 10:23:25.626,122.200,12.300,1.503,6.457
4929,1779351805678,2026-05-21 10:23:25.678,97.600,12.348,1.205,6.519
4981,1779351805730,2026-05-21 10:23:25.730,55.300,12.348,0.683,6.555
5033,1779351805782,2026-05-21 10:23:25.782,254.900,11.812,3.011,6.711
5085,1779351805834,2026-05-21 10:23:25.834,361.300,11.948,4.317,6.936
5137,1779351805886,2026-05-21 10:23:25.886,233.200,12.108,2.824,7.083
5189,1779351805938,2026-05-21 10:23:25.938,190.800,12.096,2.308,7.203
5241,1779351805990,2026-05-21 10:23:25.990,198.700,12.152,2.415,7.328
5298,1779351806047,2026-05-21 10:23:26.047,121.100,12.316,1.491,7.413
5350,1779351806099,2026-05-21 10:23:26.099,99.200,12.356,1.226,7.477
5402,1779351806151,2026-05-21 10:23:26.151,108.200,12.360,1.337,7.547
5454,1779351806203,2026-05-21 10:23:26.203,271.800,11.780,3.202,7.713
5513,1779351806262,2026-05-21 10:23:26.262,233.700,11.920,2.786,7.877
5571,1779351806320,2026-05-21 10:23:26.320,258.100,12.024,3.103,8.057
5623,1779351806372,2026-05-21 10:23:26.372,204.100,12.108,2.471,8.186
