time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779023465173,2026-05-17 15:11:05.173,0.400,11.764,0.005,0.000
57,1779023465226,2026-05-17 15:11:05.226,0.000,11.748,0.000,0.000
116,1779023465285,2026-05-17 15:11:05.285,0.300,11.668,0.004,0.000
175,1779023465344,2026-05-17 15:11:05.344,0.000,11.620,0.000,0.000
234,1779023465403,2026-05-17 15:11:05.403,-0.200,11.784,-0.002,0.000
293,1779023465462,2026-05-17 15:11:05.462,0.000,11.596,0.000,0.000
352,1779023465521,2026-05-17 15:11:05.521,0.000,11.652,0.000,0.000
411,1779023465580,2026-05-17 15:11:05.580,0.000,11.668,0.000,0.000
470,1779023465639,2026-05-17 15:11:05.639,0.300,11.752,0.004,0.000
529,1779023465698,2026-05-17 15:11:05.698,0.100,11.692,0.001,0.000
590,1779023465759,2026-05-17 15:11:05.759,0.100,11.764,0.001,0.000
647,1779023465816,2026-05-17 15:11:05.816,0.300,11.596,0.003,0.001
706,1779023465875,2026-05-17 15:11:05.875,0.300,11.712,0.004,0.001
770,1779023465939,2026-05-17 15:11:05.939,0.100,11.636,0.001,0.001
829,1779023465998,2026-05-17 15:11:05.998,0.100,11.640,0.001,0.001
888,1779023466057,2026-05-17 15:11:06.057,0.100,11.680,0.001,0.001
947,1779023466116,2026-05-17 15:11:06.116,0.400,11.720,0.005,0.001
1006,1779023466175,2026-05-17 15:11:06.175,0.300,11.736,0.004,0.002
1065,1779023466234,2026-05-17 15:11:06.234,0.000,11.676,0.000,0.002
1124,1779023466293,2026-05-17 15:11:06.293,0.400,11.612,0.005,0.002
1183,1779023466352,2026-05-17 15:11:06.352,-0.200,11.672,-0.002,0.002
1242,1779023466411,2026-05-17 15:11:06.411,-0.100,11.584,-0.001,0.002
1301,1779023466470,2026-05-17 15:11:06.470,0.100,11.632,0.001,0.002
1353,1779023466522,2026-05-17 15:11:06.522,0.200,11.792,0.002,0.002
1412,1779023466581,2026-05-17 15:11:06.581,0.300,11.568,0.003,0.002
1464,1779023466633,2026-05-17 15:11:06.633,0.400,11.792,0.005,0.002
1516,1779023466685,2026-05-17 15:11:06.685,-0.100,11.876,-0.001,0.002
1568,1779023466737,2026-05-17 15:11:06.737,-0.100,11.872,-0.001,0.002
1620,1779023466789,2026-05-17 15:11:06.789,-0.300,11.880,-0.004,0.002
1672,1779023466841,2026-05-17 15:11:06.841,0.000,11.848,0.000,0.002
1724,1779023466893,2026-05-17 15:11:06.893,0.000,11.872,0.000,0.002
1776,1779023466945,2026-05-17 15:11:06.945,0.100,11.776,0.001,0.002
1828,1779023466997,2026-05-17 15:11:06.997,0.100,11.876,0.001,0.002
1880,1779023467049,2026-05-17 15:11:07.049,-0.300,11.876,-0.004,0.002
1933,1779023467102,2026-05-17 15:11:07.102,0.100,11.876,0.001,0.002
1984,1779023467153,2026-05-17 15:11:07.153,0.000,11.848,0.000,0.002
2036,1779023467205,2026-05-17 15:11:07.205,0.000,11.848,0.000,0.002
2088,1779023467257,2026-05-17 15:11:07.257,-0.100,11.876,-0.001,0.002
2140,1779023467309,2026-05-17 15:11:07.309,-0.100,11.876,-0.001,0.002
2192,1779023467361,2026-05-17 15:11:07.361,0.100,11.800,0.001,0.002
2249,1779023467418,2026-05-17 15:11:07.418,0.200,11.760,0.002,0.002
2308,1779023467477,2026-05-17 15:11:07.477,0.100,11.768,0.001,0.002
2360,1779023467529,2026-05-17 15:11:07.529,0.000,11.768,0.000,0.002
