time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779022791326,2026-05-17 14:59:51.326,0.000,12.020,0.000,0.000
61,1779022791383,2026-05-17 14:59:51.383,0.200,12.024,0.002,0.000
121,1779022791443,2026-05-17 14:59:51.443,-0.200,12.016,-0.002,-0.000
173,1779022791495,2026-05-17 14:59:51.495,0.000,12.024,0.000,-0.000
225,1779022791547,2026-05-17 14:59:51.547,-0.200,12.064,-0.002,-0.000
282,1779022791604,2026-05-17 14:59:51.604,-0.100,12.068,-0.001,-0.000
341,1779022791663,2026-05-17 14:59:51.663,0.100,12.024,0.001,-0.000
393,1779022791715,2026-05-17 14:59:51.715,0.000,12.024,0.000,-0.000
452,1779022791774,2026-05-17 14:59:51.774,0.100,12.020,0.001,-0.000
505,1779022791827,2026-05-17 14:59:51.827,0.200,12.024,0.002,0.000
557,1779022791879,2026-05-17 14:59:51.879,0.300,12.024,0.004,0.000
609,1779022791931,2026-05-17 14:59:51.931,0.300,12.020,0.004,0.000
661,1779022791983,2026-05-17 14:59:51.983,0.100,12.060,0.001,0.001
713,1779022792035,2026-05-17 14:59:52.035,0.100,12.064,0.001,0.001
765,1779022792087,2026-05-17 14:59:52.087,0.000,12.020,0.000,0.001
817,1779022792139,2026-05-17 14:59:52.139,0.500,12.064,0.006,0.001
869,1779022792191,2026-05-17 14:59:52.191,0.000,12.060,0.000,0.001
921,1779022792243,2026-05-17 14:59:52.243,0.000,12.064,0.000,0.001
981,1779022792303,2026-05-17 14:59:52.303,0.100,12.024,0.001,0.001
1041,1779022792363,2026-05-17 14:59:52.363,0.000,12.024,0.000,0.001
1098,1779022792420,2026-05-17 14:59:52.420,0.400,12.020,0.005,0.001
1157,1779022792479,2026-05-17 14:59:52.479,0.300,12.024,0.004,0.001
1209,1779022792531,2026-05-17 14:59:52.531,0.100,12.024,0.001,0.002
1262,1779022792584,2026-05-17 14:59:52.584,0.000,12.064,0.000,0.002
1313,1779022792635,2026-05-17 14:59:52.635,0.100,12.068,0.001,0.002
1365,1779022792687,2026-05-17 14:59:52.687,0.100,12.024,0.001,0.002
1417,1779022792739,2026-05-17 14:59:52.739,0.100,12.060,0.001,0.002
1469,1779022792791,2026-05-17 14:59:52.791,-0.100,12.068,-0.001,0.002
1521,1779022792843,2026-05-17 14:59:52.843,0.000,12.072,0.000,0.002
1581,1779022792903,2026-05-17 14:59:52.903,0.100,12.012,0.001,0.002
1633,1779022792955,2026-05-17 14:59:52.955,-0.100,12.028,-0.001,0.002
1685,1779022793007,2026-05-17 14:59:53.007,0.100,12.064,0.001,0.002
1737,1779022793059,2026-05-17 14:59:53.059,0.100,12.068,0.001,0.002
1796,1779022793118,2026-05-17 14:59:53.118,0.000,12.020,0.000,0.002
1856,1779022793178,2026-05-17 14:59:53.178,0.000,12.024,0.000,0.002
1916,1779022793238,2026-05-17 14:59:53.238,0.100,12.024,0.001,0.002
1967,1779022793289,2026-05-17 14:59:53.289,0.100,12.028,0.001,0.002
2019,1779022793341,2026-05-17 14:59:53.341,-0.100,12.064,-0.001,0.002
2071,1779022793393,2026-05-17 14:59:53.393,0.300,12.068,0.004,0.002
2123,1779022793445,2026-05-17 14:59:53.445,0.300,12.068,0.004,0.002
2175,1779022793497,2026-05-17 14:59:53.497,0.100,12.024,0.001,0.002
2227,1779022793549,2026-05-17 14:59:53.549,-0.100,12.064,-0.001,0.002
2284,1779022793606,2026-05-17 14:59:53.606,-0.100,12.068,-0.001,0.002
2336,1779022793658,2026-05-17 14:59:53.658,0.400,12.068,0.005,0.002
2394,1779022793716,2026-05-17 14:59:53.716,0.100,12.024,0.001,0.002
2454,1779022793776,2026-05-17 14:59:53.776,0.100,12.020,0.001,0.003
2513,1779022793835,2026-05-17 14:59:53.835,0.000,12.020,0.000,0.003
2573,1779022793895,2026-05-17 14:59:53.895,0.000,12.020,0.000,0.003
2625,1779022793947,2026-05-17 14:59:53.947,0.100,12.020,0.001,0.003
2685,1779022794007,2026-05-17 14:59:54.007,0.200,12.020,0.002,0.003
2736,1779022794058,2026-05-17 14:59:54.058,0.100,12.024,0.001,0.003
2788,1779022794110,2026-05-17 14:59:54.110,-0.100,12.064,-0.001,0.003
2840,1779022794162,2026-05-17 14:59:54.162,0.200,12.068,0.002,0.003
2892,1779022794214,2026-05-17 14:59:54.214,-0.100,12.068,-0.001,0.003
2944,1779022794266,2026-05-17 14:59:54.266,-0.100,12.068,-0.001,0.003
2996,1779022794318,2026-05-17 14:59:54.318,0.100,12.024,0.001,0.003
3056,1779022794378,2026-05-17 14:59:54.378,0.500,12.016,0.006,0.003
3113,1779022794435,2026-05-17 14:59:54.435,0.200,12.012,0.002,0.003
3172,1779022794494,2026-05-17 14:59:54.494,0.100,12.020,0.001,0.003
3225,1779022794547,2026-05-17 14:59:54.547,0.100,12.020,0.001,0.003
3284,1779022794606,2026-05-17 14:59:54.606,-0.100,12.024,-0.001,0.003
3336,1779022794658,2026-05-17 14:59:54.658,0.100,12.024,0.001,0.003
3388,1779022794710,2026-05-17 14:59:54.710,-0.100,12.068,-0.001,0.003
3440,1779022794762,2026-05-17 14:59:54.762,0.300,12.068,0.004,0.004
3492,1779022794814,2026-05-17 14:59:54.814,0.300,12.068,0.004,0.004
3544,1779022794866,2026-05-17 14:59:54.866,0.000,12.068,0.000,0.004
3596,1779022794918,2026-05-17 14:59:54.918,0.300,12.024,0.004,0.004
3648,1779022794970,2026-05-17 14:59:54.970,0.200,12.028,0.002,0.004
3700,1779022795022,2026-05-17 14:59:55.022,0.300,12.068,0.004,0.004
3752,1779022795074,2026-05-17 14:59:55.074,0.200,12.068,0.002,0.004
3811,1779022795133,2026-05-17 14:59:55.133,1266.300,10.052,12.729,0.755
3870,1779022795192,2026-05-17 14:59:55.192,268.900,11.632,3.128,0.940
3930,1779022795252,2026-05-17 14:59:55.252,166.400,11.748,1.955,1.057
3990,1779022795312,2026-05-17 14:59:55.312,345.300,11.600,4.005,1.298
4049,1779022795371,2026-05-17 14:59:55.371,266.300,11.608,3.091,1.480
4106,1779022795428,2026-05-17 14:59:55.428,234.700,11.652,2.735,1.636
4158,1779022795480,2026-05-17 14:59:55.480,169.100,11.696,1.978,1.739
4210,1779022795532,2026-05-17 14:59:55.532,127.800,11.776,1.505,1.817
4262,1779022795584,2026-05-17 14:59:55.584,133.800,11.916,1.594,1.900
4319,1779022795641,2026-05-17 14:59:55.641,52.700,11.900,0.627,1.936
4371,1779022795693,2026-05-17 14:59:55.693,97.100,11.976,1.163,1.996
4423,1779022795745,2026-05-17 14:59:55.745,189.700,11.600,2.201,2.110
4475,1779022795797,2026-05-17 14:59:55.797,354.100,11.360,4.023,2.320
4527,1779022795849,2026-05-17 14:59:55.849,285.700,11.620,3.320,2.492
4579,1779022795901,2026-05-17 14:59:55.901,189.600,11.628,2.205,2.607
4639,1779022795961,2026-05-17 14:59:55.961,208.900,11.664,2.437,2.753
4691,1779022796013,2026-05-17 14:59:56.013,136.300,11.744,1.601,2.836
4743,1779022796065,2026-05-17 14:59:56.065,64.900,11.832,0.768,2.876
4795,1779022796117,2026-05-17 14:59:56.117,40.300,11.896,0.479,2.901
4855,1779022796177,2026-05-17 14:59:56.177,317.500,11.616,3.688,3.122
4914,1779022796236,2026-05-17 14:59:56.236,297.700,11.564,3.443,3.326
4975,1779022796297,2026-05-17 14:59:56.297,255.400,11.472,2.930,3.504
5026,1779022796348,2026-05-17 14:59:56.348,185.300,11.624,2.154,3.614
5084,1779022796406,2026-05-17 14:59:56.406,152.600,11.660,1.779,3.717
5144,1779022796466,2026-05-17 14:59:56.466,109.900,11.868,1.304,3.796
5195,1779022796517,2026-05-17 14:59:56.517,69.400,11.928,0.828,3.838
5255,1779022796577,2026-05-17 14:59:56.577,51.300,11.824,0.607,3.874
5306,1779022796628,2026-05-17 14:59:56.628,216.000,11.500,2.484,4.001
5358,1779022796680,2026-05-17 14:59:56.680,424.900,11.376,4.834,4.252
5410,1779022796732,2026-05-17 14:59:56.732,202.800,11.600,2.352,4.375
5462,1779022796784,2026-05-17 14:59:56.784,239.100,11.720,2.802,4.520
5514,1779022796836,2026-05-17 14:59:56.836,157.800,11.856,1.871,4.618
5566,1779022796888,2026-05-17 14:59:56.888,80.600,11.884,0.958,4.667
5618,1779022796940,2026-05-17 14:59:56.940,108.500,11.916,1.293,4.735
5670,1779022796992,2026-05-17 14:59:56.992,125.900,11.832,1.490,4.812
5722,1779022797044,2026-05-17 14:59:57.044,255.300,11.684,2.983,4.967
5774,1779022797096,2026-05-17 14:59:57.096,368.900,11.620,4.287,5.190
5826,1779022797148,2026-05-17 14:59:57.148,250.600,11.524,2.888,5.340
5886,1779022797208,2026-05-17 14:59:57.208,231.100,11.728,2.710,5.503
5938,1779022797260,2026-05-17 14:59:57.260,162.600,11.792,1.917,5.603
5990,1779022797312,2026-05-17 14:59:57.312,148.100,11.880,1.759,5.694
6042,1779022797364,2026-05-17 14:59:57.364,53.200,11.988,0.638,5.727
6100,1779022797422,2026-05-17 14:59:57.422,39.700,11.860,0.471,5.755
6160,1779022797482,2026-05-17 14:59:57.482,273.000,11.524,3.146,5.943
6220,1779022797542,2026-05-17 14:59:57.542,311.000,11.484,3.572,6.158
6280,1779022797602,2026-05-17 14:59:57.602,223.600,11.652,2.605,6.314
6345,1779022797667,2026-05-17 14:59:57.667,203.700,11.668,2.377,6.468
6397,1779022797719,2026-05-17 14:59:57.719,173.600,11.712,2.033,6.574
6449,1779022797771,2026-05-17 14:59:57.771,73.400,11.788,0.865,6.619
6509,1779022797831,2026-05-17 14:59:57.831,57.300,11.772,0.675,6.660
6561,1779022797883,2026-05-17 14:59:57.883,155.000,11.752,1.822,6.754
6613,1779022797935,2026-05-17 14:59:57.935,401.000,11.468,4.599,6.993
6665,1779022797987,2026-05-17 14:59:57.987,280.900,11.580,3.253,7.163
6726,1779022798048,2026-05-17 14:59:58.048,193.300,11.668,2.255,7.300
6777,1779022798099,2026-05-17 14:59:58.099,211.300,11.704,2.473,7.426
6829,1779022798151,2026-05-17 14:59:58.151,108.400,11.784,1.277,7.493
6881,1779022798203,2026-05-17 14:59:58.203,66.600,11.856,0.790,7.534
6942,1779022798264,2026-05-17 14:59:58.264,25.100,11.916,0.299,7.552
6994,1779022798316,2026-05-17 14:59:58.316,145.500,11.628,1.692,7.640
7046,1779022798368,2026-05-17 14:59:58.368,354.100,11.420,4.044,7.850
7104,1779022798426,2026-05-17 14:59:58.426,292.600,11.504,3.366,8.046
7163,1779022798485,2026-05-17 14:59:58.485,192.200,11.740,2.256,8.179
7215,1779022798537,2026-05-17 14:59:58.537,183.100,11.740,2.150,8.290
7274,1779022798596,2026-05-17 14:59:58.596,92.200,11.864,1.094,8.355
7326,1779022798648,2026-05-17 14:59:58.648,71.900,11.848,0.852,8.399
7378,1779022798700,2026-05-17 14:59:58.700,90.600,11.956,1.083,8.456
7430,1779022798752,2026-05-17 14:59:58.752,225.100,11.596,2.610,8.591
7482,1779022798804,2026-05-17 14:59:58.804,300.000,11.500,3.450,8.771
7542,1779022798864,2026-05-17 14:59:58.864,361.200,11.568,4.178,9.021
7593,1779022798915,2026-05-17 14:59:58.915,250.700,11.628,2.915,9.170
7654,1779022798976,2026-05-17 14:59:58.976,151.900,11.696,1.777,9.279
7705,1779022799027,2026-05-17 14:59:59.027,177.300,11.784,2.089,9.385
7757,1779022799079,2026-05-17 14:59:59.079,81.100,11.824,0.959,9.435
7809,1779022799131,2026-05-17 14:59:59.131,49.500,11.840,0.586,9.465
7861,1779022799183,2026-05-17 14:59:59.183,184.600,11.592,2.140,9.577
7921,1779022799243,2026-05-17 14:59:59.243,373.900,11.064,4.137,9.825
7973,1779022799295,2026-05-17 14:59:59.295,236.500,11.676,2.761,9.968
8025,1779022799347,2026-05-17 14:59:59.347,208.800,11.768,2.457,10.096
8077,1779022799399,2026-05-17 14:59:59.399,183.700,11.824,2.172,10.209
8137,1779022799459,2026-05-17 14:59:59.459,110.500,11.872,1.312,10.288
8195,1779022799517,2026-05-17 14:59:59.517,50.400,11.852,0.597,10.323
8255,1779022799577,2026-05-17 14:59:59.577,82.700,11.808,0.977,10.381
8306,1779022799628,2026-05-17 14:59:59.628,264.200,11.616,3.069,10.538
8363,1779022799685,2026-05-17 14:59:59.685,394.700,11.604,4.580,10.799
8415,1779022799737,2026-05-17 14:59:59.737,243.800,11.544,2.814,10.945
8467,1779022799789,2026-05-17 14:59:59.789,180.200,11.644,2.098,11.054
8519,1779022799841,2026-05-17 14:59:59.841,143.100,11.708,1.675,11.141
8579,1779022799901,2026-05-17 14:59:59.901,75.800,11.836,0.897,11.195
8631,1779022799953,2026-05-17 14:59:59.953,85.200,11.920,1.016,11.248
8691,1779022800013,2026-05-17 15:00:00.013,85.000,11.916,1.013,11.309
8742,1779022800064,2026-05-17 15:00:00.064,247.300,11.392,2.817,11.452
8794,1779022800116,2026-05-17 15:00:00.116,299.700,11.540,3.459,11.632
8846,1779022800168,2026-05-17 15:00:00.168,209.900,11.712,2.458,11.760
8898,1779022800220,2026-05-17 15:00:00.220,179.500,11.636,2.089,11.869
8950,1779022800272,2026-05-17 15:00:00.272,205.600,11.696,2.405,11.994
9002,1779022800324,2026-05-17 15:00:00.324,143.800,11.868,1.707,12.082
9054,1779022800376,2026-05-17 15:00:00.376,38.500,11.896,0.458,12.106
9106,1779022800428,2026-05-17 15:00:00.428,59.200,11.800,0.699,12.143
9166,1779022800488,2026-05-17 15:00:00.488,289.600,11.480,3.325,12.342
9225,1779022800547,2026-05-17 15:00:00.547,351.600,11.492,4.041,12.580
9283,1779022800605,2026-05-17 15:00:00.605,216.900,11.604,2.517,12.726
9343,1779022800665,2026-05-17 15:00:00.665,234.800,11.652,2.736,12.891
9395,1779022800717,2026-05-17 15:00:00.717,168.900,11.760,1.986,12.994
9447,1779022800769,2026-05-17 15:00:00.769,113.300,11.812,1.338,13.064
9499,1779022800821,2026-05-17 15:00:00.821,77.300,11.872,0.918,13.111
9551,1779022800873,2026-05-17 15:00:00.873,77.900,11.844,0.923,13.159
9611,1779022800933,2026-05-17 15:00:00.933,263.300,11.312,2.978,13.338
9671,1779022800993,2026-05-17 15:00:00.993,288.500,11.284,3.255,13.533
9723,1779022801045,2026-05-17 15:00:01.045,268.900,11.592,3.117,13.695
9775,1779022801097,2026-05-17 15:00:01.097,184.400,11.660,2.150,13.807
9827,1779022801149,2026-05-17 15:00:01.149,185.700,11.744,2.181,13.921
9879,1779022801201,2026-05-17 15:00:01.201,101.000,11.828,1.195,13.983
9931,1779022801253,2026-05-17 15:00:01.253,54.300,11.868,0.644,14.016
9990,1779022801312,2026-05-17 15:00:01.312,57.800,11.808,0.683,14.056
10050,1779022801372,2026-05-17 15:00:01.372,300.600,11.520,3.463,14.264
10107,1779022801429,2026-05-17 15:00:01.429,286.800,11.428,3.278,14.451
10159,1779022801481,2026-05-17 15:00:01.481,242.600,11.668,2.831,14.598
10211,1779022801533,2026-05-17 15:00:01.533,180.700,11.628,2.101,14.707
10263,1779022801585,2026-05-17 15:00:01.585,149.400,11.856,1.771,14.800
10315,1779022801637,2026-05-17 15:00:01.637,126.100,11.900,1.501,14.878
10372,1779022801694,2026-05-17 15:00:01.694,93.500,11.916,1.114,14.941
10424,1779022801746,2026-05-17 15:00:01.746,117.900,11.760,1.387,15.013
10476,1779022801798,2026-05-17 15:00:01.798,306.000,11.444,3.502,15.195
10528,1779022801850,2026-05-17 15:00:01.850,275.500,11.636,3.206,15.362
10588,1779022801910,2026-05-17 15:00:01.910,193.000,11.612,2.241,15.496
