time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
4,1779266749029,2026-05-20 10:45:49.029,0.000,12.472,0.000,0.000
64,1779266749089,2026-05-20 10:45:49.089,0.300,12.460,0.004,0.000
124,1779266749149,2026-05-20 10:45:49.149,0.000,12.472,0.000,0.000
184,1779266749209,2026-05-20 10:45:49.209,0.100,12.472,0.001,0.000
235,1779266749260,2026-05-20 10:45:49.260,0.300,12.472,0.004,0.000
287,1779266749312,2026-05-20 10:45:49.312,0.100,12.520,0.001,0.001
345,1779266749370,2026-05-20 10:45:49.370,0.300,12.472,0.004,0.001
405,1779266749430,2026-05-20 10:45:49.430,0.000,12.468,0.000,0.001
465,1779266749490,2026-05-20 10:45:49.490,0.300,12.472,0.004,0.001
516,1779266749541,2026-05-20 10:45:49.541,0.100,12.472,0.001,0.001
569,1779266749594,2026-05-20 10:45:49.594,0.000,12.472,0.000,0.001
628,1779266749653,2026-05-20 10:45:49.653,0.000,12.460,0.000,0.001
681,1779266749706,2026-05-20 10:45:49.706,0.000,12.472,0.000,0.001
733,1779266749758,2026-05-20 10:45:49.758,0.200,12.524,0.003,0.001
785,1779266749810,2026-05-20 10:45:49.810,0.000,12.520,0.000,0.001
837,1779266749862,2026-05-20 10:45:49.862,0.100,12.520,0.001,0.001
889,1779266749914,2026-05-20 10:45:49.914,0.000,12.520,0.000,0.001
941,1779266749966,2026-05-20 10:45:49.966,0.100,12.472,0.001,0.001
993,1779266750018,2026-05-20 10:45:50.018,0.300,12.520,0.004,0.002
1045,1779266750070,2026-05-20 10:45:50.070,0.300,12.524,0.004,0.002
1097,1779266750122,2026-05-20 10:45:50.122,0.200,12.524,0.003,0.002
1149,1779266750174,2026-05-20 10:45:50.174,0.300,12.476,0.004,0.002
1201,1779266750226,2026-05-20 10:45:50.226,0.400,12.476,0.005,0.002
1261,1779266750286,2026-05-20 10:45:50.286,0.000,12.452,0.000,0.002
1318,1779266750343,2026-05-20 10:45:50.343,0.300,12.472,0.004,0.003
1379,1779266750404,2026-05-20 10:45:50.404,0.000,12.472,0.000,0.003
1438,1779266750463,2026-05-20 10:45:50.463,0.300,12.472,0.004,0.003
1491,1779266750516,2026-05-20 10:45:50.516,-0.200,12.476,-0.002,0.003
1550,1779266750575,2026-05-20 10:45:50.575,0.000,12.472,0.000,0.003
1609,1779266750634,2026-05-20 10:45:50.634,0.300,12.476,0.004,0.003
1661,1779266750686,2026-05-20 10:45:50.686,0.100,12.472,0.001,0.003
1721,1779266750746,2026-05-20 10:45:50.746,0.000,12.456,0.000,0.003
1786,1779266750811,2026-05-20 10:45:50.811,0.400,12.472,0.005,0.003
1837,1779266750862,2026-05-20 10:45:50.862,0.000,12.472,0.000,0.003
1889,1779266750914,2026-05-20 10:45:50.914,0.100,12.520,0.001,0.003
1941,1779266750966,2026-05-20 10:45:50.966,0.100,12.476,0.001,0.003
2001,1779266751026,2026-05-20 10:45:51.026,0.300,12.472,0.004,0.004
2053,1779266751078,2026-05-20 10:45:51.078,0.300,12.472,0.004,0.004
2105,1779266751130,2026-05-20 10:45:51.130,0.100,12.520,0.001,0.004
2164,1779266751189,2026-05-20 10:45:51.189,0.200,12.448,0.002,0.004
2217,1779266751242,2026-05-20 10:45:51.242,0.000,12.472,0.000,0.004
2269,1779266751294,2026-05-20 10:45:51.294,0.100,12.520,0.001,0.004
2321,1779266751346,2026-05-20 10:45:51.346,-0.100,12.524,-0.001,0.004
2379,1779266751404,2026-05-20 10:45:51.404,0.100,12.472,0.001,0.004
2438,1779266751463,2026-05-20 10:45:51.463,0.100,12.460,0.001,0.004
2491,1779266751516,2026-05-20 10:45:51.516,0.400,12.472,0.005,0.004
2551,1779266751576,2026-05-20 10:45:51.576,0.300,12.476,0.004,0.005
2609,1779266751634,2026-05-20 10:45:51.634,1295.200,10.440,13.522,0.789
2661,1779266751686,2026-05-20 10:45:51.686,422.400,11.880,5.018,1.050
2713,1779266751738,2026-05-20 10:45:51.738,271.900,12.092,3.288,1.221
2765,1779266751790,2026-05-20 10:45:51.790,151.800,12.292,1.866,1.318
2825,1779266751850,2026-05-20 10:45:51.850,39.400,12.324,0.486,1.347
2877,1779266751902,2026-05-20 10:45:51.902,93.700,12.340,1.156,1.407
2937,1779266751962,2026-05-20 10:45:51.962,232.000,12.132,2.815,1.576
2989,1779266752014,2026-05-20 10:45:52.014,272.000,11.984,3.260,1.745
3041,1779266752066,2026-05-20 10:45:52.066,292.000,11.984,3.499,1.927
3093,1779266752118,2026-05-20 10:45:52.118,247.100,12.192,3.013,2.084
3145,1779266752170,2026-05-20 10:45:52.170,203.500,12.188,2.480,2.213
3204,1779266752229,2026-05-20 10:45:52.229,111.600,12.244,1.366,2.294
3256,1779266752281,2026-05-20 10:45:52.281,108.100,12.368,1.337,2.363
3308,1779266752333,2026-05-20 10:45:52.333,91.300,12.304,1.123,2.422
3367,1779266752392,2026-05-20 10:45:52.392,166.300,12.244,2.036,2.542
3424,1779266752449,2026-05-20 10:45:52.449,304.300,12.028,3.660,2.750
3476,1779266752501,2026-05-20 10:45:52.501,243.500,12.044,2.933,2.903
3535,1779266752560,2026-05-20 10:45:52.560,213.200,12.208,2.603,3.056
3587,1779266752612,2026-05-20 10:45:52.612,164.900,12.204,2.012,3.161
3639,1779266752664,2026-05-20 10:45:52.664,116.400,12.280,1.429,3.235
3691,1779266752716,2026-05-20 10:45:52.716,87.400,12.332,1.078,3.291
3743,1779266752768,2026-05-20 10:45:52.768,186.500,12.272,2.289,3.410
3808,1779266752833,2026-05-20 10:45:52.833,383.300,11.980,4.592,3.709
3859,1779266752884,2026-05-20 10:45:52.884,333.000,11.976,3.988,3.912
3911,1779266752936,2026-05-20 10:45:52.936,294.000,11.964,3.517,4.095
3963,1779266752988,2026-05-20 10:45:52.988,250.600,12.144,3.043,4.253
4022,1779266753047,2026-05-20 10:45:53.047,172.600,12.272,2.118,4.378
4074,1779266753099,2026-05-20 10:45:53.099,92.600,12.416,1.150,4.438
4133,1779266753158,2026-05-20 10:45:53.158,45.000,12.452,0.560,4.471
4185,1779266753210,2026-05-20 10:45:53.210,166.800,12.260,2.045,4.578
4237,1779266753262,2026-05-20 10:45:53.262,251.000,12.160,3.052,4.736
4289,1779266753314,2026-05-20 10:45:53.314,216.800,12.096,2.622,4.873
4341,1779266753366,2026-05-20 10:45:53.366,339.200,12.092,4.102,5.086
4393,1779266753418,2026-05-20 10:45:53.418,179.400,12.140,2.178,5.199
4447,1779266753472,2026-05-20 10:45:53.472,159.800,12.276,1.962,5.305
4499,1779266753524,2026-05-20 10:45:53.524,104.300,12.436,1.297,5.373
4551,1779266753576,2026-05-20 10:45:53.576,104.700,12.432,1.302,5.440
4609,1779266753634,2026-05-20 10:45:53.634,216.400,12.192,2.638,5.593
4669,1779266753694,2026-05-20 10:45:53.694,292.800,12.076,3.536,5.805
4727,1779266753752,2026-05-20 10:45:53.752,290.900,12.076,3.513,6.009
4786,1779266753811,2026-05-20 10:45:53.811,220.300,12.180,2.683,6.168
4839,1779266753864,2026-05-20 10:45:53.864,153.200,12.308,1.886,6.267
4891,1779266753916,2026-05-20 10:45:53.916,44.700,12.356,0.552,6.296
4943,1779266753968,2026-05-20 10:45:53.968,39.800,12.412,0.494,6.322
4995,1779266754020,2026-05-20 10:45:54.020,194.500,12.216,2.376,6.445
5047,1779266754072,2026-05-20 10:45:54.072,318.300,12.052,3.836,6.645
5099,1779266754124,2026-05-20 10:45:54.124,303.800,12.096,3.675,6.836
5151,1779266754176,2026-05-20 10:45:54.176,308.300,12.104,3.732,7.030
5203,1779266754228,2026-05-20 10:45:54.228,207.300,12.248,2.539,7.162
5262,1779266754287,2026-05-20 10:45:54.287,115.900,12.308,1.426,7.246
5314,1779266754339,2026-05-20 10:45:54.339,98.200,12.352,1.213,7.309
5371,1779266754396,2026-05-20 10:45:54.396,90.400,12.408,1.122,7.373
5430,1779266754455,2026-05-20 10:45:54.455,223.900,12.148,2.720,7.534
5490,1779266754515,2026-05-20 10:45:54.515,274.900,12.048,3.312,7.732
5542,1779266754567,2026-05-20 10:45:54.567,258.000,12.028,3.103,7.894
5601,1779266754626,2026-05-20 10:45:54.626,238.900,12.124,2.896,8.065
5653,1779266754678,2026-05-20 10:45:54.678,122.700,12.268,1.505,8.143
5705,1779266754730,2026-05-20 10:45:54.730,107.300,12.436,1.334,8.212
5757,1779266754782,2026-05-20 10:45:54.782,53.400,12.488,0.667,8.247
5814,1779266754839,2026-05-20 10:45:54.839,103.700,12.340,1.280,8.320
5866,1779266754891,2026-05-20 10:45:54.891,270.300,12.092,3.268,8.490
5918,1779266754943,2026-05-20 10:45:54.943,324.100,12.068,3.911,8.693
5970,1779266754995,2026-05-20 10:45:54.995,294.600,12.104,3.566,8.879
6022,1779266755047,2026-05-20 10:45:55.047,200.100,12.116,2.424,9.005
6082,1779266755107,2026-05-20 10:45:55.107,158.700,12.296,1.951,9.122
6141,1779266755166,2026-05-20 10:45:55.166,14.800,12.348,0.183,9.133
6201,1779266755226,2026-05-20 10:45:55.226,58.300,12.332,0.719,9.176
6252,1779266755277,2026-05-20 10:45:55.277,230.100,12.112,2.787,9.318
6304,1779266755329,2026-05-20 10:45:55.329,367.200,12.032,4.418,9.548
6356,1779266755381,2026-05-20 10:45:55.381,296.700,12.068,3.581,9.734
6408,1779266755433,2026-05-20 10:45:55.433,228.000,12.212,2.784,9.879
6460,1779266755485,2026-05-20 10:45:55.485,162.900,12.260,1.997,9.983
6512,1779266755537,2026-05-20 10:45:55.537,51.600,12.392,0.639,10.016
