time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1779267410609,2026-05-20 10:56:50.609,0.200,12.472,0.002,0.000
56,1779267410662,2026-05-20 10:56:50.662,0.100,12.480,0.001,0.000
108,1779267410714,2026-05-20 10:56:50.714,0.500,12.484,0.006,0.000
160,1779267410766,2026-05-20 10:56:50.766,0.000,12.528,0.000,0.000
212,1779267410818,2026-05-20 10:56:50.818,0.200,12.484,0.002,0.001
269,1779267410875,2026-05-20 10:56:50.875,0.100,12.484,0.001,0.001
321,1779267410927,2026-05-20 10:56:50.927,0.200,12.480,0.002,0.001
373,1779267410979,2026-05-20 10:56:50.979,0.100,12.480,0.001,0.001
425,1779267411031,2026-05-20 10:56:51.031,0.200,12.484,0.002,0.001
477,1779267411083,2026-05-20 10:56:51.083,-0.100,12.480,-0.001,0.001
536,1779267411142,2026-05-20 10:56:51.142,0.100,12.464,0.001,0.001
592,1779267411198,2026-05-20 10:56:51.198,0.000,12.484,0.000,0.001
651,1779267411257,2026-05-20 10:56:51.257,0.000,12.480,0.000,0.001
710,1779267411316,2026-05-20 10:56:51.316,0.200,12.484,0.002,0.001
762,1779267411368,2026-05-20 10:56:51.368,0.000,12.484,0.000,0.001
821,1779267411427,2026-05-20 10:56:51.427,0.000,12.484,0.000,0.001
873,1779267411479,2026-05-20 10:56:51.479,-0.100,12.484,-0.001,0.001
925,1779267411531,2026-05-20 10:56:51.531,0.000,12.528,0.000,0.001
977,1779267411583,2026-05-20 10:56:51.583,0.100,12.528,0.001,0.001
1029,1779267411635,2026-05-20 10:56:51.635,0.100,12.480,0.001,0.001
1081,1779267411687,2026-05-20 10:56:51.687,0.200,12.484,0.002,0.001
1133,1779267411739,2026-05-20 10:56:51.739,0.200,12.484,0.002,0.001
1185,1779267411791,2026-05-20 10:56:51.791,0.100,12.484,0.001,0.001
1237,1779267411843,2026-05-20 10:56:51.843,0.200,12.480,0.002,0.002
1289,1779267411895,2026-05-20 10:56:51.895,0.400,12.484,0.005,0.002
1349,1779267411955,2026-05-20 10:56:51.955,0.100,12.404,0.001,0.002
1407,1779267412013,2026-05-20 10:56:52.013,0.100,12.480,0.001,0.002
1467,1779267412073,2026-05-20 10:56:52.073,0.100,12.480,0.001,0.002
1526,1779267412132,2026-05-20 10:56:52.132,0.000,12.480,0.000,0.002
1585,1779267412191,2026-05-20 10:56:52.191,-0.200,12.472,-0.002,0.002
1637,1779267412243,2026-05-20 10:56:52.243,-0.100,12.480,-0.001,0.002
1689,1779267412295,2026-05-20 10:56:52.295,0.000,12.480,0.000,0.002
1741,1779267412347,2026-05-20 10:56:52.347,-0.200,12.528,-0.003,0.002
1793,1779267412399,2026-05-20 10:56:52.399,-0.100,12.528,-0.001,0.002
1845,1779267412451,2026-05-20 10:56:52.451,0.000,12.480,0.000,0.002
1897,1779267412503,2026-05-20 10:56:52.503,0.000,12.528,0.000,0.002
1949,1779267412555,2026-05-20 10:56:52.555,0.200,12.528,0.003,0.002
2001,1779267412607,2026-05-20 10:56:52.607,0.400,12.528,0.005,0.002
2060,1779267412666,2026-05-20 10:56:52.666,0.000,12.480,0.000,0.002
2113,1779267412719,2026-05-20 10:56:52.719,0.300,12.480,0.004,0.002
2165,1779267412771,2026-05-20 10:56:52.771,0.300,12.528,0.004,0.002
2218,1779267412824,2026-05-20 10:56:52.824,0.200,12.476,0.002,0.003
2283,1779267412889,2026-05-20 10:56:52.889,0.100,12.396,0.001,0.003
2342,1779267412948,2026-05-20 10:56:52.948,0.200,12.484,0.002,0.003
2401,1779267413007,2026-05-20 10:56:53.007,0.100,12.480,0.001,0.003
2460,1779267413066,2026-05-20 10:56:53.066,0.000,12.424,0.000,0.003
2512,1779267413118,2026-05-20 10:56:53.118,0.100,12.484,0.001,0.003
2564,1779267413170,2026-05-20 10:56:53.170,-0.100,12.528,-0.001,0.003
2616,1779267413222,2026-05-20 10:56:53.222,0.000,12.528,0.000,0.003
2668,1779267413274,2026-05-20 10:56:53.274,0.100,12.484,0.001,0.003
2720,1779267413326,2026-05-20 10:56:53.326,0.000,12.528,0.000,0.003
2772,1779267413378,2026-05-20 10:56:53.378,0.100,12.528,0.001,0.003
2824,1779267413430,2026-05-20 10:56:53.430,0.000,12.528,0.000,0.003
2876,1779267413482,2026-05-20 10:56:53.482,0.200,12.528,0.003,0.003
2928,1779267413534,2026-05-20 10:56:53.534,0.100,12.528,0.001,0.003
2980,1779267413586,2026-05-20 10:56:53.586,0.100,12.528,0.001,0.003
3032,1779267413638,2026-05-20 10:56:53.638,0.200,12.484,0.002,0.003
3094,1779267413700,2026-05-20 10:56:53.700,0.300,12.480,0.004,0.004
3152,1779267413758,2026-05-20 10:56:53.758,1552.800,9.808,15.230,0.887
3212,1779267413818,2026-05-20 10:56:53.818,407.700,11.600,4.729,1.171
3272,1779267413878,2026-05-20 10:56:53.878,274.800,11.916,3.275,1.367
3331,1779267413937,2026-05-20 10:56:53.937,200.600,12.036,2.414,1.510
3389,1779267413995,2026-05-20 10:56:53.995,137.600,12.088,1.663,1.606
3448,1779267414054,2026-05-20 10:56:54.054,102.600,12.300,1.262,1.681
3501,1779267414107,2026-05-20 10:56:54.107,37.500,12.160,0.456,1.705
3553,1779267414159,2026-05-20 10:56:54.159,120.100,12.088,1.452,1.780
3605,1779267414211,2026-05-20 10:56:54.211,146.300,12.088,1.768,1.872
3666,1779267414272,2026-05-20 10:56:54.272,229.900,11.928,2.742,2.039
3718,1779267414324,2026-05-20 10:56:54.324,188.700,11.840,2.234,2.156
3777,1779267414383,2026-05-20 10:56:54.383,142.400,11.836,1.685,2.255
3830,1779267414436,2026-05-20 10:56:54.436,74.500,11.900,0.887,2.302
3882,1779267414488,2026-05-20 10:56:54.488,96.000,12.136,1.165,2.363
3934,1779267414540,2026-05-20 10:56:54.540,110.300,11.912,1.314,2.431
3986,1779267414592,2026-05-20 10:56:54.592,199.300,11.816,2.355,2.553
4038,1779267414644,2026-05-20 10:56:54.644,357.200,11.964,4.274,2.776
4090,1779267414696,2026-05-20 10:56:54.696,210.900,12.056,2.543,2.908
4142,1779267414748,2026-05-20 10:56:54.748,274.700,12.056,3.312,3.080
4194,1779267414800,2026-05-20 10:56:54.800,141.000,12.132,1.711,3.169
4246,1779267414852,2026-05-20 10:56:54.852,140.900,12.336,1.738,3.259
4310,1779267414916,2026-05-20 10:56:54.916,81.600,12.320,1.005,3.324
4363,1779267414969,2026-05-20 10:56:54.969,91.700,12.284,1.126,3.383
4421,1779267415027,2026-05-20 10:56:55.027,172.900,12.016,2.078,3.504
4481,1779267415087,2026-05-20 10:56:55.087,327.900,11.520,3.777,3.731
4541,1779267415147,2026-05-20 10:56:55.147,186.900,11.916,2.227,3.864
4600,1779267415206,2026-05-20 10:56:55.206,117.400,11.920,1.399,3.947
