time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
3,1779352428197,2026-05-21 10:33:48.197,0.300,12.412,0.004,0.000
55,1779352428249,2026-05-21 10:33:48.249,0.100,12.428,0.001,0.000
107,1779352428301,2026-05-21 10:33:48.301,0.100,12.452,0.001,0.000
164,1779352428358,2026-05-21 10:33:48.358,0.200,12.460,0.002,0.000
216,1779352428410,2026-05-21 10:33:48.410,0.200,12.460,0.002,0.000
268,1779352428462,2026-05-21 10:33:48.462,-0.100,12.424,-0.001,0.000
320,1779352428514,2026-05-21 10:33:48.514,0.100,12.460,0.001,0.000
372,1779352428566,2026-05-21 10:33:48.566,0.300,12.456,0.004,0.001
424,1779352428618,2026-05-21 10:33:48.618,0.100,12.456,0.001,0.001
481,1779352428675,2026-05-21 10:33:48.675,0.400,12.424,0.005,0.001
541,1779352428735,2026-05-21 10:33:48.735,0.300,12.424,0.004,0.001
594,1779352428788,2026-05-21 10:33:48.788,0.100,12.424,0.001,0.001
653,1779352428847,2026-05-21 10:33:48.847,0.000,12.424,0.000,0.001
705,1779352428899,2026-05-21 10:33:48.899,0.200,12.428,0.002,0.001
757,1779352428951,2026-05-21 10:33:48.951,0.100,12.456,0.001,0.001
809,1779352429003,2026-05-21 10:33:49.003,0.400,12.460,0.005,0.002
861,1779352429055,2026-05-21 10:33:49.055,-0.100,12.460,-0.001,0.002
921,1779352429115,2026-05-21 10:33:49.115,0.100,12.424,0.001,0.002
973,1779352429167,2026-05-21 10:33:49.167,0.500,12.428,0.006,0.002
1025,1779352429219,2026-05-21 10:33:49.219,0.200,12.460,0.002,0.002
1077,1779352429271,2026-05-21 10:33:49.271,0.300,12.428,0.004,0.002
1129,1779352429323,2026-05-21 10:33:49.323,-0.100,12.428,-0.001,0.002
1181,1779352429375,2026-05-21 10:33:49.375,0.400,12.460,0.005,0.003
1233,1779352429427,2026-05-21 10:33:49.427,0.300,12.460,0.004,0.003
1287,1779352429481,2026-05-21 10:33:49.481,0.200,12.420,0.002,0.003
1347,1779352429541,2026-05-21 10:33:49.541,0.100,12.428,0.001,0.003
1405,1779352429599,2026-05-21 10:33:49.599,0.200,12.424,0.002,0.003
1464,1779352429658,2026-05-21 10:33:49.658,0.100,12.424,0.001,0.003
1517,1779352429711,2026-05-21 10:33:49.711,0.100,12.428,0.001,0.003
1576,1779352429770,2026-05-21 10:33:49.770,-0.100,12.416,-0.001,0.003
1635,1779352429829,2026-05-21 10:33:49.829,0.000,12.424,0.000,0.003
1687,1779352429881,2026-05-21 10:33:49.881,0.300,12.428,0.004,0.003
1746,1779352429940,2026-05-21 10:33:49.940,0.100,12.416,0.001,0.003
1806,1779352430000,2026-05-21 10:33:50.000,0.000,12.428,0.000,0.003
1858,1779352430052,2026-05-21 10:33:50.052,0.000,12.424,0.000,0.003
1910,1779352430104,2026-05-21 10:33:50.104,0.400,12.428,0.005,0.004
1971,1779352430165,2026-05-21 10:33:50.165,-0.200,12.420,-0.002,0.004
2023,1779352430217,2026-05-21 10:33:50.217,0.400,12.424,0.005,0.004
2075,1779352430269,2026-05-21 10:33:50.269,0.000,12.456,0.000,0.004
2133,1779352430327,2026-05-21 10:33:50.327,0.100,12.424,0.001,0.004
2196,1779352430390,2026-05-21 10:33:50.390,0.000,12.424,0.000,0.004
2248,1779352430442,2026-05-21 10:33:50.442,0.100,12.428,0.001,0.004
2300,1779352430494,2026-05-21 10:33:50.494,0.100,12.424,0.001,0.004
2359,1779352430553,2026-05-21 10:33:50.553,0.000,12.424,0.000,0.004
2417,1779352430611,2026-05-21 10:33:50.611,1213.600,10.584,12.845,0.749
2469,1779352430663,2026-05-21 10:33:50.663,452.500,11.800,5.339,1.027
2529,1779352430723,2026-05-21 10:33:50.723,426.300,11.908,5.076,1.331
2581,1779352430775,2026-05-21 10:33:50.775,363.400,11.976,4.352,1.558
2633,1779352430827,2026-05-21 10:33:50.827,374.300,11.940,4.469,1.790
2685,1779352430879,2026-05-21 10:33:50.879,284.700,12.088,3.441,1.969
2744,1779352430938,2026-05-21 10:33:50.938,181.500,12.232,2.220,2.100
2796,1779352430990,2026-05-21 10:33:50.990,121.600,12.264,1.491,2.177
2848,1779352431042,2026-05-21 10:33:51.042,53.900,12.380,0.667,2.212
2900,1779352431094,2026-05-21 10:33:51.094,66.900,12.232,0.818,2.255
2959,1779352431153,2026-05-21 10:33:51.153,254.200,11.932,3.033,2.434
3011,1779352431205,2026-05-21 10:33:51.205,298.900,11.856,3.544,2.618
3063,1779352431257,2026-05-21 10:33:51.257,390.300,11.772,4.595,2.857
3122,1779352431316,2026-05-21 10:33:51.316,369.700,11.884,4.394,3.116
3180,1779352431374,2026-05-21 10:33:51.374,123.700,12.072,1.493,3.203
3232,1779352431426,2026-05-21 10:33:51.426,65.400,12.204,0.798,3.244
3284,1779352431478,2026-05-21 10:33:51.478,73.600,12.160,0.895,3.291
3336,1779352431530,2026-05-21 10:33:51.530,187.900,11.936,2.243,3.407
3396,1779352431590,2026-05-21 10:33:51.590,363.900,11.728,4.268,3.663
3448,1779352431642,2026-05-21 10:33:51.642,387.200,11.656,4.513,3.898
3500,1779352431694,2026-05-21 10:33:51.694,321.600,11.648,3.746,4.093
3560,1779352431754,2026-05-21 10:33:51.754,150.400,11.972,1.801,4.201
3612,1779352431806,2026-05-21 10:33:51.806,70.700,12.084,0.854,4.245
3664,1779352431858,2026-05-21 10:33:51.858,41.700,12.236,0.510,4.272
3716,1779352431910,2026-05-21 10:33:51.910,94.500,12.200,1.153,4.332
3775,1779352431969,2026-05-21 10:33:51.969,223.500,11.960,2.673,4.490
3828,1779352432022,2026-05-21 10:33:52.022,402.500,11.724,4.719,4.740
3880,1779352432074,2026-05-21 10:33:52.074,305.100,11.840,3.612,4.927
3932,1779352432126,2026-05-21 10:33:52.126,398.700,11.776,4.695,5.172
3991,1779352432185,2026-05-21 10:33:52.185,267.100,11.924,3.185,5.360
4043,1779352432237,2026-05-21 10:33:52.237,107.300,12.152,1.304,5.427
4095,1779352432289,2026-05-21 10:33:52.289,91.900,12.320,1.132,5.486
4147,1779352432341,2026-05-21 10:33:52.341,57.500,12.092,0.695,5.522
4212,1779352432406,2026-05-21 10:33:52.406,262.800,11.928,3.135,5.726
4270,1779352432464,2026-05-21 10:33:52.464,324.900,11.864,3.855,5.950
4329,1779352432523,2026-05-21 10:33:52.523,393.200,11.792,4.637,6.223
4382,1779352432576,2026-05-21 10:33:52.576,283.600,11.948,3.388,6.403
4434,1779352432628,2026-05-21 10:33:52.628,197.400,12.056,2.380,6.527
4486,1779352432680,2026-05-21 10:33:52.680,100.200,12.172,1.220,6.590
4538,1779352432732,2026-05-21 10:33:52.732,124.400,12.120,1.508,6.668
4597,1779352432791,2026-05-21 10:33:52.791,68.000,12.068,0.821,6.717
4649,1779352432843,2026-05-21 10:33:52.843,138.500,11.984,1.660,6.803
4701,1779352432895,2026-05-21 10:33:52.895,250.600,11.904,2.983,6.958
4753,1779352432947,2026-05-21 10:33:52.947,320.900,11.604,3.724,7.152
4805,1779352432999,2026-05-21 10:33:52.999,334.200,11.728,3.919,7.356
4857,1779352433051,2026-05-21 10:33:53.051,278.800,11.920,3.323,7.529
4909,1779352433103,2026-05-21 10:33:53.103,243.200,12.028,2.925,7.681
4961,1779352433155,2026-05-21 10:33:53.155,149.600,12.192,1.824,7.775
