time_ms,epoch_ms,iso_time,current_mA,voltage_V,power_W,energy_J
5,1779351746669,2026-05-21 10:22:26.669,0.200,12.408,0.002,0.000
57,1779351746721,2026-05-21 10:22:26.721,0.200,12.412,0.002,0.000
109,1779351746773,2026-05-21 10:22:26.773,0.200,12.468,0.002,0.000
161,1779351746825,2026-05-21 10:22:26.825,0.300,12.468,0.004,0.000
213,1779351746877,2026-05-21 10:22:26.877,0.000,12.408,0.000,0.000
265,1779351746929,2026-05-21 10:22:26.929,0.200,12.468,0.002,0.001
317,1779351746981,2026-05-21 10:22:26.981,0.200,12.468,0.002,0.001
369,1779351747033,2026-05-21 10:22:27.033,0.100,12.468,0.001,0.001
428,1779351747092,2026-05-21 10:22:27.092,0.400,12.404,0.005,0.001
480,1779351747144,2026-05-21 10:22:27.144,0.100,12.408,0.001,0.001
532,1779351747196,2026-05-21 10:22:27.196,-0.100,12.468,-0.001,0.001
584,1779351747248,2026-05-21 10:22:27.248,0.300,12.468,0.004,0.001
636,1779351747300,2026-05-21 10:22:27.300,0.000,12.412,0.000,0.001
688,1779351747352,2026-05-21 10:22:27.352,0.100,12.468,0.001,0.001
740,1779351747404,2026-05-21 10:22:27.404,0.100,12.468,0.001,0.001
792,1779351747456,2026-05-21 10:22:27.456,0.100,12.412,0.001,0.001
852,1779351747516,2026-05-21 10:22:27.516,0.000,12.408,0.000,0.001
909,1779351747573,2026-05-21 10:22:27.573,0.000,12.396,0.000,0.001
968,1779351747632,2026-05-21 10:22:27.632,0.100,12.392,0.001,0.002
1027,1779351747691,2026-05-21 10:22:27.691,0.300,12.404,0.004,0.002
1087,1779351747751,2026-05-21 10:22:27.751,0.300,12.396,0.004,0.002
1147,1779351747811,2026-05-21 10:22:27.811,0.200,12.408,0.002,0.002
1204,1779351747868,2026-05-21 10:22:27.868,0.100,12.412,0.001,0.002
1256,1779351747920,2026-05-21 10:22:27.920,-0.100,12.464,-0.001,0.002
1308,1779351747972,2026-05-21 10:22:27.972,0.100,12.464,0.001,0.002
